"References included in 38"
"Clutton‐Brock, T. H., Harvey, P. H. Primate ecology and social organization. J. Zoology 183, 1-39 (1977)."
"Dunbar, R. I. M. Functional significance of social grooming in primates. Folia Primatol. 57, 121-131 (1991)."
"Eisenberg, J. F., Redford, K. H. Mammals of the Neotropics, Volume 2: The Southern Cone: Chile, Argentina, Uruguay, Paraguay (University of Chicago Press, 1992)."
"Fox, E. A., van Schaik, C. P., Sitompul, A., Wright, D. N. Intra‐and interpopulational differences in orangutan (Pongo pygmaeus) activity and diet: implications for the invention of tool use. Am. J. Phys. Anthropol. 125, 162-174 (2004)."
"Kappeler, P. M., & Heymann, E. W. (1996). Nonconvergence in the evolution of primate life history and socio-ecology. Biological Journal of the Linnean Society, 59(3), 297-326."
"Kudo, H., Dunbar, R. I. M. Neocortex size and social network size in primates. Animal Behaviour 62, 711-722 (2001)."
"MacLean, E. L., Barrickman, N. L., Johnson, E. M., Wall, C. E. Sociality, ecology, and relative brain size in lemurs. Journal of Human Evolution 56, 471-478 (2009)."
"Patterson, S. K., Sandel, A. A., Miller, J. A., Mitani, J. C. Data quality and the comparative method: the case of primate group size. Internat. J. Primatol. 35, 990-1003 (2014)."
"Plavcan, J. M., & Van Schaik, C. P. (1997). Intrasexual competition and body weight dimorphism in anthropoid primates. American Journal of Physical Anthropology: The Official Publication of the American Association of Physical Anthropologists, 103(1), 37-68."
"Rothman, J. M., Plumptre, A. J., Dierenfeld, E. S., Pell, A. N. Nutritional composition of the diet of the gorilla (Gorilla beringei): a comparison between two montane habitats. J. Tropical Ecol. 23, 673-682 (2007)."
"Rowe, N. The Pictoral Guide to the Living Primates (Pogonias Press, 1996)."
"Shah, N. F. Foraging strategies in the two sympatric mangabey species (Cercocebus agilis and Lophocebus albigena). PhD. Thesis, Stony Brook. (2003)."
"Smuts, B. B., Cheney, D. L., Seyfarth, R. M., Wrangham, R. W. Primate societies (University of Chicago Press, 1987)."
"Wrangham, R. W., Gittleman, J. L., Chapman, C. A. Constraints on group size in primates and carnivores: population density and day-range as assays of exploitation competition. Behav. Ecol. Sociobiol. 32, 199-209 (1993)."
