"A","Removed cerebellum, replaced with measurement from [61]"
"B","Removed medulla, replaced with measurement from [53]"
"C","Removed neocortex, replaced with measurement from [60]"
"D","Removed LGN, replaced with measurement from [60]"
"E","Did not use V1 measurement, replaced with measurement from [60]"
"F","Did not use cerebellum, neocortex, striatum, or hippocampus measurements, replaced with measurements from [65]"
