"species_sci","First or Duplicate Entry?","KEY (species name & group size) _duplicates in red","Taxon","Group Size","Reference from 38 (see last tab)","Source(s) in reference from 38","Notes"
"Allenopithecus nigroviridis","ok","Allenopithecus_nigroviridis40","Allenopithecus_nigroviridis",40,"Rowe 1996",,
"Alouatta caraya","ok","Alouatta_caraya8.05","Alouatta_caraya",8.05,"Smuts et al. 1987",,
"Alouatta caraya","ok","Alouatta_caraya7","Alouatta_caraya",7,"Clutton-Brock & Harvey 1997",,
"Alouatta caraya","dup","Alouatta_caraya8.05","Alouatta_caraya",8.05,"Rowe 1996",,
"Alouatta caraya","ok","Alouatta_caraya5","Alouatta_caraya",5,"Kudo & Dunbar 2001","Jones 1983; Neville 1983",
"Alouatta palliata","ok","Alouatta_palliata12.2","Alouatta_palliata",12.2,"Wrangham et al. 1993","Crockett & Eisenberg 1986",
"Alouatta palliata","ok","Alouatta_palliata15.5","Alouatta_palliata",15.5,"Wrangham et al. 1993","Crockett & Eisenberg 1986",
"Alouatta palliata","ok","Alouatta_palliata9.1","Alouatta_palliata",9.1,"Wrangham et al. 1993","Crockett & Eisenberg 1986",
"Alouatta palliata","ok","Alouatta_palliata12.15","Alouatta_palliata",12.15,"Smuts et al. 1987",,
"Alouatta palliata","dup","Alouatta_palliata15.5","Alouatta_palliata",15.5,"Smuts et al. 1987",,
"Alouatta palliata","ok","Alouatta_palliata19","Alouatta_palliata",19,"Smuts et al. 1987",,
"Alouatta palliata","ok","Alouatta_palliata6","Alouatta_palliata",6,"Smuts et al. 1987",,
"Alouatta palliata","dup","Alouatta_palliata9.1","Alouatta_palliata",9.1,"Smuts et al. 1987",,
"Alouatta palliata","ok","Alouatta_palliata14","Alouatta_palliata",14,"Dunbar 1991","Richard 1970",
"Alouatta palliata","ok","Alouatta_palliata17","Alouatta_palliata",17,"Clutton-Brock & Harvey 1997",,
"Alouatta palliata","ok","Alouatta_palliata12.5","Alouatta_palliata",12.5,"Rowe 1996",,
"Alouatta palliata","ok","Alouatta_palliata10","Alouatta_palliata",10,"Patterson et al. 2014","Stoner 1996","Patterson et al. supplementary material; from Majolo et al. 2008"
"Alouatta palliata","ok","Alouatta_palliata11","Alouatta_palliata",11,"Patterson et al. 2014","Chivers 1969","Patterson et al. supplementary material; from Majolo et al. 2008"
"Alouatta palliata","ok","Alouatta_palliata11.3","Alouatta_palliata",11.3,"Patterson et al. 2014","Heltne et al. 1976","Patterson et al. supplementary material; from van Schaik & Hörstermann 1994"
"Alouatta palliata","ok","Alouatta_palliata12","Alouatta_palliata",12,"Patterson et al. 2014","Chivers 1969","Patterson et al. supplementary material; from Janson & Goldsmith 1995"
"Alouatta palliata","dup","Alouatta_palliata12.2","Alouatta_palliata",12.2,"Patterson et al. 2014","Crockett & Eisenberg 1987","Patterson et al. supplementary material; from Chapman & Chapman 2000"
