taxon,sp,dec_region,our_term,dec_value,ref_ids,ref_is_stephan,status,flag,matched_source,matched_variable,matched_sp,matched_value,pct_diff,mismatch_source,mismatch_value,mismatch_pct
Alouatta_seniculus,alouatta seniculus,MOB,Bulbus_olfactorius_Vol.mm3,41.4,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVI,Bulbus_olfactorius_Vol.mm3,alouatta seniculus,41.4,0,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,AOB,Bulbus_olfactorius_accessorius_Vol.mm3,0.595,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVI,Bulbus_olfactorius_accessorius_Vol.mm3,alouatta seniculus,0.595,0,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,Piriform Lobe,Lobus_piriformis_Vol.mm3,827,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVI,Lobus_piriformis_Vol.mm3,alouatta seniculus,827,0,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,Septum,Septum_Vol.mm3,200,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVI,Septum_Vol.mm3,alouatta seniculus,200,0,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,Striatum,Striatum_Vol.mm3,2829,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVI,Striatum_Vol.mm3,alouatta seniculus,2829,0,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,Schizocortex,Schizo_cortex_Vol.mm3,510,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVI,Schizo_cortex_Vol.mm3,alouatta seniculus,510,0,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,Hippocampus,Hippocampus_Vol.mm3,1320,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVI,Hippocampus_Vol.mm3,alouatta seniculus,1320,0,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,Neocortex (GM+WM),Neocortex_Vol.mm3,31660,24;51;52,TRUE,match,match,Stephan_etal_1981_TableVI,Neocortex_Vol.mm3,alouatta seniculus,31660,0,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,LGN,Corpus_geniculatum_laterale_Vol.mm3,85.7,24;51;52,TRUE,match,match,Stephan_etal_1981_TableIX,Corpus_geniculatum_laterale_Vol.mm3,alouatta seniculus,85.7,0,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,Paleocortex,Palaeocortex_Vol.mm3,488,24;51;52,TRUE,match,match,Stephan_etal_1981_TableXI,Palaeocortex_Vol.mm3,alouatta seniculus,488,0,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,Amygdala,Amygdala_Vol.mm3,413,24;51;52,TRUE,match,match,Stephan_etal_1981_TableXI,Amygdala_Vol.mm3,alouatta seniculus,413,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,16588.527302813,34,FALSE,match,match,deSousa2010_SupTable2_speciesmean,Total_brain_net_volume_Vol.mm3,aotus trivirgatus,16500,0.537,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,V1 (GM),Area_striata_grey_matter_Vol.mm3,996,34,FALSE,match,match,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,aotus trivirgatus,996,0,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,16207.886,53,FALSE,match,match,Stephan_etal_1981_TableIII,Total_brain_net_volume_Vol.mm3,aotus trivirgatus,16195,0.08,NA,NA,NA
