taxon,sp,dec_region,our_term,dec_value,ref_ids,ref_is_stephan,status,matched_source,matched_variable,matched_sp,matched_value,pct_diff
Alouatta_caraya,alouatta caraya,BV,Total_brain_net_volume_Vol.mm3,53861,43,FALSE,match,Bauernfeind_etal_2013_Table1,Total_brain_net_volume_Vol.mm3,alouatta caraya,53861,0
Alouatta_caraya,alouatta caraya,Granular Insula,Granular_insular_cortex_Vol.mm3,178,43,FALSE,decasien_only,NA,NA,NA,NA,NA
Alouatta_caraya,alouatta caraya,Dysgranular Insula,Dysgranular_insular_cortex_Vol.mm3,282,43,FALSE,decasien_only,NA,NA,NA,NA,NA
Alouatta_caraya,alouatta caraya,Insula (GM),Insula_Vol.mm3,544,43,FALSE,value_match_other_structure,Frahm_etal_1984_Table1,Area_striata_white_matter_Vol.mm3,alouatta seniculus,543,0.184
Alouatta_palliata,alouatta palliata,BV,Total_brain_net_volume_Vol.mm3,43520,54;55,FALSE,match,Bush_Allman_2004_b_TABLE1,Total_brain_net_volume_Vol.mm3,alouatta palliata,43520,0
Alouatta_palliata,alouatta palliata,Neocortex (GM+WM),Neocortex_Vol.mm3,28560,54;55,FALSE,decasien_only,NA,NA,NA,NA,NA
Alouatta_palliata,alouatta palliata,Neocortex (GM),Neocortex_grey_matter_Vol.mm3,17150,54;55,FALSE,match,Bush_Allman_2004_b_TABLE1,Neocortex_grey_matter_Vol.mm3,alouatta palliata,17150,0
Alouatta_palliata,alouatta palliata,V1 (GM),Area_striata_grey_matter_Vol.mm3,1860,54;55,FALSE,match,Bush_Allman_2004_b_TABLE1,Area_striata_grey_matter_Vol.mm3,alouatta palliata,1860,0
Alouatta_palliata,alouatta palliata,LGN,Corpus_geniculatum_laterale_Vol.mm3,90,54;55,FALSE,match,Bush_Allman_2004_b_TABLE1,Corpus_geniculatum_laterale_Vol.mm3,alouatta palliata,90,0
Alouatta_seniculus,alouatta seniculus,BV,Total_brain_net_volume_Vol.mm3,50542.1835209069,34,FALSE,match,deSousa_etal_2010_Table1,Total_brain_net_volume_Vol.mm3,alouatta seniculus,50193.1,0.695
Alouatta_seniculus,alouatta seniculus,V1 (GM),Area_striata_grey_matter_Vol.mm3,1918,34,FALSE,match,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,alouatta seniculus,1918,0
Alouatta_seniculus,alouatta seniculus,BV,Total_brain_net_volume_Vol.mm3,49009.208,53,FALSE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Total_brain_net_volume_Vol.mm3,alouatta sp,49009,0
Alouatta_seniculus,alouatta seniculus,Medulla,Medulla_oblongata_Vol.mm3,1593.25,53,FALSE,match,Sherwood_etal_2005_Table1,Medulla_oblongata_Vol.mm3,alouatta seniculus,1593.25,0
Alouatta_seniculus,alouatta seniculus,Vmo,Trigeminal_motor_nucleus_Vol.mm3,4.52,53,FALSE,decasien_only,NA,NA,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,VII,Facial_motor_nucleus_Vol.mm3,3.46,53,FALSE,decasien_only,NA,NA,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,XII,Hypoglossal_nucleus_Vol.mm3,3.24,53,FALSE,value_match_other_structure,Stephan_etal_1981_TablesI-VI,Nucleus_habenularis_medialis_Vol.mm3,alouatta sp,3.3,1.818
Alouatta_seniculus,alouatta seniculus,BV,Total_brain_net_volume_Vol.mm3,36500,61,FALSE,decasien_only,NA,NA,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,Cerebellum,Cerebellum_Vol.mm3,4300,61,FALSE,decasien_only,NA,NA,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,BV,Total_brain_net_volume_Vol.mm3,38300,61,FALSE,decasien_only,NA,NA,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,Cerebellum,Cerebellum_Vol.mm3,4000,61,FALSE,decasien_only,NA,NA,NA,NA,NA
Alouatta_seniculus,alouatta seniculus,BV,Total_brain_net_volume_Vol.mm3,49009,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Total_brain_net_volume_Vol.mm3,alouatta sp,49009,0
Alouatta_seniculus,alouatta seniculus,Cerebellum,Cerebellum_Vol.mm3,5699,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Cerebellum_Vol.mm3,alouatta sp,5699,0
Alouatta_seniculus,alouatta seniculus,Mesencephalon,Mesencephalon_Vol.mm3,986,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Mesencephalon_Vol.mm3,alouatta sp,986,0
Alouatta_seniculus,alouatta seniculus,Diencephalon,Diencephalon_Vol.mm3,3344,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Diencephalon_Vol.mm3,alouatta sp,3344,0
Alouatta_seniculus,alouatta seniculus,Telencephalon,Telencephalon_Vol.mm3,37388,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Telencephalon_Vol.mm3,alouatta sp,37388,0
Alouatta_seniculus,alouatta seniculus,MOB,Bulbus_olfactorius_Vol.mm3,41.4,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Bulbus_olfactorius_Vol.mm3,alouatta sp,41.4,0
Alouatta_seniculus,alouatta seniculus,AOB,Bulbus_olfactorius_accessorius_Vol.mm3,0.595,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Bulbus_olfactorius_accessorius_Vol.mm3,alouatta sp,0.595,0
Alouatta_seniculus,alouatta seniculus,Piriform Lobe,Lobus_piriformis_Vol.mm3,827,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Lobus_piriformis_Vol.mm3,alouatta sp,827,0
Alouatta_seniculus,alouatta seniculus,Septum,Septum_Vol.mm3,200,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Septum_Vol.mm3,alouatta sp,200,0
Alouatta_seniculus,alouatta seniculus,Striatum,Striatum_Vol.mm3,2829,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Striatum_Vol.mm3,alouatta sp,2829,0
Alouatta_seniculus,alouatta seniculus,Schizocortex,Schizo_cortex_Vol.mm3,510,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Schizo_cortex_Vol.mm3,alouatta sp,510,0
Alouatta_seniculus,alouatta seniculus,Hippocampus,Hippocampus_Vol.mm3,1320,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Hippocampus_Vol.mm3,alouatta sp,1320,0
Alouatta_seniculus,alouatta seniculus,Neocortex (GM+WM),Neocortex_Vol.mm3,31660,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Neocortex_Vol.mm3,alouatta sp,31660,0
Alouatta_seniculus,alouatta seniculus,LGN,Corpus_geniculatum_laterale_Vol.mm3,85.7,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Corpus_geniculatum_laterale_Vol.mm3,alouatta sp,85.7,0
Alouatta_seniculus,alouatta seniculus,Paleocortex,Palaeocortex_Vol.mm3,488,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Palaeocortex_Vol.mm3,alouatta sp,488,0
Alouatta_seniculus,alouatta seniculus,Amygdala,Amygdala_Vol.mm3,413,24;51;52,TRUE,match_taxonomy_variant,Stephan_etal_1981_TablesI-VI,Amygdala_Vol.mm3,alouatta sp,413,0
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,16588.527302813,34,FALSE,match,deSousa_etal_2010_Table1,Total_brain_net_volume_Vol.mm3,aotus trivirgatus,16505.8,0.501
Aotus_trivirgatus,aotus trivirgatus,V1 (GM),Area_striata_grey_matter_Vol.mm3,996,34,FALSE,match,Frahm_etal_1984_Table1,Area_striata_grey_matter_Vol.mm3,aotus trivirgatus,996,0
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,16207.886,53,FALSE,match,Stephan_etal_1981_TablesI-VI,Total_brain_net_volume_Vol.mm3,aotus trivirgatus,16195,0.08
Aotus_trivirgatus,aotus trivirgatus,Medulla,Medulla_oblongata_Vol.mm3,675.3,53,FALSE,match,Sherwood_etal_2005_Table1,Medulla_oblongata_Vol.mm3,aotus trivirgatus,675.3,0
Aotus_trivirgatus,aotus trivirgatus,Vmo,Trigeminal_motor_nucleus_Vol.mm3,1.72,53,FALSE,decasien_only,NA,NA,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,VII,Facial_motor_nucleus_Vol.mm3,2.48,53,FALSE,decasien_only,NA,NA,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,XII,Hypoglossal_nucleus_Vol.mm3,1.74,53,FALSE,decasien_only,NA,NA,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,15800,61,FALSE,value_match_other_structure,Stephan_etal_1970_Tables1-6,Brain_Mass.mg,aotus trivirgatus,16000,1.25
Aotus_trivirgatus,aotus trivirgatus,Cerebellum,Cerebellum_Vol.mm3,1700,61,FALSE,decasien_only,NA,NA,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,18900,61,FALSE,match,MacLeod_etal_2003_Table2,Total_brain_net_volume_Vol.mm3,aotus trivirgatus,19125,1.176
Aotus_trivirgatus,aotus trivirgatus,Cerebellum,Cerebellum_Vol.mm3,1700,61,FALSE,decasien_only,NA,NA,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,19700,61,FALSE,decasien_only,NA,NA,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Cerebellum,Cerebellum_Vol.mm3,1800,61,FALSE,decasien_only,NA,NA,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,22100,61,FALSE,decasien_only,NA,NA,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,Cerebellum,Cerebellum_Vol.mm3,1800,61,FALSE,decasien_only,NA,NA,NA,NA,NA
Aotus_trivirgatus,aotus trivirgatus,BV,Total_brain_net_volume_Vol.mm3,16195,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Total_brain_net_volume_Vol.mm3,aotus trivirgatus,16195,0
Aotus_trivirgatus,aotus trivirgatus,Cerebellum,Cerebellum_Vol.mm3,1873,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Cerebellum_Vol.mm3,aotus trivirgatus,1873,0
Aotus_trivirgatus,aotus trivirgatus,Mesencephalon,Mesencephalon_Vol.mm3,409,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Mesencephalon_Vol.mm3,aotus trivirgatus,409,0
Aotus_trivirgatus,aotus trivirgatus,Diencephalon,Diencephalon_Vol.mm3,1098,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Diencephalon_Vol.mm3,aotus trivirgatus,1098,0
Aotus_trivirgatus,aotus trivirgatus,Telencephalon,Telencephalon_Vol.mm3,12128,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Telencephalon_Vol.mm3,aotus trivirgatus,12128,0
Aotus_trivirgatus,aotus trivirgatus,MOB,Bulbus_olfactorius_Vol.mm3,56,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Bulbus_olfactorius_Vol.mm3,aotus trivirgatus,56,0
Aotus_trivirgatus,aotus trivirgatus,AOB,Bulbus_olfactorius_accessorius_Vol.mm3,0.222,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Bulbus_olfactorius_accessorius_Vol.mm3,aotus trivirgatus,0.222,0
Aotus_trivirgatus,aotus trivirgatus,Piriform Lobe,Lobus_piriformis_Vol.mm3,394,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Lobus_piriformis_Vol.mm3,aotus trivirgatus,394,0
Aotus_trivirgatus,aotus trivirgatus,Septum,Septum_Vol.mm3,83.3,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Septum_Vol.mm3,aotus trivirgatus,83.8,0.597
Aotus_trivirgatus,aotus trivirgatus,Striatum,Striatum_Vol.mm3,862,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Striatum_Vol.mm3,aotus trivirgatus,862,0
Aotus_trivirgatus,aotus trivirgatus,Schizocortex,Schizo_cortex_Vol.mm3,243,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Schizo_cortex_Vol.mm3,aotus trivirgatus,243,0
Aotus_trivirgatus,aotus trivirgatus,Hippocampus,Hippocampus_Vol.mm3,539,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Hippocampus_Vol.mm3,aotus trivirgatus,539,0
Aotus_trivirgatus,aotus trivirgatus,Neocortex (GM+WM),Neocortex_Vol.mm3,9950,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Neocortex_Vol.mm3,aotus trivirgatus,9950,0
Aotus_trivirgatus,aotus trivirgatus,LGN,Corpus_geniculatum_laterale_Vol.mm3,36,24;51;52,TRUE,match,Stephan_etal_1981_TablesI-VI,Corpus_geniculatum_laterale_Vol.mm3,aotus trivirgatus,36,0
