"species_sci","Taxon","DQI","References","% plant structural parts","% plant reproductive parts","% animal prey in the diet","Notes"
"Alouatta caraya","Alouatta_caraya","115.00000000000001","79","85.000000000000014","15","0",
"Alouatta palliata","Alouatta_palliata","146","74","NA","NA","NA","% breakdown not provided in [74]"
"Alouatta seniculus","Alouatta_seniculus","175.5","73","24.5","75.5","0",
"Aotus trivirgatus","Aotus_trivirgatus","177.5","73","30","65","5",
"Ateles geoffroyi","Ateles_geoffroyi","181.5","73","20","79","1",
"Ateles paniscus","Ateles_paniscus","194.5","73","5.5","94.5","0",
"Avahi laniger","Avahi_laniger","100","74","NA","NA","NA","% breakdown not provided in [74]"
"Avahi occidentalis","Avahi_occidentalis","100","74","NA","NA","NA","% breakdown not provided in [74]"
"Callicebus moloch","Callicebus_moloch","175","73","28","70","2",
"Callimico goeldii","Callimico_goeldii","186","80","65","1","34",
"Callithrix jacchus","Callithrix_jacchus","221","77","0","86","14","6% missing from total - added to gum (classified as gumnivore in [77])"
"Callithrix pygmaea","Callithrix_pygmaea","249.5","81","0","67","33",
"Cebus albifrons","Cebus_albifrons","295","73","1","35","64",
"Sapajus apella","Cebus_apella","310","73","4","20","76",
"Cercocebus agilis","Cercocebus_agilis","NA","NA","NA","NA","NA",
"Cercocebus torquatus","Cercocebus_torquatus_atys","192.5","82","12","85","3","Esimated from Figure 2 in [82]"
"Cercopithecus ascanius","Cercopithecus_ascanius","156.1","73","46","52.6","1.4",
"Cercopithecus mitis","Cercopithecus_mitis","201.5","73","15","74","11",
"Cercopithecus nictitans","Cercopithecus_nictitans","195.15","73","20.149999999999999","69.649999999999991","10.199999999999999",
"Cheirogaleus major","Cheirogaleus_major","197","83","3","97","0","Authors noted difficulties observing insect-eating behaviors [83]"
"Cheirogaleus medius","Cheirogaleus_medius","230","84","0","80","20",
"Colobus angolensis","Colobus_angolensis","124.5","85","77","22","1",
"Daubentonia madagascariensis","Daubentonia_madagascariensis","216","92","32","36","32","Averaged across seasons in [92]; canker % assigned to structural parts"
"Erythrocebus patas","Erythrocebus_patas","219.5","93","21","52","27",
"Eulemur fulvus","Eulemur_fulvus_fulvus","175.1","73","24.9","75.099999999999994","0",
"Eulemur mongoz","Eulemur_mongoz","198","73","2","98","0",
"Galago senegalensis","Galago_senegalensis","278","77","0","48","52","G. moholi"
"Galagoides demidoff","Galagoides_demidoff","305","73","0","30","70",
"Gorilla beringei","Gorilla_beringei","115.20000000000002","86","84.8","15.200000000000003","0",
"Gorilla sp.","Gorilla_gorilla_gorilla","114","74","86","14","0",
"Gorilla gorilla graueri","Gorilla_gorilla_graueri","NA","NA","NA","NA","NA",
"Hylobates lar","Hylobates_lar","181","74","34","56","10",
"Hylobates muelleri","Hylobates_muelleri","157","73","43","57","0",
"Indri indri","Indri_indri","143","73","57","43","0",
"Lagothrix lagothricha","Lagothrix_lagotricha","218.5","87","18","60","23",
"Lemur catta","Lemur_catta","166","74","34","66","0",
"Leontopithecus rosalia","Leontopithecus_rosalia","224","90-91","0","84","16","Calculated using % fruit in [90] and assigning the remaining % to animal prey following [91]"
"Lepilemur ruficaudatus","Lepilemur_ruficaudatus","NA","NA","NA","NA","NA",
"Lophocebus albigena","Lophocebus_albigena","226.5","74","8.9","67.599999999999994","23.5",
"Loris tardigradus","Loris_tardigradus","327.5","73","0","15","85",
"Macaca fascicularis","Macaca_fascicularis","200","74","5.8","90.3","3.9",
"Macaca maura","Macaca_maura","NA","NA","NA","NA","NA",
"Macaca mulatta","Macaca_mulatta","159","76","NA","NA","NA","% breakdown not provided in [76]"
"Mandrillus sphinx","Mandrillus_sphinx","203.2","75","8.1999999999999993","84.2","7.6",
"Microcebus murinus","Microcebus_murinus","219.5","89","0","87","13","Averaged across seasons in [89]"
"Miopithecus talapoin","Miopithecus_talapoin","222.5","74","NA","NA","NA","% breakdown not provided in [74]"
