Class,Order,Taxon,T,BM,Tb min,TMRmin,TMRrel,TBDmax,TBDmean,IBE,LAT,References
MAMMALIA,Rodentia,Cricetus cricetus,HIB,0.4,3.6,0.032,4,160,87,—,51.6,"Eisentraut (1933), Kayser (1964),"
MAMMALIA,Rodentia,Cynomys leucurus,HIB,1.5,8,—,—,199,121,—,41.59,Bakko & Nahornia (1986)
MAMMALIA,Rodentia,Cynomys ludovicianus,HIB,1,15,—,—,214,141,—,39.25,Lehmer et al. (2001)
MAMMALIA,Rodentia,Cynomys parvidens,HIB,0.8,6,—,—,418,252,—,38.49,Lehmer & Biggins (2005)
MAMMALIA,Rodentia,Eliomys quercinus,HIB,0.07,1,0.034,3,480,336,12,42.91,Kayser (1964) and Pajunen (1984)
MAMMALIA,Rodentia,Fukomys damarensis,DT,0.145,28.5,—,—,—,—,—,−18.37,Streicher (2010)
MAMMALIA,Rodentia,Gerbillus pusillus,DT,0.0126,16.7,0.38,43,20,9,—,0.57,Buffenstein (1985)
MAMMALIA,Rodentia,Glirulus japonicus,HIB,0.025,—,—,—,380,254,—,34.25,Otsu & Kimura (1993)
MAMMALIA,Rodentia,Glis glis,HIB,0.2,1,0.026,3,977,222,6.7,45.93,"Wyss (1932), Kayser (1939, 1961),"
MAMMALIA,Rodentia,Graphiurus murinus,HIB,0.028,1.5,—,—,192,33,—,−10.12,Mzilikazi et al. (2012)
MAMMALIA,Rodentia,Graphiurus ocularis,HIB,0.068,—,—,—,312,176,16,−30.24,Perrin & Ridgard (1999)
MAMMALIA,Rodentia,Ictidomys tridecemlineatus,HIB,0.14,1.5,—,—,456,336,14.4,41.11,Kisser & Goodwin (2012)
MAMMALIA,Rodentia,Jaculus orientalis,HIB,0.17,10,—,—,158,77,24,29.53,El Ouezzani et al. (2011)
MAMMALIA,Rodentia,Marmota broweri,HIB,3.094,—,—,—,480,334,18.4,68.5,"Lee, Barnes, & Buck (2009)"
MAMMALIA,Rodentia,Marmota flaviventris,HIB,2.5,7.5,0.022,9,360,206,15,42.67,"Florant & Heller (1977), Florant, Hill &"
MAMMALIA,Rodentia,Marmota marmota,HIB,3.1,2.4,0.013,4,353,280,27.8,46.15,"Arnold (1993), Ortmann & Heldmaier"
MAMMALIA,Rodentia,Marmota monax,HIB,3.4,5,0.014,5,185,364,28.3,48.68,"Lyman (1958), Armitage, Woods &"
