Species,Amygdala_current,Amygdala_current_source,Area_striata_grey_matter_current,Area_striata_grey_matter_current_source,Body_weight_current,Body_weight_current_source,Species_Stephan1984,code_Stephan1984,Corpus_geniculatum_laterale_1984,Corpus_geniculatum_laterale_1984_data.deviate.from.STEPHAN.et.al.1981,Number_of_individuals_Corpus_geniculatum_lateralis_1984
AAAA_Anatomy_code,,,,,,,,,CGL,,
AAAA_Reference,ALL,ALL,ALL,ALL,ALL,ALL,Stephan_1984,Stephan_1984,Stephan_1984,Stephan_1984,Stephan_1984
Loris tardigradus,104.1,Stephan_1987,529,deSousa_2010,322,Stephan_1981,Loris tardigradus,3253,24.6,,1
Macaca fascicularis,,,2713.3,deSousa_2010,,,,,,,
Macaca maura,,,,,6050,Bauernfeind_2013,,,,,
Macaca mulatta,678.4,Stephan_1987,5343,deSousa_2010,7800,Stephan_1981,Macaca mulatta,3391,158,,1
Microcebus murinus,36.6,Stephan_1987,136,Frahm_1998,54,Stephan_1981,Microcebus murinus,3199,7.07,7.07,5
Microgale cowani,14.8,Stephan_1987,,,15.2,Stephan_1981,,,,,
Microgale mergulus,26.8,Stephan_1987,,,92,Stephan_1981,,,,,
Micropotamogale lamottei,19,Stephan_1987,,,64.2,Stephan_1981,,,,,
Micropotamogale ruwenzorii,22.2,Stephan_1987,,,,,,,,,
Microsorex hoyi,3.5,Stephan_1987,,,,,,,,,
Miopithecus talapoin,413.1,Stephan_1987,2339,deSousa_2010,1200,Stephan_1981,Miopithecus talapoin,3469,109,109,1
Myosorex babaulti,12.1,Stephan_1987,,,,,,,,,
Nasalis larvatus,718.9,Stephan_1987,4609,Frahm_1998,14000,Stephan_1981,Nasalis larvatus,3499,,,
Neomys fodiens,8.6,Stephan_1987,,,15.2,Stephan_1981,Neomys fodiens,839,,,
Nesogale dobsoni,17,Stephan_1987,,,32.6,Stephan_1981,,,,,
Nesogale talazaci,25.8,Stephan_1987,,,50.4,Stephan_1981,,,,,
Nycticebus coucang,189.2,Stephan_1987,696,deSousa_2010,800,Stephan_1981,Nycticebus coucang,3255,35.9,35.9,1
Oryzorictes hova,20.8,Stephan_1987,,,44.2,Stephan_1981,,,,,
Otolemur crassicaudatus,148.8,Stephan_1987,479,deSousa_2010,850,Stephan_1981,Otolemur crassicaudatus,3267,23.2,23.2,1
Pan paniscus,,,11606.5,deSousa_2010,37133.33333,Bauernfeind_2013,,,,,
Pan troglodytes,1421.8,Stephan_1987,8268.3,deSousa_2010,46503.33333,Bauernfeind_2013,Pan troglodytes,3549,356,,1
Papio anubis,953.5,Stephan_1987,10001,deSousa_2010,25000,Stephan_1981,Papio anubis,3415,395,,1
Perodicticus potto,202.2,Stephan_1987,495,deSousa_2010,1150,Stephan_1981,Perodicticus potto,3259,24.3,,2
Piliocolobus badius,500.9,Stephan_1987,3053,deSousa_2010,7000,Stephan_1981,Colobus badius,3477,128,,2
Pithecia monachus,365.3,Stephan_1987,1679,deSousa_2010,1500,Stephan_1981,Pithecia monachus,3341,76.3,76.3,1
Pithecia pithecia,,,,,1580,Bauernfeind_2013,,,,,
Pongo sp.,1400,Zilles_1988,8233.7,deSousa_2010,61700,Bauernfeind_2013,,,,,
Potamogale velox,62.3,Stephan_1987,,,660,Stephan_1981,,,,,
Propithecus verreauxi,302.2,Stephan_1987,1106,deSousa_2010,3480,Stephan_1981,Propithecus verreauxi,3247,64.5,64.5,2
Pygathrix nemaeus,489.2,Stephan_1987,,,7500,Stephan_1981,,,,,
Rattus norvegicus,34.5,Frahm_1997,,,233.7,Stephan_1981,,,,,
Rhynchocyon cirnei,176,Stephan_1987,,,490,Stephan_1981,,,,,
Ruwenzorisorex suncoides,10.2,Stephan_1987,,,,,,,,,
Saguinus geoffroyi,,,,,482,Bauernfeind_2013,,,,,
Saguinus midas,144.9,Stephan_1987,841,deSousa_2010,340,Stephan_1981,,,,,
Saguinus oedipus,141.8,Stephan_1987,807,deSousa_2010,380,Stephan_1981,Saguinus oedipus,3311,34.2,34.2,1
Saimiri sciureus,242.4,Stephan_1987,1884,deSousa_2010,660,Stephan_1981,Saimiri sciureus,3335,62.9,,1
Scutisorex somereni,17.8,Stephan_1987,,,,,,,,,
Setifer setosus,68.7,Stephan_1987,,,237,Frahm_1994,Setifer setosus,579,1.05,,1
Solenodon paradoxus,133.8,Stephan_1987,,,900,Stephan_1981,,,,,
Sorex araneus,7.7,Stephan_1987,,,10.3,Stephan_1981,Sorex araneus,715,0.07,,1
Sorex cinereus,4.9,Stephan_1987,,,,,,,,,
Sorex fumeus,7.4,Stephan_1987,,,,,,,,,
Sorex minutus,3.7,Stephan_1987,,,5.3,Stephan_1981,Sorex minutus,769,0.06,,1
Spalax ehrenbergi,38.78,Frahm_1997,,,112.9,Stephan_1981,,,,,
Suncus etruscus,1.7,Stephan_1987,,,,,,,,,
Suncus megalura,5.5,Stephan_1987,,,,,,,,,
Suncus murinus,10.9,Stephan_1987,,,35.5,Stephan_1981,Suncus murinus,1137,0.18,,1
Sylvisorex granti,5.1,Stephan_1987,,,,,,,,,
Symphalangus syndactylus,,,5468.9,deSousa_2010,11900,Bauernfeind_2013,,,,,
Talpa europaea,26.3,Stephan_1987,,,76,Stephan_1981,Talpa europaea,1215,,,
Tarsius sp.,53.4,Stephan_1987,349,deSousa_2010,125,Stephan_1981,Tarsius spp.,3282,20.8,,2
Tenrec ecaudatus,88.2,Stephan_1987,,,832,Stephan_1981,Tenrec ecaudatus,577,1.46,,1
Trachypithecus francoisi,,,,,7700,Bauernfeind_2013,,,,,
Tupaia glis,87.3,Stephan_1987,,Frahm_1984,170,Stephan_1981,Tupaia glis,1263,12.9,12.9,4
Tupaia minor,66.6,Stephan_1987,,Frahm_1984,70,Stephan_1981,Tupaia minor,1269,9.88,,2
Urogale everetti,105.2,Stephan_1987,,Frahm_1984,275,Stephan_1981,Urogale everetti,1289,9.98,,1
Varecia variegata,368.2,Stephan_1987,1745,deSousa_2010,3000,Stephan_1981,Varecia variegata,3227,68.9,,1
