"Table I,II,III. Data on body weights (g), brain weights (mg), and volumes of total brain and fundamental brain parts (mm3) in insectivores and primates",,,,,,,,,,,,,,"Table IV,V,VI: Volumes of the telencephalon and of its components (mm3)",,,,,,,,,,Tables VII and VIII. Volumes of components of the diencephalon (mm3),,,,,,,,,,,,,"Table X-XI. Volumes of paleocortex, of amygdala and its various components (mm3)",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code_number,Species,Number_of_individuals_1_to_18,Body_weight,Brain_weight,,Ventricles,Meninges_hypophysis_nerves_etc.,Total_brain_(net_volume),,Medulla-oblongata,Cerebellum,Mesencephalon,Diencephalon,Telencephalon,,Bulbus_olfactorius,Bulbus_olfactorius_accessorius,Lobus_piriformis,Septum,Striatum,Schizo_cortex,Hippocampus,Neocortex,Number_of_individuals_19_to_26,Epithalamus,Thalamus,Hypothalamus,Subthalamus,,Pallidum,Nucleus_subthalamicus,Capsula_interna,Tractus_opticus,Number_of_individuals,Area_striata_visual_cortex,Corpus_geniculatum_laterale,Number_of_individuals,Palaeocortex,Amygdala,Complexus_centromedialis,Nucleus_tractus_olfactorius,Complexus_corticobasolateralis,"Nucleus_amygdalae_basalis,_pars_magnocellularis"
, ,,1,2,,3,4,5_(=6-10),,6,7,8,9,10_(=11-18),,11,12,13,14,15,16,17,18,,19,20,21,22_(=23+24),,23,24,25,26,,27,28,,29,30_(=31+33),31,32,33,34
Table I. Insectivores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Solenodon paradoxus,2,900,"4,670",0,56.4,169,"4,282",102,466,753,206,269,"2,486",-102,465,0.218,689,65.4,255,156,296,661,,,,,,,,,,,,,,,,,,,,
2,Tenrec ecaudatus,3,832,"2,570",0,65.3,101,"2,315",1,313,309,132,153,"1,407",0,314,0.715,464,36.9,98.1,76.5,146,271,2,2.7,62.1,51.4,11.5,0.019,11,0.481,13.2,2.73,,,,1,364,88.1,39.9,3.18,48.1,8.9
3,Setifer setosus,2,248,"1,510",0,21.3,32.3,"1,404",1,183,142,75.7,99.7,903,0,209,0.534,336,26,56.6,41.9,99.2,134,1,1.62,41.5,38.3,5.81,0.004,5.49,0.316,8.57,1.07,,,,2,269,67.2,30.9,2.71,36.2,7.46
4,Hemicentetes semispin.,1,110,830,0,15.5,29,757,1,108,117,44.8,48.5,438,-1,93.6,0.196,148,12.8,29.8,17.4,63.7,73.4,1,1.16,19,17.1,3.31,0.002,3.12,0.188,2.81,0.507,,,,1,125,22.3,10.4,1.3,11.9,2.39
5,Echinops telfairi,2,87.5,620,0,8.34,23.9,566,-1,89.9,57.9,43.8,40.1,335,1,71.2,0.249,116,11.5,24.1,13.1,46.4,51.5,1,0.977,17.9,16.4,2.68,-0.002,2.44,0.242,2.23,0.605,,,,1,93.1,22.1,10.8,0.71,11.3,3.19
6,Oryzorictes talpoides,1,44.2,580,0,4.83,17.3,538,0,61,81.3,26.6,36.9,332,0,46.9,0.12,88,10,32.5,23.5,64.3,66.5,,,,,,,,,,,,,,,,,,,,
7,Microgale cowani,1,15.2,420,0,7.12,6.4,392,0,45.3,49.5,24,25.4,248,0,35.9,0.162,79,6.08,19.4,13.5,36.4,57.2,,,,,,,,,,,,,,,,,,,,
8,Limnogale mergulus,1,92,"1,150",0,12.6,51,"1,046",0,204,176,67.4,81,518,-1,42.9,0.323,87.4,19.5,57.9,36.4,78.2,196,,,,,,,,,,,,,,,,,,,,
