Table XII-XIII. Volumes of vestibular complex and its various components (mm3),,,,,,,
,,,,,,,
Code_number,Species,Number_of_individuals,Complexus_vestibularis,Nucleus_vestibularis_superior,Nucleus_vestibularis_lateralis,Nucleus_vestibularis_medialis,Nucleus_vestibularis_descendens
,,,35_(=36-39),36,37,38,39
Table XII. Insectivores,,,,,,,
0002,Tenrec ecaudatus,2,7.59,1.23,1.33,2.68,2.35
0003,Setifer setosus,1,3.75,0.689,0.483,1.44,1.14
0004,Hemicentetes semispin.,1,2.5,0.384,0.552,0.852,0.709
0005,Echinops telfairi,1,1.69,0.291,0.281,0.615,0.505
0022,Erinaceus europaeus,1,7.54,1.21,1.72,2.85,1.77
0041,Sorex minutus,1,0.41,0.0482,0.0713,0.174,0.116
0042,Sorex araneus,1,0.618,0.107,0.0955,0.249,0.166
0059,Crocidura occidentalis,2,1.32,0.171,0.222,0.543,0.389
0060,Crocidura russula,1,0.563,0.077,0.084,0.235,0.167
0063,Suncus murinus,1,1.03,0.1,0.167,0.438,0.324
Table XIII. Primates,,,,,,,
0102,Tupaia glis,1,10.1,2.16,2.07,3.27,2.62
0111,Cheirogaleus major,1,11.1,1.86,1.78,4.18,3.27
0114,Microcebus murinus,2,4.02,0.679,0.76,1.5,1.08
0117,Lepilemur ruficaudatus,1,14.9,2.11,2.38,5.92,4.47
0118,Lemur fulvus,1,31.1,6.22,5.9,9.75,9.27
0131,Avahi l. occidentalis,2,18.1,3.1,3.32,6.86,4.81
0132,Propithecus verreauxi,1,43.2,8.18,7.37,15.3,12.4
0137,Loris tardigradus,1,8.45,1.61,1.22,3.55,2.08
0139,Perodicticus potfo,2,17.3,2.86,2.66,7.87,3.88
0141,Galago crassicaudatus,1,19.9,2.85,2.87,7.16,7.01
0142,Galago demidovii,2,6.65,1.02,1.01,2.72,1.9
0147,Tarsius sp.,1,7.69,0.759,1.16,3.36,2.41
0156,Cebuella pygmaea,1,11.1,2.1,2.94,4.11,1.96
0164,Saguinus oedipus,2,18.4,2.98,3.63,7.25,4.49
0184,Ateles geoffroyi,1,49.7,7.2,6.81,23.8,11.9
0186,Lagothrix lagotricha,2,53,9.07,6.94,23,14.1
0191,Cebus sp.,1,50.2,11.2,7.45,19.2,12.3
0192,Saimiri sciureus,1,29.4,4.43,6.26,11.4,7.31
0209,Cercocebus albigena,1,87.1,16.2,10,35.6,25.2
0212,Papio anubis,1,107,14.4,10.5,48.1,33.9
0231,Cercopithecus ascanius,1,52,8.21,5.88,20.8,17.2
0243,Nasalis larvatus,1,86.2,12.6,14.8,33.6,25.2
0246,Colobus badius,2,57.3,8.68,10,24.1,14.5
0271,Hylobates lar,1,59.3,14.9,5.53,24.5,14.5
0277,Pan troglodytes,1,118,23.5,9.65,54.7,29.8
0279,Gorilla gorilla,1,136,34.7,19.5,58.4,23.6
0280,Homo sapiens sapiens,1,177,35.8,22.4,72.8,45.9
