Tables VII and VIII. Volumes of components of the diencephalon (mm3),,,,,,,,,,
,,,,,,,,,,
Code_number,Species,Number_of_individuals,Epithalamus,Thalamus,Hypothalamus,Subthalamus,Pallidum,Nucleus_subthalamicus,Capsula_interna,Tractus_opticus
,,,19,20,21,22_(=23+24),23,24,25,26
Table VII. Insectivores,,,,,,,,,,
2,Tenrec ecaudatus,2,2.7,62.1,51.4,11.5,11,0.481,13.2,2.73
3,Setifer setosus,1,1.62,41.5,38.3,5.81,5.49,0.316,8.57,1.07
4,Hemicentetes semispin.,1,1.16,19,17.1,3.31,3.12,0.188,2.81,0.507
5,Echinops telfairi,1,0.977,17.9,16.4,2.68,2.44,0.242,2.23,0.605
22,Erinaceus europaeus,2,3.71,117,79.9,14.2,13.3,0.903,18.8,3.94
41,Sorex minutus,1,0.161,3.92,3.07,0.707,0.65,0.0569,0.288,0.106
42,Sorex araneus,2,0.264,7.25,5.17,1.09,0.979,0.105,0.61,0.144
59,Crocidura occidentalis,2,0.657,14.6,9.77,1.78,1.63,0.142,2.19,0.252
60,Crocidura russula,1,0.368,7.48,4.61,0.87,0.781,0.0889,0.727,0.116
63,Suncus murinus,1,0.53,12.3,9.67,1.7,1.58,0.116,1.18,0.232
Table VIII. Primates,,,,,,,,,,
102,Tupaia glis,1,1.98,153,47.5,18.6,17.2,1.39,24.6,39.3
111,Cheirogaleus major,1,4.83,271,101,33.8,31.6,2.27,48.6,18
114,Microcebus murinus,2,1.44,78.3,29.8,11.4,10.7,0.65,9.08,6.17
117,Lepilemur ruficaudatus,1,4.89,337,114,58.1,55.2,2.91,63,20.7
118,Lemur fulvus,1,12.2,"1,028",239,225,212,13.9,248,108
131,Avahi l. occidentalis,2,6.52,489,137,80.5,74.5,5.94,105,38.3
132,Propithecus verreauxi,1,14.6,"1,341",328,283,263,20,324,125
137,Loris tardigradus,1,3.21,348,80.9,45.2,41.4,3.79,46.3,15.7
139,Perodicticus potto,2,10.4,587,160,116,107,8.19,107,19.5
141,Galago crassicaudatus,1,5.71,437,127,67.4,63.3,4.1,74.6,33.9
142,Galago demidovii,2,2.09,153,45.1,18.3,17,1.4,18.4,11.5
147,Tarsius sp.,1,2.53,175,42.5,17.1,16.1,1.09,16.7,15.5
156,Cebuella pygmaea,1,3.68,190,69.2,27.7,25.8,1.95,21.8,23.8
164,Saguinus oedipus,2,4.93,410,152,77.6,73.2,4.45,62.7,50.5
184,Ateles geoffroyi,1,30.5,"2,930",629,860,807,52.8,570,204
186,Lagothrix lagotricha,2,31,"2,959",624,909,845,63.8,612,203
191,Cebus sp.,1,23.7,"2,163",418,609,567,41.7,549,207
192,Saimiri sciureus,1,8.86,731,207,180,169,11.5,132,117
209,Cercocebus albigena,1,27.9,"2,933",681,726,674,52.4,708,308
212,Papio anubis,1,65.4,"4,788","1,076","1,241","1,147",94.7,"1,257",601
231,Cercopithecus ascanius,1,17.9,"1,916",410,431,405,25.7,421,320
243,Nasalis larvatus,1,29.6,"3,036",671,587,550,37.2,564,304
246,Colobus badius,2,22.3,"2,164",484,553,521,31.9,460,201
271,Hylobates lar,1,31.2,"3,226",629,777,715,61.6,693,302
277,Pan troglodytes,1,53.6,"7,987","1,739","2,078","1,951",127,"2,510",630
279,Gorilla gorilla,1,106,"10,547","2,215","2,782","2,604",178,"2,471",671
280,Homo sapiens sapiens,1,133,"18,222","3,555","5,180","4,711",469,"7,008",823
,,,,,,,,,,
,,,,,,,,,,
25: Made up of the portion of the internal capsule that passes through the diencephalon.,,,,,,,,,,
