"Original_Term","Reference"
"Species","HerculanoHouzel_etal_2015_Table4"
"Order","HerculanoHouzel_etal_2015_Table4"
"Olfactory bulb n","HerculanoHouzel_etal_2015_Table4"
"Olfactory bulb Mass, g","HerculanoHouzel_etal_2015_Table4"
"Olfactory bulb Mass, g SD","HerculanoHouzel_etal_2015_Table4"
"Olfactory bulb N, n","HerculanoHouzel_etal_2015_Table4"
"Olfactory bulb N, n SD","HerculanoHouzel_etal_2015_Table4"
"Olfactory bulb O, n","HerculanoHouzel_etal_2015_Table4"
"Olfactory bulb O, n SD","HerculanoHouzel_etal_2015_Table4"
"Olfactory bulb N/mg","HerculanoHouzel_etal_2015_Table4"
"Olfactory bulb N/mg SD","HerculanoHouzel_etal_2015_Table4"
"Olfactory bulb O/mg","HerculanoHouzel_etal_2015_Table4"
"Olfactory bulb O/mg SD","HerculanoHouzel_etal_2015_Table4"
"Olfactory bulb O/N","HerculanoHouzel_etal_2015_Table4"
"Olfactory bulb O/N SD","HerculanoHouzel_etal_2015_Table4"
"Olfactory bulb Source","HerculanoHouzel_etal_2015_Table4"
