"Original_Term","Reference"
"Species","Kverkova_etal_2018_TableS1"
"Body_Mass.g","Kverkova_etal_2018_TableS1"
"Body_Mass.g_SD","Kverkova_etal_2018_TableS1"
"Brain_Mass.g","Kverkova_etal_2018_TableS1"
"Brain_Mass.g_SD","Kverkova_etal_2018_TableS1"
"Olfactory bulbs_Vol.mm3","Kverkova_etal_2018_TableS1"
"Olfactory bulbs_Vol.mm3_SD","Kverkova_etal_2018_TableS1"
"Olfactory bulbs_p.C.Brain","Kverkova_etal_2018_TableS1"
"Olfactory cortices_Vol.mm3","Kverkova_etal_2018_TableS1"
"Olfactory cortices_Vol.mm3_SD","Kverkova_etal_2018_TableS1"
"Olfactory cortices_p.C.Brain","Kverkova_etal_2018_TableS1"
"Neocortex_Vol.mm3","Kverkova_etal_2018_TableS1"
"Neocortex_Vol.mm3_SD","Kverkova_etal_2018_TableS1"
"Neocortex_p.C.Brain","Kverkova_etal_2018_TableS1"
"Entorhinal cortex_Vol.mm3","Kverkova_etal_2018_TableS1"
"Entorhinal cortex_Vol.mm3_SD","Kverkova_etal_2018_TableS1"
"Entorhinal cortex_p.C.Brain","Kverkova_etal_2018_TableS1"
"Hippocampus_Vol.mm3","Kverkova_etal_2018_TableS1"
"Hippocampus_Vol.mm3_SD","Kverkova_etal_2018_TableS1"
"Hippocampus_p.C.Brain","Kverkova_etal_2018_TableS1"
"Amygdala_Vol.mm3","Kverkova_etal_2018_TableS1"
"Amygdala_Vol.mm3_SD","Kverkova_etal_2018_TableS1"
"Amygdala_p.C.Brain","Kverkova_etal_2018_TableS1"
"Striatum_Vol.mm3","Kverkova_etal_2018_TableS1"
"Striatum_Vol.mm3_SD","Kverkova_etal_2018_TableS1"
"Striatum_p.C.Brain","Kverkova_etal_2018_TableS1"
"Septum_Vol.mm3","Kverkova_etal_2018_TableS1"
"Septum_Vol.mm3_SD","Kverkova_etal_2018_TableS1"
"Septum_p.C.Brain","Kverkova_etal_2018_TableS1"
"Thalamus_Vol.mm3","Kverkova_etal_2018_TableS1"
"Thalamus_Vol.mm3_SD","Kverkova_etal_2018_TableS1"
"Thalamus_p.C.Brain","Kverkova_etal_2018_TableS1"
"Hypothalamus_Vol.mm3","Kverkova_etal_2018_TableS1"
"Hypothalamus_Vol.mm3_SD","Kverkova_etal_2018_TableS1"
"Hypothalamus_p.C.Brain","Kverkova_etal_2018_TableS1"
"Cerebellum_Vol.mm3","Kverkova_etal_2018_TableS1"
"Cerebellum_Vol.mm3_SD","Kverkova_etal_2018_TableS1"
"Cerebellum_p.C.Brain","Kverkova_etal_2018_TableS1"
"Tectum_Vol.mm3","Kverkova_etal_2018_TableS1"
"Tectum_Vol.mm3_SD","Kverkova_etal_2018_TableS1"
"Tectum_p.C.Brain","Kverkova_etal_2018_TableS1"
"Tegmentum_Vol.mm3","Kverkova_etal_2018_TableS1"
"Tegmentum_Vol.mm3_SD","Kverkova_etal_2018_TableS1"
"Tegmentum_p.C.Brain","Kverkova_etal_2018_TableS1"
"Medulla oblongata_Vol.mm3","Kverkova_etal_2018_TableS1"
"Medulla oblongata_Vol.mm3_SD","Kverkova_etal_2018_TableS1"
"Medulla oblongata_p.C.Brain","Kverkova_etal_2018_TableS1"
