"Original_Term","Reference"
"Species","HerculanoHouzel_etal_2015_Table2"
"Order","HerculanoHouzel_etal_2015_Table2"
"Cerebellum Mass, g","HerculanoHouzel_etal_2015_Table2"
"Cerebellum Mass, g SD","HerculanoHouzel_etal_2015_Table2"
"Cerebellum N, n","HerculanoHouzel_etal_2015_Table2"
"Cerebellum N, n SD","HerculanoHouzel_etal_2015_Table2"
"Cerebellum O, n","HerculanoHouzel_etal_2015_Table2"
"Cerebellum O, n SD","HerculanoHouzel_etal_2015_Table2"
"Cerebellum N/mg","HerculanoHouzel_etal_2015_Table2"
"Cerebellum N/mg SD","HerculanoHouzel_etal_2015_Table2"
"Cerebellum O/mg","HerculanoHouzel_etal_2015_Table2"
"Cerebellum O/mg SD","HerculanoHouzel_etal_2015_Table2"
"Cerebellum O/N","HerculanoHouzel_etal_2015_Table2"
"Cerebellum O/N SD","HerculanoHouzel_etal_2015_Table2"
"Cerebellum Source","HerculanoHouzel_etal_2015_Table2"
