"Original_Term","Reference"
"Species","HerculanoHouzel_etal_2015_Table5"
"Order","HerculanoHouzel_etal_2015_Table5"
"Whole brain n","HerculanoHouzel_etal_2015_Table5"
"Body mass, g","HerculanoHouzel_etal_2015_Table5"
"Body mass, g SD","HerculanoHouzel_etal_2015_Table5"
"Brain mass, g","HerculanoHouzel_etal_2015_Table5"
"Brain mass, g SD","HerculanoHouzel_etal_2015_Table5"
"Whole brain Neurons","HerculanoHouzel_etal_2015_Table5"
"Whole brain Neurons SD","HerculanoHouzel_etal_2015_Table5"
"Whole brain Other cells","HerculanoHouzel_etal_2015_Table5"
"Whole brain Other cells SD","HerculanoHouzel_etal_2015_Table5"
"Whole brain % Neurons","HerculanoHouzel_etal_2015_Table5"
"Whole brain % Neurons SD","HerculanoHouzel_etal_2015_Table5"
"Whole brain Source","HerculanoHouzel_etal_2015_Table5"
