species,group,bulbus_olfactorius_mm3,palaeocortex_plus_amygdala_mm3,septum_mm3,striatum_mm3,schizocortex_mm3,hippocampus_mm3,neocortex_mm3,source
Sorex minutus,Insectivore,8.7,17.2,2,6,3.6,10.5,12.7,Stephan_etal_1970_Table4
Sorex araneus,Insectivore,14.2,32.7,3.8,10.1,7.2,20.6,28.1,Stephan_etal_1970_Table4
Crocidura russula,Insectivore,16.4,30.2,3.6,8.2,6.1,15.9,25.5,Stephan_etal_1970_Table4
Crocidura occidentalis,Insectivore,37.8,68.4,6.9,16.8,13.3,38.5,59.1,Stephan_etal_1970_Table4
Suncus murinus,Insectivore,34.4,56.2,5.5,14.8,12.6,31.2,54.1,Stephan_etal_1970_Table4
Echinops telfairi,Insectivore,65.7,118,11,24.1,9.6,49.6,48.5,Stephan_etal_1970_Table4
Hemicentetes semispinosus,Insectivore,93.8,148,12.8,29.8,17.4,63.7,73.4,Stephan_etal_1970_Table4
Setifer setosus,Insectivore,210,338,26,55.6,41.9,97.7,134,Stephan_etal_1970_Table4
Tenrec ecaudatus,Insectivore,293,452,37.9,101,71.3,146,280,Stephan_etal_1970_Table4
Erinaceus europaeus,Insectivore,350,507,46.2,134,120,220,543,Stephan_etal_1970_Table4
Aethechinus algirus,Insectivore,297,504,41.6,163,113,268,541,Stephan_etal_1970_Table4
Solenodon paradoxus,Insectivore,478,683,68.1,235,140,299,583,Stephan_etal_1970_Table4
Nesogale talazaci,Insectivore,74.6,139,11.2,31.2,20.7,98.9,96.2,Stephan_etal_1970_Table4
Limnogale mergulus,Insectivore,43.2,87.4,19.5,57.9,36.4,78.2,196,Stephan_etal_1970_Table4
Potamogale velox,Insectivore,87,191,50.7,132,142,294,1039,Stephan_etal_1970_Table4
Neomys fodiens,Insectivore,15.9,36,6.4,18.7,9,32.9,56.6,Stephan_etal_1970_Table4
Talpa europaea,Insectivore,60,112,14.9,60.2,39.6,86.7,181,Stephan_etal_1970_Table4
Galemys pyrenaicus,Insectivore,39.2,107,20.1,74.4,44.9,109,339,Stephan_etal_1970_Table4
Desmana moschata,Insectivore,142,320,42.6,222,163,267,983,Stephan_etal_1970_Table4
Chlorotalpa stuhlmanni,Insectivore,60.8,131,11.3,43.5,21.4,59.1,129,Stephan_etal_1970_Table4
Elephantulus fuscipes,Insectivore,63.9,121,16.8,44.5,46.8,171,236,Stephan_etal_1970_Table4
Rhynchocyon stuhlmanni,Insectivore,427,705,81.5,222,220,582,1089,Stephan_etal_1970_Table4
