species,group,body_weight_g,brain_weight_mg,total_brain_net_mm3,medulla_oblongata_mm3,cerebellum_mm3,mesencephalon_mm3,diencephalon_mm3,telencephalon_mm3,source
Sorex minutus,Insectivore,5.3,110,103,17,11,5.9,8.7,60.7,Stephan_etal_1970_Table1
Sorex araneus,Insectivore,10.3,200,188,26.3,18.3,10.6,15.9,117,Stephan_etal_1970_Table1
Crocidura russula,Insectivore,11,190,178,23.6,21.8,11.7,15,106,Stephan_etal_1970_Table1
Crocidura occidentalis,Insectivore,28,440,408,59.8,51.3,27.7,28.4,241,Stephan_etal_1970_Table1
Suncus murinus,Insectivore,35,380,354,50.5,44.8,24.2,26,209,Stephan_etal_1970_Table1
Echinops telfairi,Insectivore,87.5,620,569,102,56,45.5,40,326,Stephan_etal_1970_Table1
Hemicentetes semispinosus,Insectivore,110,830,757,108,117,44.8,48.5,438,Stephan_etal_1970_Table1
Setifer setosus,Insectivore,248,1510,1404,183,142,75.7,99.7,903,Stephan_etal_1970_Table1
Tenrec ecaudatus,Insectivore,832,2570,2336,309,339,137,169,1381,Stephan_etal_1970_Table1
Erinaceus europaeus,Insectivore,860,3350,2969,289,388,142,229,1921,Stephan_etal_1970_Table1
Aethechinus algirus,Insectivore,700,3550,3174,397,407,157,285,1927,Stephan_etal_1970_Table1
Solenodon paradoxus,Insectivore,900,4670,4262,493,807,204,272,2486,Stephan_etal_1970_Table1
Nesogale talazaci,Insectivore,50.4,790,741,85.3,92.3,47.2,43.8,472,Stephan_etal_1970_Table1
Limnogale mergulus,Insectivore,92,1150,1046,204,176,67.4,81,518,Stephan_etal_1970_Table1
Potamogale velox,Insectivore,660,4100,3822,746,597,250,294,1936,Stephan_etal_1970_Table1
Neomys fodiens,Insectivore,15.2,320,299,42.2,38.9,17.3,25.2,175,Stephan_etal_1970_Table1
Talpa europaea,Insectivore,76,1020,953,95.5,174,49.8,80.2,554,Stephan_etal_1970_Table1
Galemys pyrenaicus,Insectivore,57.5,1330,1230,147,184,62.2,105,733,Stephan_etal_1970_Table1
Desmana moschata,Insectivore,440,4000,3620,402,514,219,344,2140,Stephan_etal_1970_Table1
Chlorotalpa stuhlmanni,Insectivore,39.8,740,693,68.3,74.7,42,51.8,457,Stephan_etal_1970_Table1
Elephantulus fuscipes,Insectivore,57,1330,1233,120,183,117,112,700,Stephan_etal_1970_Table1
Rhynchocyon stuhlmanni,Insectivore,490,6100,5680,507,798,523,524,3328,Stephan_etal_1970_Table1
