Species,CerebralCortex_Neuron.n,CerebralCortex_OtherCells.n,WholeBrain_Neuron.n,WholeBrain_OtherCells.n,CerebralCortex_Microglia.per.mg,WholeBrain_Microglia.per.mg,CerebralCortex_Neuron.n_Source,CerebralCortex_OtherCells.n_Source,WholeBrain_Neuron.n_Source,WholeBrain_OtherCells.n_Source,CerebralCortex_Microglia.per.mg_Source,WholeBrain_Microglia.per.mg_Source
Amblysomus hottentotus,21516000,21370000,65074000,46631000,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Antidorcas marsupialis,396896159,4126259275,2724595233,5912784575,3791,3810,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Aotus trivirgatus,441900000,695420000,1468410000,1195130000,2635,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,DosSantos_etal_2020_Table1,NA
Bathyergus suillus,43480000,NA,337480000,NA,NA,NA,Kverkova_etal_2018_TableS5,NA,Kverkova_etal_2018_TableS5,NA,NA,NA
Blarina brevicauda,11876000,15820000,55190000,33550000,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Callimico goeldii,357129180,715330820,NA,NA,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,NA,NA,NA,NA
Callithrix jacchus,244720000,395340000,635800000,590740000,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Canis lupus familiaris,527910000,3416460000,2252690000,5193230000,4788,5382,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,JardimMesseder_etal_2017_Table1,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Cardioderma cor,10221440,NA,81331192,NA,NA,NA,HerculanoHouzel_etal_2020_TABLE2,NA,HerculanoHouzel_etal_2020_TABLE1,NA,NA,NA
Casinycteris argynnis,10471765,NA,99016077,NA,NA,NA,HerculanoHouzel_etal_2020_TABLE2,NA,HerculanoHouzel_etal_2020_TABLE1,NA,NA,NA
Cavia porcellus,43510525,108614475,233557275,228087725,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Coleura afra,5080428,NA,58580214,NA,NA,NA,HerculanoHouzel_etal_2020_TABLE2,NA,HerculanoHouzel_etal_2020_TABLE1,NA,NA,NA
Condylura cristata,17250000,32010000,131330000,83040000,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Cryptomys hottentotus,11730000,NA,88250000,NA,NA,NA,Kverkova_etal_2018_TableS5,NA,Kverkova_etal_2018_TableS5,NA,NA,NA
Cryptomys hottentotus natalensis,17460000,NA,138130000,NA,NA,NA,Kverkova_etal_2018_TableS5,NA,Kverkova_etal_2018_TableS5,NA,NA,NA
Cryptomys hottentotus pretoriae,20560000,NA,157090000,NA,NA,NA,Kverkova_etal_2018_TableS5,NA,Kverkova_etal_2018_TableS5,NA,NA,NA
Cynomys sp.,53768353,183451647,437943767,417349567,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Damaliscus pygargus phillipsi,570673431,6762256227,3058814227,9343246559,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Dasyprocta prymnolopha,110641950,416208050,795112070,951677930,NA,NA,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,NA,NA
Dendrohyrax dorsalis,98960000,183540000,504572834,413574000,1832,10129,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Dendrolagus goodfellowi,273430000,NA,1550000000,NA,4110,3818,DosSantos_etal_2017_TableS1,NA,DosSantos_etal_2017_TableS1,NA,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Didelphis aurita,42500000,NA,392500000,NA,5511,5961,DosSantos_etal_2017_TableS1,NA,DosSantos_etal_2017_TableS1,NA,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Elephantulus myurus,25865000,26229000,129190603,78594397,2338,2818,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table1,HerculanoHouzel_etal_2015_Table5,HerculanoHouzel_etal_2015_Table5,DosSantos_etal_2020_Table1,DosSantos_etal_2020_Table1
Epomophorus wahlbergi,26201540,NA,161754633,NA,NA,NA,HerculanoHouzel_etal_2020_TABLE2,NA,HerculanoHouzel_etal_2020_TABLE1,NA,NA,NA
Epomops franqueti,22533501,NA,186002499,NA,NA,NA,HerculanoHouzel_etal_2020_TABLE2,NA,HerculanoHouzel_etal_2020_TABLE1,NA,NA,NA
