"Original_Term","Standardized_Term","Reference","Description"
"Species","","HerculanoHouzel_etal_2015_Table3",""
"Order","","HerculanoHouzel_etal_2015_Table3",""
"RoB Mass, g","","HerculanoHouzel_etal_2015_Table3",""
"RoB Mass, g SD","","HerculanoHouzel_etal_2015_Table3",""
"RoB N, n","","HerculanoHouzel_etal_2015_Table3",""
"RoB N, n SD","","HerculanoHouzel_etal_2015_Table3",""
"RoB O, n","","HerculanoHouzel_etal_2015_Table3",""
"RoB O, n SD","","HerculanoHouzel_etal_2015_Table3",""
"RoB N/mg","","HerculanoHouzel_etal_2015_Table3",""
"RoB N/mg SD","","HerculanoHouzel_etal_2015_Table3",""
"RoB O/mg","","HerculanoHouzel_etal_2015_Table3",""
"RoB O/mg SD","","HerculanoHouzel_etal_2015_Table3",""
"RoB O/N","","HerculanoHouzel_etal_2015_Table3",""
"RoB O/N SD","","HerculanoHouzel_etal_2015_Table3",""
"RoB Source","","HerculanoHouzel_etal_2015_Table3",""
