Species,Variable,Source,Value,priority
Marmosops incanus,Body_Mass.g,DosSantos_etal_2017_TableS1,100,6
Marmosops incanus,WholeBrain_Mass.g,DosSantos_etal_2017_TableS1,0.91,6
Marmosops incanus,CerebralCortex_Mass.g,DosSantos_etal_2017_TableS1,0.408,6
Marmosops incanus,Hippocampus_Mass.g,DosSantos_etal_2017_TableS1,0.06,6
Marmosops incanus,Cerebellum_Mass.g,DosSantos_etal_2017_TableS1,0.158,6
Marmosops incanus,RoB_Mass.g,DosSantos_etal_2017_TableS1,0.344,6
Marmosops incanus,DiencephalonStriatum_Mass.g,DosSantos_etal_2017_TableS1,0.104,6
Marmosops incanus,Mesencephalon_Mass.g,DosSantos_etal_2017_TableS1,0.092,6
Marmosops incanus,MesencephalonDiencephalonStriatum_Mass.g,DosSantos_etal_2017_TableS1,0.196,6
Marmosops incanus,PonsMedulla_Mass.g,DosSantos_etal_2017_TableS1,0.148,6
Marmosops incanus,OlfactoryBulb_Mass.g,DosSantos_etal_2017_TableS1,0.084,6
Marmosops incanus,WholeBrain_N.n,DosSantos_etal_2017_TableS1,112050000,6
Marmosops incanus,CerebralCortex_N.n,DosSantos_etal_2017_TableS1,20410000,6
Marmosops incanus,CerebralCortexGrey_N.n,DosSantos_etal_2017_TableS1,NA,6
Marmosops incanus,Hippocampus_N.n,DosSantos_etal_2017_TableS1,2580000,6
Marmosops incanus,Cerebellum_N.n,DosSantos_etal_2017_TableS1,82400000,6
Marmosops incanus,RoB_N.n,DosSantos_etal_2017_TableS1,9240000,6
Marmosops incanus,DiencephalonStriatum_N.n,DosSantos_etal_2017_TableS1,3370000,6
Marmosops incanus,Mesencephalon_N.n,DosSantos_etal_2017_TableS1,3070000,6
Marmosops incanus,MesencephalonDiencephalonStriatum_N.n,DosSantos_etal_2017_TableS1,6440000,6
Marmosops incanus,PonsMedulla_N.n,DosSantos_etal_2017_TableS1,2800000,6
Marmosops incanus,OlfactoryBulb_N.n,DosSantos_etal_2017_TableS1,5520000,6
Marmosops incanus,CerebralCortex_N.p.mg,DosSantos_etal_2017_TableS1,50033,6
Marmosops incanus,CerebralCortexGrey_N.p.mg,DosSantos_etal_2017_TableS1,NA,6
Marmosops incanus,Hippocampus_N.p.mg,DosSantos_etal_2017_TableS1,43036,6
Marmosops incanus,Cerebellum_N.p.mg,DosSantos_etal_2017_TableS1,521513,6
