"Original_Term","Standardized_Term","Reference","Description"
"Species","","HerculanoHouzel_etal_2020_Table1",""
"Micro/mega","","HerculanoHouzel_etal_2020_Table1",""
"Family","","HerculanoHouzel_etal_2020_Table1",""
"Clade","","HerculanoHouzel_etal_2020_Table1",""
"n","","HerculanoHouzel_etal_2020_Table1",""
"MBODY, g","","HerculanoHouzel_etal_2020_Table1",""
"MBRAIN, g","","HerculanoHouzel_etal_2020_Table1",""
"NBRAIN","","HerculanoHouzel_etal_2020_Table1",""
