Species,Body_Mass.g,Cerebellum_Mass.g,Cerebellum_N.n,Cerebellum_N.p.mg,Cerebellum_O.n,Cerebellum_O.p.N,Cerebellum_O.p.mg,CerebralCortex_Mass.g,CerebralCortex_N.n,CerebralCortex_N.p.mg,CerebralCortex_O.n,CerebralCortex_O.p.N,CerebralCortex_O.p.mg,RoB_Mass.g,RoB_N.n,RoB_N.p.mg,RoB_O.n,RoB_O.p.N,RoB_O.p.mg,WholeBrain_Mass.g,WholeBrain_N.n,WholeBrain_O.n,Cerebellum_I.n,Cerebellum_I.p.mg,CerebralCortexNoHippocampus_I.p.mg,CerebralCortex_I.n,CerebralCortex_I.p.mg,Hippocampus_I.p.mg,OlfactoryBulb_Mass.g,OlfactoryBulb_N.n,OlfactoryBulb_N.p.mg,OlfactoryBulb_O.n,OlfactoryBulb_O.p.N,OlfactoryBulb_O.p.mg,RoB_I.n,RoB_I.p.mg,WholeBrain_I.n,WholeBrain_I.p.mg,Amygdala_Vol.mm3,Cerebellum_Vol.mm3,EntorhinalCortex_Vol.mm3,Hippocampus_Vol.mm3,Hypothalamus_Vol.mm3,Medulla_Vol.mm3,MesencephalonMedulla_N.n,Neocortex_Vol.mm3,OlfactoryBulb_Vol.mm3,OlfactoryCortices_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,SubcorticalForebrain_N.n,Tectum_Vol.mm3,Tegmentum_Vol.mm3,Thalamus_Vol.mm3,WholeBrainOlfactoryBulb_Mass.g,WholeBrainOlfactoryBulb_N.n,Hippocampus_I.n,Hippocampus_Mass.g,Hippocampus_N.n,Hippocampus_N.p.mg,Hippocampus_O.n,Hippocampus_O.p.N,WholeBrain_O.p.N,CerebralCortexGrey_N.n,CerebralCortexGrey_N.p.mg,CerebralCortexGrey_O.p.N,MesencephalonDiencephalonStriatum_Mass.g,MesencephalonDiencephalonStriatum_N.n,MesencephalonDiencephalonStriatum_N.p.mg,MesencephalonDiencephalonStriatum_O.p.N,PonsMedulla_Mass.g,PonsMedulla_N.n,PonsMedulla_N.p.mg,PonsMedulla_O.p.N,DiencephalonStriatum_Mass.g,DiencephalonStriatum_N.n,DiencephalonStriatum_N.p.mg,DiencephalonStriatum_O.p.N,Mesencephalon_Mass.g,Mesencephalon_N.n,Mesencephalon_N.p.mg,Mesencephalon_O.p.N,PonsMedulla_I.n,PonsMedulla_I.p.mg
Georychus capensis,155.09,NA,116740000,NA,NA,NA,NA,NA,25600000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157210000,NA,NA,NA,NA,NA,NA,NA,NA,12460000,NA,NA,NA,NA,NA,NA,NA,NA,28,250,53,114,50,151,5810000,401,74,97,21,123,9060000,34,62,87,1.65,169670000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Giraffa camelopardalis,470000,67.73,8878076563,131080,5520360938,0.622,81505,398.808,1730513460,4339,27513706540,15.9,68990,70.68,142697625,2019,4878864876,34.19,69028,537.218,10751287650,37912932350,298079730,4401,6278,2524454640,6330,9327,2.052,24678000,12026,232384500,9.417,113248,495113400,7005,3372654604,6278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gorilla gorilla,NA,37.56,26400000000,702875,2900000000,0.11,77210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heliophobius argenteocinereus,180.51,NA,94820000,NA,NA,NA,NA,NA,25440000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137640000,NA,NA,NA,NA,NA,NA,NA,NA,10300000,NA,NA,NA,NA,NA,NA,NA,NA,34,215,56,115,42,120,5460000,457,60,107,18,127,11920000,28,56,90,1.65,147940000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heterocephalus glaber,30.520000000000003,0.048,18131135,327280,5482730,0.356,115748,0.184,5730937.5,33374,8398125,1.365,45894,0.16,4981317,31674,10310350,2.125,64145,0.392,28742731,24191205,NA,NA,NA,NA,NA,NA,0.021,2656515,108895,3571970,1.516,167991,NA,NA,NA,NA,12,48,14,32,17,47,1910000,100,20,39,4.1,29,2860000,10,19,23,0.44,33620000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homo sapiens,70000,154.02,69030000000,471660,16040000000,0.232,101020,1232.93,16340000000,13520,60840000000,3.723,49230,117.66,690000000,6560,7730000000,11.203,69850,1508.91,86060000000,84610000000,NA,NA,2381,2962730790,2403,3085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyaena hyaena,40000,14.032,3333830000,237588,594290000,0.178,NA,67.45,495280000,7343,2977760000,6.012,NA,17.732,55490000,3129,929340000,16.749,NA,99.214,3884600000,4501390000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.366,18240000,5418,139820000,7.667,1.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrochoerus hydrochaeris,47500,6.632,1157810000,177982,570940000,0.493,86574,48.175,306501565,6336,1847818435,5.983,38117,19.927,108250000,5434,779170000,NA,39234,74.734,1572560385,3197929615,NA,NA,NA,NA,NA,NA,1.302,28560310,21864,67389690,2.333,51544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hypsignathus monstrosus,310,456468.399731026,221298619,484806,NA,NA,NA,1805770.56598175,24343593,13481,NA,NA,NA,1169868.78139686,28877041,24684,NA,NA,NA,3.459,274519253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Loxodonta africana,5000000,1171.628,250708527536,213983,38507229964,0.154,32866,2847.594,5593241033,1964,55698998687,26.844,52721,564.674,741704844,1314,27404306156,36.948,48531,4618.62,257043473412,216057982337,7008678696,5982,4149,11937114048,4192,8175,41.886,908371986,21687,2857878014,3.146,68230,1948125300,3450,21070144440,4562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca fascicularis,5700,5.642,2572600000,455973,135400000,0.053,23999,36.226,800955000,22110,2758845000,3.444,76156,4.294,65449620,15242,260170380,3.975,60589,46.162,3439004620,3154415380,NA,NA,NA,171240302,4727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca mulatta,3900,7.694,4550000000,590800,931030000,0.205,121010,69.832,1710000000,24470,5270000000,3.082,75400,9.204,121900000,12410,966520000,7.929,98420,87.346,6376160000,7162900000,NA,NA,NA,NA,NA,NA,0.088,8473800,96293,11006200,1.299,125070,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca nemestrina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macaca radiata,8012,5.748,2038554160,354655,453565840,0.222,78908,48.274,1655707140,34298,3808672860,2.3,78897,7.448,61359000,8238,616641000,10.05,82793,61.47,3755620300,4878879700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macronycteris commersoni,101.9,107286.493976527,51875702,483525,NA,NA,NA,243098.006541998,7877834,32406,NA,NA,NA,237991.492124235,6965297,29267,NA,NA,NA,0.588,66718833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macropus fuliginosus,25855,7.358,1990000000,270449,NA,0.368,NA,40.194,370170000,9210,NA,6.404,NA,15.172,97740000,6442,NA,11.744,NA,62.724,2460000000,NA,22861306,3107,3913,161700462,4023,5438,NA,NA,NA,NA,NA,NA,80972964,5337,265636140,4235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15976844,2.938,44770000,15238,NA,4.076,1.729,271030000,11254,4.12,10.81,76400000,7067,11.723,4.362,21340000,4893,11.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Marmosops incanus,100,0.158,82400000,521513,NA,0.292,NA,0.408,20410000,50033,NA,1.84,NA,0.344,9240000,26857,NA,2.878,NA,0.91,112050000,NA,788104,4988,7339,2811936,6892,4309,0.084,5520000,65674,NA,0.958,NA,2332320,6780,5928650,6515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258540,0.06,2580000,43036,NA,1.43,0.788,NA,NA,NA,0.196,6440000,32846,2.514,0.148,2800000,18926,3.713,0.104,3370000,32394,2.695,0.092,3070000,33356,2.316,NA,NA
Megaloglossus woermanni,17.9,79305.1766641897,49734021,627122,NA,NA,NA,309097.66173032,11897169,38490,NA,NA,NA,159082.78004271,4097177,25755,NA,NA,NA,0.55,65728366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesocricetus auratus,168.1,0.145,61210000,424002,7430000,0.121,51332,0.446,17140000,39099,41870000,2.507,94271,0.375,5870000,15611,21330000,3.556,55804,0.965,84220000,70640000,NA,NA,NA,NA,NA,NA,0.055,5747930,105418,5507170,0.972,96197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Metachirus nudicaudatus,407,0.342,134130000,392196,NA,0.24,NA,0.992,20190000,20354,NA,3.199,NA,0.674,11270000,16725,NA,4.878,NA,2.008,165590000,NA,1729494,5057,2621,2653600,2675,2978,0.206,31380000,152341,NA,0.647,NA,3670604,5446,8060112,4014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428832,0.144,4190000,29109,NA,1.899,0.916,NA,NA,NA,0.392,7510000,19161,4.489,0.282,3760000,13338,5.653,0.234,3890000,16618,5.707,0.158,3620000,22926,3.182,NA,NA
Microcebus murinus,60,0.391,221386140,566205,17433860,0.079,44588,0.908,22310400,24571,70649600,3.167,77808,0.5,11014640,22029,50865360,4.618,101731,1.799,254711180,138948820,NA,NA,NA,NA,NA,NA,0.03,7636912,270894,9723088,1.273,341900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miniopterus schreibersii,11.6,48531.9852158389,44447776,915845,NA,NA,NA,85806.4733364199,6116028,71277,NA,NA,NA,86057.9352746436,5094974,59204,NA,NA,NA,0.219,55658777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mops pumilus,5.4,36306.5668838663,25324375,697515,NA,NA,NA,84110.3528603641,5632618,66967,NA,NA,NA,84717.9242886179,4001397,47232,NA,NA,NA,0.208,34958391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mungos mungo,1500,1.548,315740000,203966,154260000,0.489,NA,9.29,115770000,12462,346560000,2.994,NA,3.454,22510000,6518,151540000,6.731,NA,14.292,454020000,652370000,8695116,5617,NA,NA,NA,2018,NA,NA,NA,NA,NA,NA,6614.41,1.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,863704,0.428,2660000,6225,22960000,8.618,1.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mus musculus,40.4,0.056,42219708,746691,6947791,0.165,123493,0.173,13688162,78672,12061838,0.87,68643,0.172,11960000,64301,14850000,1.242,79839,0.402,67873741,33858759,NA,NA,NA,NA,NA,NA,0.014,3893300,257475,5456700,1.454,371204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mustela putorius furo,800,0.92,351260000,381810,79600000,0.227,NA,3.123,38950000,12473,264060000,6.779,NA,1.386,14210000,10253,129330000,9.101,NA,5.429,404430000,472980000,8832920,9601,6274,20393190,6530,8683,0.25,14040000,56150,43480000,3.097,NA,12846834,9269,42118182,7758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2856707,0.329,3190000,9702,29310000,9.182,1.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notamacropus parma,4268,1.69,558080000,330225,NA,0.447,NA,9.914,135620000,13680,NA,5.411,NA,4.11,17420000,4238,NA,19.221,NA,15.714,711130000,NA,5267730,3117,4664,48261352,4868,6302,NA,NA,NA,NA,NA,NA,20254080,4928,73855800,4700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7801876,1.238,8480000,6849,NA,13.006,1.733,117630000,18707,3.494,2.948,12650000,4290,20.645,1.162,4770000,4107,15.447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notamacropus rufogriseus,11110,3.572,1020000000,286273,NA,0.289,NA,16.102,256780000,15947,NA,4.545,NA,7.32,42480000,5803,NA,12.462,NA,26.994,1320000000,NA,13612892,3811,5874,98544240,6120,8081,NA,NA,NA,NA,NA,NA,36541440,4992,148736940,5510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14513476,1.796,10770000,5999,NA,14.221,1.629,207740000,21631,2.589,5.93,35060000,5912,11.579,1.39,7420000,5336,16.637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oryctolagus cuniculus,4600,1.412,396671250,280929,124578750,1.222,88229,4.448,71448750,16063,254801250,3.566,57284,3.272,26085000,7972,251415000,NA,76838,9.132,494205000,630795000,NA,NA,NA,NA,NA,NA,0.156,18765000,120288,22935000,1.222,147019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osphranter rufus,13154,4.786,1530000000,320282,NA,0.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31228650,6525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.886,19340000,6700,10.765,NA,NA,NA,NA,NA,NA,NA,NA,17881656,6196
Otolemur garnettii,946.7,1.196,743500000,623080,65960000,0.089,54460,6.29,226090000,37820,402070000,1.778,63610,2.131,20800000,9730,147440000,7.088,69040,10.15,936000000,666590000,NA,NA,NA,52169260,8294,NA,0.2,30237060,149219,34244000,1.133,170505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panthera leo,180000,24.882,4049750000,162758,3044000000,0.752,NA,139.902,545240000,3897,7260970000,13.317,NA,34.162,72040000,2109,2093860000,29.063,NA,198.946,4667030000,12398840000,124136298,4989,5757,795482772,5686,2984,NA,NA,NA,NA,NA,NA,210745378,6169,1129814334,5679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10885632,3.648,13540000,3711,177110000,13.083,2.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papio cynocephalus,8000,13.745,7794907300,567109,525977700,0.067,38267,120.214,2875028372,23916,7569751628,2.633,62969,17.235,278150760,16136,1079809236,3.882,62656,151.194,10948086440,9175538564,NA,NA,NA,333353422,2773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parascalops breweri,42.7,0.102,100780000,997370,7010000,0.07,68795,0.429,15690000,36727,39870000,2.581,93185,0.228,7130000,31276,31380000,4.401,137960,0.759,123600000,78260000,NA,NA,NA,NA,NA,NA,0.049,16750000,333590,10910000,0.651,217440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Petrodromus tetradactylus,132.5,0.304,110653150,362537,34657851,0.299,110153,1.239,33947000,27236,40486000,1.202,32550,0.894,12231811,13696,28204189,2.3,31716,2.44,156830795,103349000,1278624,4206,3018,3740541,3019,3032,0.159,12828365,80805,14775635,1.141,91369,1649430,1845,6692920,2743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pongo pygmaeus,NA,35.06,26300000000,750143,2200000000,0.084,62750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procavia capensis,2517,2.058,488373000,242415,91005000,0.182,46365,10.478,197933000,19134,366620000,1.883,35203,4.317,69358240,16436,162984760,2.351,38353,16.853,755653000,620622000,7822458,3801,3604,38108486,3637,3860,0.286,20909490,73110,14790510,0.707,51715,11198298,2594,57114817,3389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procyon lotor,6200,3.338,1646180000,493162,241320000,0.147,NA,24.491,437940000,18510,1766670000,3.897,NA,6.357,48570000,7640,392000000,8.071,NA,34.186,2148070000,2399990000,NA,NA,NA,NA,NA,NA,0.47,55990000,119119,79760000,1.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477,15340000,16076,70000000,4.564,1.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Proechimys guyannensis,223.485,0.33,162512050,494338,36372950,0.224,110122,0.924,26086024,28321,71833039,2.752,78011,0.824,13492039,16381,73068898,5.462,88667,2.078,202090113,181274887,NA,NA,NA,NA,NA,NA,0.132,9141540,69254,21128460,2.311,160064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rattus norvegicus,315.1,0.272,139171882,522688,29005617,0.209,108555,0.769,31017192,41092,45687808,1.497,60426,0.683,18678758,27813,47221243,2.587,71760,1.724,188867832,121914668,NA,NA,NA,NA,NA,NA,0.074,11103272,152373,9238728,0.848,126210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rousettus aegyptiacus,120,219666.672195536,132436158,602896,NA,NA,NA,985394.850957763,28859259,29287,NA,NA,NA,547872.457669572,10936630,19962,NA,NA,NA,1.778,172232047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus midas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saimiri sciureus,859,4.3,1820000000,424000,133020000,0.073,30940,20.652,1340000000,64930,1610000000,1.201,77840,5.004,65530000,13090,302590000,4.618,60470,30.216,3246430000,2073030000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sapajus apella,3340,4.6,2490000000,540310,245810000,0.099,53440,39.178,1140000000,29180,2550000000,2.237,64980,8.43,61850000,7340,506110000,8.183,60040,52.208,3690520000,3297740000,NA,NA,NA,78003398,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcophilus harrisii,8200,1.434,601070000,419158,NA,0.224,NA,5.228,71660000,13706,NA,5.112,NA,3.14,20970000,6677,NA,12.2,NA,9.802,693690000,NA,7722090,5385,1578,9546328,1826,3588,1.004,100320000,99919,NA,1.004,NA,5589200,1780,22907274,2337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2274792,0.634,12640000,19940,NA,4.537,1.09,50950000,14759,3.727,2,14410000,7203,11.948,1.14,6560000,5754,12.755,1.348,6180000,4587,18.96,0.652,8220000,12613,6.675,NA,NA
