Species,Body_Mass.g,Cerebellum_Mass.g,Cerebellum_N.n,Cerebellum_N.p.mg,Cerebellum_O.n,Cerebellum_O.p.N,Cerebellum_O.p.mg,CerebralCortex_Mass.g,CerebralCortex_N.n,CerebralCortex_N.p.mg,CerebralCortex_O.n,CerebralCortex_O.p.N,CerebralCortex_O.p.mg,RoB_Mass.g,RoB_N.n,RoB_N.p.mg,RoB_O.n,RoB_O.p.N,RoB_O.p.mg,WholeBrain_Mass.g,WholeBrain_N.n,WholeBrain_O.n,Cerebellum_I.n,Cerebellum_I.p.mg,CerebralCortexNoHippocampus_I.p.mg,CerebralCortex_I.n,CerebralCortex_I.p.mg,Hippocampus_I.p.mg,OlfactoryBulb_Mass.g,OlfactoryBulb_N.n,OlfactoryBulb_N.p.mg,OlfactoryBulb_O.n,OlfactoryBulb_O.p.N,OlfactoryBulb_O.p.mg,RoB_I.n,RoB_I.p.mg,WholeBrain_I.n,WholeBrain_I.p.mg,Amygdala_Vol.mm3,Cerebellum_Vol.mm3,EntorhinalCortex_Vol.mm3,Hippocampus_Vol.mm3,Hypothalamus_Vol.mm3,Medulla_Vol.mm3,MesencephalonMedulla_N.n,Neocortex_Vol.mm3,OlfactoryBulb_Vol.mm3,OlfactoryCortices_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,SubcorticalForebrain_N.n,Tectum_Vol.mm3,Tegmentum_Vol.mm3,Thalamus_Vol.mm3,WholeBrainOlfactoryBulb_Mass.g,WholeBrainOlfactoryBulb_N.n,Hippocampus_I.n,Hippocampus_Mass.g,Hippocampus_N.n,Hippocampus_N.p.mg,Hippocampus_O.n,Hippocampus_O.p.N,WholeBrain_O.p.N,CerebralCortexGrey_N.n,CerebralCortexGrey_N.p.mg,CerebralCortexGrey_O.p.N,MesencephalonDiencephalonStriatum_Mass.g,MesencephalonDiencephalonStriatum_N.n,MesencephalonDiencephalonStriatum_N.p.mg,MesencephalonDiencephalonStriatum_O.p.N,PonsMedulla_Mass.g,PonsMedulla_N.n,PonsMedulla_N.p.mg,PonsMedulla_O.p.N,DiencephalonStriatum_Mass.g,DiencephalonStriatum_N.n,DiencephalonStriatum_N.p.mg,DiencephalonStriatum_O.p.N,Mesencephalon_Mass.g,Mesencephalon_N.n,Mesencephalon_N.p.mg,Mesencephalon_O.p.N,PonsMedulla_I.n,PonsMedulla_I.p.mg
Dendrolagus goodfellowi,13608,4.236,1240000000,292025,NA,0.249,NA,19.57,273430000,13972,NA,4.603,NA,7.742,37860000,4890,NA,12.685,NA,31.548,1550000000,NA,10200288,2408,4064,80432700,4110,4798,NA,NA,NA,NA,NA,NA,29690570,3835,120450264,3818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6189420,1.29,18150000,14073,NA,4.552,1.322,188300000,16599,2.721,5.066,29630000,5849,12.021,2.676,8230000,3075,15.077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Didelphis aurita,1200,0.778,334260000,429647,NA,0.122,NA,2.136,42500000,19897,NA,2.847,NA,1.378,15730000,11417,NA,5.873,NA,4.292,392500000,NA,5362754,6893,5679,11771496,5511,4788,0.342,31340000,91646,NA,1.273,NA,8327254,6043,25584612,5961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1848168,0.386,7230000,18731,NA,3.149,0.648,31490000,21901,2.35,0.86,11510000,13384,5.001,0.518,4220000,8152,8.251,0.36,5270000,14636,4.139,0.5,6240000,12482,5.729,NA,NA
Elephantulus myurus,45.1,0.168,89312372,531494,23368628,0.261,139028,0.471,25865000,54644,26229000,1.032,55693,0.401,14012533,34520,28997467,2.048,70967,1.04,129190603,78594397,822528,4896,1631,1101198,2338,4116,0.05,9693534,194678,4919466,0.507,97872,1321295,3295,2930720,2818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epomophorus wahlbergi,74,193487.671447305,121136246,626067,NA,NA,NA,634020.713352369,26201540,41326,NA,NA,NA,386417.379184647,14416846,37309,NA,NA,NA,1.224,161754633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epomops franqueti,120,286519.263867151,150660138,525829,NA,NA,NA,1040183.769561,22533501,21663,NA,NA,NA,712157.233403758,12808860,17986,NA,NA,NA,2.044,186002499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Felis catus,4500,5.11,942900000,184521,326100000,0.346,NA,24.176,249830000,10334,1097100000,4.391,NA,5.572,22470000,4033,305590000,13.598,NA,34.858,1215210000,1728790000,21824810,4271,3078,73688448,3048,2228,NA,NA,NA,NA,NA,NA,10202332,1831,105689456,3032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951728,0.876,8050000,9187,55950000,6.952,1.423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fukomys anselli,93.45,NA,75440000,NA,NA,NA,NA,NA,9730000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93940000,NA,NA,NA,NA,NA,NA,NA,NA,8880000,NA,NA,NA,NA,NA,NA,NA,NA,26,200,38,82,35,132,3900000,291,55,71,15,84,4860000,32,60,61,1.25,102820000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fukomys damarensis,110.53,NA,129960000,NA,NA,NA,NA,NA,21270000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165750000,NA,NA,NA,NA,NA,NA,NA,NA,12550000,NA,NA,NA,NA,NA,NA,NA,NA,22,201,44,95,39,110,4940000,311,59,88,15,102,9580000,27,56,64,1.39,178300000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fukomys darlingi,115.19,NA,84910000,NA,NA,NA,NA,NA,12490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105750000,NA,NA,NA,NA,NA,NA,NA,NA,7600000,NA,NA,NA,NA,NA,NA,NA,NA,16,156,41,76,29,101,3140000,271,43,77,16,99,5190000,25,45,51,1.23,113350000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fukomys mechowii,270.16,NA,122640000,NA,NA,NA,NA,NA,23320000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160130000,NA,NA,NA,NA,NA,NA,NA,NA,14110000,NA,NA,NA,NA,NA,NA,NA,NA,35,391,71,137,60,242,4750000,627,76,133,24,198,9420000,41,82,116,2.15,174240000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
