"Original_Term","Standardized_Term","Reference","Description"
"Species","","Kverkova_etal_2018_TableS1",""
"Body mass, g","","Kverkova_etal_2018_TableS1",""
"Body mass, g SD","","Kverkova_etal_2018_TableS1",""
"Brain mass, g","","Kverkova_etal_2018_TableS1",""
"Brain mass, g SD","","Kverkova_etal_2018_TableS1",""
"Olfactory bulbs","","Kverkova_etal_2018_TableS1",""
"Olfactory bulbs SD","","Kverkova_etal_2018_TableS1",""
"Olfactory bulbs percent of brain","","Kverkova_etal_2018_TableS1",""
"Olfactory cortices mmˆ3","","Kverkova_etal_2018_TableS1",""
"Olfactory cortices mmˆ3 SD","","Kverkova_etal_2018_TableS1",""
"Olfactory cortices percent of brain","","Kverkova_etal_2018_TableS1",""
"Neocortex, mmˆ3","","Kverkova_etal_2018_TableS1",""
"Neocortex, mmˆ3 SD","","Kverkova_etal_2018_TableS1",""
"Neocortex percent of brain","","Kverkova_etal_2018_TableS1",""
"Entorhinal cortex, mmˆ3","","Kverkova_etal_2018_TableS1",""
"Entorhinal cortex, mmˆ3 SD","","Kverkova_etal_2018_TableS1",""
"Entorhinal cortex percent of brain","","Kverkova_etal_2018_TableS1",""
"Hippocampus, mmˆ3","","Kverkova_etal_2018_TableS1",""
"Hippocampus, mmˆ3 SD","","Kverkova_etal_2018_TableS1",""
"Hippocampus percent of brain","","Kverkova_etal_2018_TableS1",""
"Amygdala, mmˆ3","","Kverkova_etal_2018_TableS1",""
"Amygdala, mmˆ3 SD","","Kverkova_etal_2018_TableS1",""
"Amygdala percent of brain","","Kverkova_etal_2018_TableS1",""
"Striatum, mmˆ3","","Kverkova_etal_2018_TableS1",""
"Striatum, mmˆ3 SD","","Kverkova_etal_2018_TableS1",""
"Striatum percent of brain","","Kverkova_etal_2018_TableS1",""
"Septum, mmˆ3","","Kverkova_etal_2018_TableS1",""
"Septum, mmˆ3 SD","","Kverkova_etal_2018_TableS1",""
"Septum percent of brain","","Kverkova_etal_2018_TableS1",""
"Thalamus, mmˆ3","","Kverkova_etal_2018_TableS1",""
"Thalamus, mmˆ3 SD","","Kverkova_etal_2018_TableS1",""
"Thalamus percent of brain","","Kverkova_etal_2018_TableS1",""
"Hypothalamus, mmˆ3","","Kverkova_etal_2018_TableS1",""
"Hypothalamus, mmˆ3 SD","","Kverkova_etal_2018_TableS1",""
"Hypothalamus percent of brain","","Kverkova_etal_2018_TableS1",""
"Cerebellum, mmˆ3","","Kverkova_etal_2018_TableS1",""
"Cerebellum, mmˆ3 SD","","Kverkova_etal_2018_TableS1",""
"Cerebellum percent of brain","","Kverkova_etal_2018_TableS1",""
"Tectum, mmˆ3","","Kverkova_etal_2018_TableS1",""
"Tectum, mmˆ3 SD","","Kverkova_etal_2018_TableS1",""
"Tectum percent of brain","","Kverkova_etal_2018_TableS1",""
"Tegmentum, mmˆ3","","Kverkova_etal_2018_TableS1",""
"Tegmentum, mmˆ3 SD","","Kverkova_etal_2018_TableS1",""
"Tegmentum percent of brain","","Kverkova_etal_2018_TableS1",""
"Medulla oblongata, mmˆ3","","Kverkova_etal_2018_TableS1",""
"Medulla oblongata, mmˆ3 SD","","Kverkova_etal_2018_TableS1",""
"Medulla oblongata percent of brain","","Kverkova_etal_2018_TableS1",""
