"Original_Term","Standardized_Term","Reference","Description"
"Species","","DosSantos_etal_2017_TableS1",""
"Body_Mass_g","","DosSantos_etal_2017_TableS1",""
"whole_brain_Mass_g","","DosSantos_etal_2017_TableS1",""
"Cerebral_Cortex_Mass_g","","DosSantos_etal_2017_TableS1",""
"Hippocampus_Mass_g","","DosSantos_etal_2017_TableS1",""
"Cerebellum_Mass_g","","DosSantos_etal_2017_TableS1",""
"RoB_Mass_g","","DosSantos_etal_2017_TableS1",""
"diencephalon+striatum_Mass_g","","DosSantos_etal_2017_TableS1",""
"mesencephalon_Mass_g","","DosSantos_etal_2017_TableS1",""
"mesencephalon+diencephalon+striatum_Mass_g","","DosSantos_etal_2017_TableS1",""
"pons+medulla_Mass_g","","DosSantos_etal_2017_TableS1",""
"Olfactory_bulb_Mass_g","","DosSantos_etal_2017_TableS1",""
"whole_brain_N_n","","DosSantos_etal_2017_TableS1",""
"Cerebral_Cortex_N_n","","DosSantos_etal_2017_TableS1",""
"Cerebral_Cortex_Grey_Matter_N_n","","DosSantos_etal_2017_TableS1",""
"Hippocampus_N_n","","DosSantos_etal_2017_TableS1",""
"Cerebellum_N_n","","DosSantos_etal_2017_TableS1",""
"RoB_N_n","","DosSantos_etal_2017_TableS1",""
"diencephalon+striatum_N_n","","DosSantos_etal_2017_TableS1",""
"mesencephalon_N_n","","DosSantos_etal_2017_TableS1",""
"mesencephalon+diencephalon+striatum_N_n","","DosSantos_etal_2017_TableS1",""
"pons+medulla_N_n","","DosSantos_etal_2017_TableS1",""
"Olfactory_bulb_N_n","","DosSantos_etal_2017_TableS1",""
"Cerebral_Cortex_Nmg","","DosSantos_etal_2017_TableS1",""
"Cerebral_Cortex_Grey_Matter_Nmg","","DosSantos_etal_2017_TableS1",""
"Hippocampus_Nmg","","DosSantos_etal_2017_TableS1",""
"Cerebellum_Nmg","","DosSantos_etal_2017_TableS1",""
"RoB_Nmg","","DosSantos_etal_2017_TableS1",""
"diencephalon+striatum_Nmg","","DosSantos_etal_2017_TableS1",""
"mesencephalon_Nmg","","DosSantos_etal_2017_TableS1",""
"mesencephalon+diencephalon+striatum_Nmg","","DosSantos_etal_2017_TableS1",""
"pons+medulla_Nmg","","DosSantos_etal_2017_TableS1",""
"Olfactory_bulb_Nmg","","DosSantos_etal_2017_TableS1",""
"whole_brain_ON","","DosSantos_etal_2017_TableS1",""
"Cerebral_Cortex_ON","","DosSantos_etal_2017_TableS1",""
"Cerebral_Cortex_Grey_Matter_ON","","DosSantos_etal_2017_TableS1",""
"Hippocampus_ON","","DosSantos_etal_2017_TableS1",""
"Cerebellum_ON","","DosSantos_etal_2017_TableS1",""
"RoB_ON","","DosSantos_etal_2017_TableS1",""
"diencephalon+striatum_ON","","DosSantos_etal_2017_TableS1",""
"mesencephalon_ON","","DosSantos_etal_2017_TableS1",""
"mesencephalon+diencephalon+striatum_ON","","DosSantos_etal_2017_TableS1",""
"pons+medulla_ON","","DosSantos_etal_2017_TableS1",""
"Olfactory_bulb_ON","","DosSantos_etal_2017_TableS1",""
