species,bush_neoG_mm3(x1000),frahm_NeoG_mm3,pct_diff
Hylobates lar,45100,46646.0,-3.3
Pan troglodytes,163000,172597.0,-5.6
Aotus trivirgatus,4320,7776.0,-44.4
Saimiri sciureus,10400,11832.0,-12.1
Nycticebus coucang,4400,4952.0,-11.1
