Species,Frontal_GM_L_cm3,Frontal_GM_R_cm3,Frontal_WM_L_cm3,Frontal_WM_R_cm3,Temporal_GM_L_cm3,Temporal_GM_R_cm3,Temporal_WM_L_cm3,Temporal_WM_R_cm3,ParOcc_GM_L_cm3,ParOcc_GM_R_cm3,ParOcc_WM_L_cm3,ParOcc_WM_R_cm3,Insula_L_cm3,Insula_R_cm3,Claustrum_L_cm3,Claustrum_R_cm3,CerebellumHem_L_cm3,CerebellumHem_R_cm3,CerebellumVermis_cm3,Amygdala_L_cm3,Amygdala_R_cm3,Hippocampus_L_cm3,Hippocampus_R_cm3,Striatum_L_cm3,Striatum_R_cm3,Thalamus_cm3,Cerebellum_mm3,Neocortex_GMWM_mm3,Neocortex_GM_mm3,Striatum_mm3,Hippocampus_mm3,Amygdala_mm3,Insula_mm3,Thalamus_mm3,subjects,digitized_from,source
Gorilla beringei,30.5,30.0,21.5,21.5,14.5,15.5,8.5,9.0,29.5,33.5,19.5,19.5,1.3,1.2,1.0,1.0,19.0,19.5,6.0,0.6,0.6,1.5,1.5,4.0,4.0,5.0,44500.0,253000.0,153500.0,8000.0,3000.0,1200.0,2500.0,5000.0,adults only,Fig 5A,"Barks et al. 2014 AJPA 156:252-262, Fig 5A (mean structure volumes); values eye-digitized from the bar chart (approximate)"
Gorilla gorilla,30.5,29.5,24.0,21.5,13.5,15.0,8.5,9.5,33.0,34.0,24.0,23.5,1.4,1.3,1.0,1.0,24.5,24.0,7.5,0.7,0.6,2.0,1.8,4.0,4.0,5.0,56000.0,266500.0,155500.0,8000.0,3800.0,1300.0,2700.0,5000.0,adults only,Fig 5A,"Barks et al. 2014 AJPA 156:252-262, Fig 5A (mean structure volumes); values eye-digitized from the bar chart (approximate)"
