"region","hemisphere","average_number_points_counted","ce"
"Frontal gray","L",191.1,0.026
"Frontal gray","R",192.1,0.031
"Frontal white","L",124.6,0.034
"Frontal white","R",130.4,0.028
"Temporal gray","L",141.3,0.037
"Temporal gray","R",149.5,0.036
"Temporal white","L",77.6,0.052
"Temporal white","R",86.5,0.054
"Parietal and occipital gray","L",531.5,0.021
"Parietal and occipital gray","R",528.6,0.017
"Parietal and occipital white","L",375.4,0.026
"Parietal and occipital white","R",357.8,0.027
"Insula","L",205.5,0.018
"Insula","R",206.1,0.021
"External capsule/claustrum/extreme capsule","L",195,0.02
"External capsule/claustrum/extreme capsule","R",193.6,0.021
"Cerebellar hemisphere","L",220.9,0.029
"Cerebellar hemisphere","R",207.1,0.026
"Cerebellar vermis","Bilateral",197.6,0.041
"Amygdala","L",140.3,0.033
"Amygdala","R",135.8,0.027
"Hippocampus","L",229.4,0.013
"Hippocampus","R",230.9,0.014
"Striatum","L",179.2,0.017
"Striatum","R",181.8,0.014
"Thalamus","Bilateral",237.1,0.013
