Species,Frontal_GM_L_cm3,Frontal_GM_R_cm3,Frontal_WM_L_cm3,Frontal_WM_R_cm3,Temporal_GM_L_cm3,Temporal_GM_R_cm3,Temporal_WM_L_cm3,Temporal_WM_R_cm3,ParOcc_GM_L_cm3,ParOcc_GM_R_cm3,ParOcc_WM_L_cm3,ParOcc_WM_R_cm3,Insula_L_cm3,Insula_R_cm3,Claustrum_L_cm3,Claustrum_R_cm3,CerebellumHem_L_cm3,CerebellumHem_R_cm3,CerebellumVermis_cm3,Amygdala_L_cm3,Amygdala_R_cm3,Hippocampus_L_cm3,Hippocampus_R_cm3,Striatum_L_cm3,Striatum_R_cm3,Thalamus_cm3,Cerebellum_mm3,Neocortex_GMWM_mm3,Neocortex_GM_mm3,Striatum_mm3,Hippocampus_mm3,Amygdala_mm3,Insula_mm3,Thalamus_mm3,subjects,digitized_from,source
Gorilla beringei,31.0,30.0,18.5,20.5,15.0,15.5,8.5,9.0,33.0,32.0,17.5,18.0,1.4,1.3,1.0,1.0,19.5,19.0,6.0,0.6,0.6,1.5,1.5,4.5,4.2,4.8,44500.0,248500.0,156500.0,8700.0,3000.0,1200.0,2700.0,4800.0,all subjects,Fig 4A,"Barks et al. 2014 AJPA 156:252-262, Fig 4A (mean structure volumes); values eye-digitized from the bar chart (approximate)"
Gorilla gorilla,30.5,31.0,21.5,21.0,15.0,16.0,8.5,9.0,34.5,34.5,24.5,24.0,1.3,1.2,1.1,1.0,25.0,24.5,8.0,0.7,0.6,2.0,1.9,4.4,4.2,5.5,57500.0,270000.0,161500.0,8600.0,3900.0,1300.0,2500.0,5500.0,all subjects,Fig 4A,"Barks et al. 2014 AJPA 156:252-262, Fig 4A (mean structure volumes); values eye-digitized from the bar chart (approximate)"
