"species","specimen_number","Sex","Age (years)","Rearing history","Brain volume (cm3)","Brain volume minus cerebellum (cm3)"
"Gorilla beringei beringei",3,"Male","1.6","Wild",445.6,NA
"Gorilla beringei beringei",12,"Male","Adult","Wild",488.9,NA
"Gorilla beringei beringei",5,"Male","5.5","Wild",411.7,NA
"Gorilla beringei beringei",45,"Female","Adult","Wild",369.4,NA
"Gorilla beringei beringei",46,"Female","33","Wild",398.1,NA
"Gorilla beringei beringei",2,"Female","1.3","Wild",326,NA
"Gorilla beringei beringei",6,"Female","1.5","Wild",360.5,NA
"Gorilla beringei beringei",29,"Male","Adult","Wild",NA,293.4
"Gorilla beringei beringei",30,"Female","39","Wild",406,NA
"Gorilla beringei beringei",35,"Female","16","Wild",358.9,NA
"Gorilla beringei beringei",32,"Male","31.5","Wild",434.6,NA
"Gorilla beringei beringei",33,"Female","Adult","Wild",359.8,NA
"Gorilla beringei beringei",34,"Female","2.5","Wild",336.4,NA
"Gorilla beringei beringei",4,"Unknown","Unknown","Wild",363.5,NA
"Gorilla beringei beringei",7,"Female","2.8","Wild",410.3,NA
"Gorilla beringei graueri",9907,"Male","51","Captive",442.7,NA
"Gorilla beringei graueri",49,"Female","Juvenile","Wild",372.4,NA
"Gorilla beringei graueri",28,"Male","Juvenile","Wild",430.7,NA
"Gorilla gorilla gorilla",224,"Female","43","Captive",380.5,NA
"Gorilla gorilla gorilla",897,"Male","21","Captive",435.2,NA
"Gorilla gorilla gorilla",653,"Male","27","Captive",488.3,NA
"Gorilla gorilla gorilla",506,"Male","31","Captive",449.2,NA
"Gorilla gorilla gorilla",15,"Female","50","Captive",490.2,NA
"Gorilla gorilla gorilla",393,"Female","44","Captive",339,NA
"Gorilla gorilla gorilla",62,"Female","55","Captive",461.5,NA
"Gorilla gorilla gorilla",1108,"Male","8","Captive",540.4,NA
"Gorilla gorilla gorilla",820,"Female","13","Captive",417.2,NA
"Gorilla gorilla gorilla",783,"Male","25","Captive",459.4,NA
"Gorilla gorilla gorilla",444,"Male","34","Captive",433.4,NA
"Gorilla gorilla gorilla",713,"Female","44","Captive",380.7,NA
"Gorilla gorilla gorilla",191,"Female","41","Captive",401.8,NA
"Gorilla gorilla gorilla",232,"Male","31","Captive",346.4,NA
"Gorilla gorilla gorilla",72,"Male","49","Captive",445.7,NA
"Gorilla gorilla gorilla",234,"Female","48","Captive",490.7,NA
"Gorilla gorilla gorilla",172,"Female","49","Captive",326.2,NA
"Gorilla gorilla gorilla",115,"Male","42","Captive",564.3,NA
