species,species_as_published,barks_table1_specimen_number,moesm3_row,N,brain_volume_mm3,neocortex_GMWM_mm3,neocortex_GM_mm3,cerebellum_mm3,striatum_mm3,hippocampus_mm3,amygdala_mm3,insula_GM_mm3,source,provenance
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,444,132,1,433370,236652.5,135047.5,57630.90277777777,9146.666666666668,3647.777777777777,949.375,2642.5,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,897,133,1,435210,298627.7777777778,173588.3333333333,41897.91666666666,7550.763888888889,4262.222222222222,2065,1960,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,506,134,1,449220,290838.3333333333,172235,69781.25,NA,4262.222222222222,1316.875,1388.333333333333,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,1108,135,1,540440,338193.3333333333,208623.3333333334,77063.19444444444,6788.541666666666,4277.777777777777,717.5,1878.333333333333,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,783,136,1,459400,277038.506698,172179.343646,69371.622936,11335.126408,4283.701999999999,1204.847552,3381.87,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,234,137,1,490670,344837.6819823741,201444.724213908,59159.65798199625,10623.8971653605,4332.395512844,1378.18012555125,2858.44766781,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,191,138,1,401750,263463.31599427,152714.997305528,48078.311963675,6264.76447195025,4495.735379576001,647.525900259,2733.998245538,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,820,139,1,417200,344461.1111111111,216255.5555555555,68625,9493.75,4500,1081.25,2038.888888888889,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,653,140,1,488260,308521.1111111111,183030.5555555556,61045.83333333333,6478.888888888889,4682.222222222222,1920.625,1858.888888888889,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,224,141,1,380500,263841.6666666666,159246.1111111111,48781.25,8098.611111111111,5040,1478.75,1711.111111111111,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla gorilla,Gorilla_gorilla_gorilla,15,142,1,490200,275778.9292044,148233.7714872,78079.39357740001,6685.06314,5262.294600000001,1151.4680184,3047.8430724,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla graueri,Gorilla_gorilla_graueri,9907,146,1,442650,261222.5,137760,52504.86111111111,8527.361111111111,2940,1246.875,3018.75,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla graueri,Gorilla_gorilla_graueri,49,147,1,372350,226003.75,149590,49527.43055555555,9551.597222222224,2644.444444444444,1863.75,2957.5,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
Gorilla gorilla graueri,Gorilla_gorilla_graueri,28,148,1,430650,300046.25,198546.25,45760.06944444445,10742.56944444444,3243.333333333333,1378.125,3430,"Barks et al. 2014 (AJPA 156:252-262) individual gorilla regional volumes, via DeCasien & Higham 2019 MOESM3 (ref 65)",unpublished_via_DeCasien_MOESM3
