Species_canonical,source_column,variant_name
Ateles geoffroyi,Species_Matano1985a,Ateles geoffroyi
Ateles geoffroyi,Species_Matano1985b,Ateles geoffroyi
Ateles geoffroyi,Species_Sherwood_2005,Ateles geoffroyi
Ateles geoffroyi,Species_Stephan1981,Ateles geoffroyi
Ateles geoffroyi,Species_Stephan1982,Ateles geoffroyi
Ateles geoffroyi,Species_Stephan1984,Ateles geoffroyi
Ateles geoffroyi,Species_Stephan1987,Ateles geoffroyi
Ateles geoffroyi,Species_deSousa2010,Ateles geoffroyi
Avahi laniger,Species_Baron1983,Avahi laniger laniger
Avahi laniger,Species_Baron1987,Avahi l. laniger
Avahi laniger,Species_Baron1988,Avahi laniger laniger
Avahi laniger,Species_Baron1990,Avahi laniger laniger
Avahi laniger,Species_Frahm1994,Avahi laniger laniger
Avahi laniger,Species_Frahm_1984,Avahi l. laniger
Avahi laniger,Species_Matano1985a,Avahi laniger laniger
Avahi laniger,Species_Matano1985b,Avahi l. laniger
Avahi laniger,Species_Sherwood_2005,Avahi laniger laniger
Avahi laniger,Species_Stephan1981,Avahi l. laniger
Avahi laniger,Species_Stephan1982,Avahi laniger lan.
Avahi laniger,Species_Stephan1984,Avahi l. laniger
Avahi laniger,Species_Stephan1987,Avahi l. laniger
Avahi laniger,Species_deSousa2010,Avahi laniger
Avahi occidentalis,Species_Baron1983,Avahi I. occidentalis
Avahi occidentalis,Species_Baron1987,Avahi l. occidentalis
Avahi occidentalis,Species_Baron1988,Avahi laniger occidentalis
Avahi occidentalis,Species_Baron1990,Avahi laniger occidentalis
Avahi occidentalis,Species_Bauernfeind2013,Avahi laniger
Avahi occidentalis,Species_Frahm1982,Avahi laniger occidentalis
Avahi occidentalis,Species_Frahm1994,Avahi l. occidentalis
Avahi occidentalis,Species_Frahm_1984,Avahi laniger occidentalis
Avahi occidentalis,Species_Matano1985a,Avahi l. occidentalis
Avahi occidentalis,Species_Matano1985b,Avahi l. occidentalis
Avahi occidentalis,Species_Sherwood_2005,Avahi laniger occidentalis
Avahi occidentalis,Species_Stephan1981,Avahi laniger occidentalis
Avahi occidentalis,Species_Stephan1982,Avahi laniger occ.
Avahi occidentalis,Species_Stephan1984,Avahi l. occidentalis
Avahi occidentalis,Species_Stephan1987,Avahi l. occidentalis
Blarina brevicauda,Species_Baron1987,Blarina brevicauda
Blarina brevicauda,Species_Baron1988,Blarina brevicauda
Blarina brevicauda,Species_Baron1990,Blarina brevicauda
Blarina brevicauda,Species_Stephan1987,Blarina brevicauda
Callicebus moloch,Species_Baron1983,Callicebus moloch
Callicebus moloch,Species_Baron1987,Callicebus moloch
Callicebus moloch,Species_Baron1988,Callicebus moloch
Callicebus moloch,Species_Baron1990,Callicebus moloch
Callicebus moloch,Species_Frahm1994,Callicebus moloch
Callicebus moloch,Species_Frahm98,Callicebus moloch
Callicebus moloch,Species_Frahm_1984,Callicebus moloch
Callicebus moloch,Species_Matano1985a,Callicebus moloch
Callicebus moloch,Species_Matano1985b,Callicebus moloch
Callicebus moloch,Species_Sherwood_2005,Callicebus moloch
Callicebus moloch,Species_Stephan1981,Callicebus moloch
Callicebus moloch,Species_Stephan1982,Callicebus moloch
Callicebus moloch,Species_Stephan1984,Callicebus moloch
Callicebus moloch,Species_Stephan1987,Callicebus moloch
Callicebus moloch,Species_deSousa2010,Callicebus moloch
Callimico goeldii,Species_Baron1983,Callimico goeldii
Callimico goeldii,Species_Baron1987,Callimico goeldii
Callimico goeldii,Species_Baron1988,Callimico goeldii
Callimico goeldii,Species_Baron1990,Callimico goeldii
Callimico goeldii,Species_Frahm1994,Callimico goeldi
Callimico goeldii,Species_Frahm98,Callimico goeldii
Callimico goeldii,Species_Sherwood_2005,Callimico goeldii
Callimico goeldii,Species_Stephan1981,Callimico goeldii
Callimico goeldii,Species_Stephan1982,Callimico goeldii
Callimico goeldii,Species_Stephan1987,Callimico goeldii
Callithrix jacchus,Species_Baron1983,Callithrix jacchus
Callithrix jacchus,Species_Baron1987,Callithrix jacchus
Callithrix jacchus,Species_Baron1988,Callithrix jacchus
Callithrix jacchus,Species_Baron1990,Callithrix jacchus
Callithrix jacchus,Species_Frahm1982,Callithrix jacchus
Callithrix jacchus,Species_Frahm1994,Callithrix jacchus
Callithrix jacchus,Species_Frahm98,Callithrix jacchus
Callithrix jacchus,Species_Frahm_1984,Callithrix jacchus
Callithrix jacchus,Species_Matano1985a,Callithrix jacchus
Callithrix jacchus,Species_Matano1985b,Callithrix jacchus
Callithrix jacchus,Species_Sherwood_2005,Callithrix jacchus
Callithrix jacchus,Species_Stephan1981,Callithrix jacchus
Callithrix jacchus,Species_Stephan1982,Callithrix jacchus
Callithrix jacchus,Species_Stephan1984,Callithrix jacchus
Callithrix jacchus,Species_Stephan1987,Callithrix jacchus
Callithrix jacchus,Species_deSousa2010,Callithrix jacchus
Callithrix pygmaea,Species_Baron1983,Cebuella pygmaea
Callithrix pygmaea,Species_Baron1987,Cebuella pygmaea
Callithrix pygmaea,Species_Baron1988,Cebuella pygmaea
Callithrix pygmaea,Species_Baron1990,Cebuella pygmaea
Callithrix pygmaea,Species_Bauernfeind2013,Callithrix pygmaea
Callithrix pygmaea,Species_Frahm1982,Cebuella pygmaea
Callithrix pygmaea,Species_Frahm1994,Cebuella pygmaea
Callithrix pygmaea,Species_Frahm98,Cebuella pygmaea
Callithrix pygmaea,Species_Frahm_1984,Cebuella pygmaea
Callithrix pygmaea,Species_Matano1985a,Cebuella pygmaea
Callithrix pygmaea,Species_Matano1985b,Cebuella pygmaea
Callithrix pygmaea,Species_Sherwood_2005,Cebuella pygmaea
Callithrix pygmaea,Species_Stephan1981,Cebuella pygmaea
Callithrix pygmaea,Species_Stephan1982,Cebuella pygmaea
Callithrix pygmaea,Species_Stephan1987,Cebuella pygmaea
Callithrix pygmaea,Species_deSousa2010,Cebuella pygmaea
Cebus albifrons,Species_Baron1983,Cebus spp.
Cebus albifrons,Species_Baron1987,Cebus albifrons
Cebus albifrons,Species_Baron1988,Cebus albifrons
Cebus albifrons,Species_Baron1990,Cebus albifrons
Cebus albifrons,Species_Bauernfeind2013,Cebus albifrons
Cebus albifrons,Species_Frahm1982,Cebus sp.
Cebus albifrons,Species_Frahm1994,Cebus albifrons
Cebus albifrons,Species_Frahm98,Cebus spec.
Cebus albifrons,Species_Frahm_1984,Cebus sp.
Cebus albifrons,Species_Matano1985a,Cebus albifrons
Cebus albifrons,Species_Matano1985b,Cebus albifrons
Cebus albifrons,Species_Sherwood_2005,Cebus albifrons
Cebus albifrons,Species_Stephan1981,Cebus sp.
Cebus albifrons,Species_Stephan1982,Cebus sp.
Cebus albifrons,Species_Stephan1984,Cebus spp.
Cebus albifrons,Species_Stephan1987,Cebus albifrons
Cebus albifrons,Species_deSousa2010,Cebus albifrons
Cercocebus agilis,Species_Bauernfeind2013,Cercocebus agilis
Cercopithecus ascanius,Species_Baron1983,Cercopithecus ascanius
Cercopithecus ascanius,Species_Baron1987,Cercopithecus ascanius
Cercopithecus ascanius,Species_Baron1988,Cercopithecus ascanius
Cercopithecus ascanius,Species_Baron1990,Cercopithecus ascanius
Cercopithecus ascanius,Species_Frahm1982,Cercopithecus ascanius
Cercopithecus ascanius,Species_Frahm1994,Cercopithecus ascanius
Cercopithecus ascanius,Species_Frahm98,Cercopithecus ascanius
Cercopithecus ascanius,Species_Frahm_1984,Cercopithecus ascanius
Cercopithecus ascanius,Species_Matano1985a,Cercopithecus ascanius
Cercopithecus ascanius,Species_Matano1985b,Cercopithecus ascanius
Cercopithecus ascanius,Species_Sherwood_2005,Cercopithecus ascanius
Cercopithecus ascanius,Species_Stephan1981,Cercopithecus ascanius
Cercopithecus ascanius,Species_Stephan1984,Cercopithecus ascanius
Cercopithecus ascanius,Species_Stephan1987,Cercopithecus ascanius
Cercopithecus ascanius,Species_deSousa2010,Cercopithecus ascanius
Cercopithecus ascanius,Species_deSousa2013,Cercopithecus ascanius
Cercopithecus mitis,Species_Baron1983,Cercopithecus mitis
Cercopithecus mitis,Species_Baron1987,Cercopithecus mitis
Cercopithecus mitis,Species_Baron1988,Cercopithecus mitis
Cercopithecus mitis,Species_Baron1990,Cercopithecus mitis
Cercopithecus mitis,Species_Bauernfeind2013,Cercopithecus kandti
Cercopithecus mitis,Species_Frahm1994,Cercopithecus mitis
Cercopithecus mitis,Species_Frahm98,Cercopithecus mitis
Cercopithecus mitis,Species_Frahm_1984,Cercopithecus mitis
Cercopithecus mitis,Species_Matano1985a,Cercopithecus mitis
Cercopithecus mitis,Species_Matano1985b,Cercopithecus mitis
Cercopithecus mitis,Species_Sherwood_2005,Cercopithecus mitis
Cercopithecus mitis,Species_Stephan1981,Cercopithecus mitis
Cercopithecus mitis,Species_Stephan1984,Cercopithecus mitis
Cercopithecus mitis,Species_Stephan1987,Cercopithecus mitis
Cercopithecus mitis,Species_deSousa2010,Cercopithecus mitus
Cercopithecus mitis,Species_deSousa2013,Cercopithecus mitis
Cheirogaleus major,Species_Baron1983,Cheirogaleus major
Cheirogaleus major,Species_Baron1987,Cheirogaleus major
Cheirogaleus major,Species_Baron1988,Cheirogaleus major
Cheirogaleus major,Species_Baron1990,Cheirogaleus major
Cheirogaleus major,Species_Frahm1994,Cheirogaleus major
Cheirogaleus major,Species_Frahm98,Cheirogaleus major
Cheirogaleus major,Species_Frahm_1984,Cheirogaleus major
Cheirogaleus major,Species_Matano1985a,Cheirogaleus major
Cheirogaleus major,Species_Matano1985b,Cheirogaleus major
Cheirogaleus major,Species_Sherwood_2005,Cheirogaleus major
Cheirogaleus major,Species_Stephan1981,Cheirogaleus major
Cheirogaleus major,Species_Stephan1982,Cheirogaleus major
Cheirogaleus major,Species_Stephan1984,Cheirogaleus major
Cheirogaleus major,Species_Stephan1987,Cheirogaleus major
Cheirogaleus major,Species_deSousa2010,Cheirogaleus major
Cheirogaleus medius,Species_Baron1983,Cheirogaleus medius
Cheirogaleus medius,Species_Baron1987,Cheirogaleus medius
Cheirogaleus medius,Species_Baron1988,Cheirogaleus medius
Cheirogaleus medius,Species_Baron1990,Cheirogaleus medius
Cheirogaleus medius,Species_Frahm1994,Cheirogaleus medius
Cheirogaleus medius,Species_Frahm_1984,Cheirogaleus medius
Cheirogaleus medius,Species_Matano1985a,Cheirogaleus medius
Cheirogaleus medius,Species_Matano1985b,Cheirogaleus medius
Cheirogaleus medius,Species_Sherwood_2005,Cheirogaleus medius
Cheirogaleus medius,Species_Stephan1981,Cheirogaleus medius
Cheirogaleus medius,Species_Stephan1982,Cheirogaleus medius
Cheirogaleus medius,Species_Stephan1984,Cheirogaleus medius
Cheirogaleus medius,Species_Stephan1987,Cheirogaleus medius
Cheirogaleus medius,Species_deSousa2010,Cheirogaleus medius
Chrysochloris asiatica,Species_Baron1983,Chrysochloris asiatica
Chrysochloris asiatica,Species_Baron1987,Chrysochloris asiatica
Chrysochloris asiatica,Species_Stephan1981,Chrysochloris asiatica
Chrysochloris asiatica,Species_Stephan1982,Chrysochloris asiat.
Chrysochloris asiatica,Species_Stephan1987,Chrysochloris asiatica
Chrysochloris stuhlmanni,Species_Baron1983,Chrysochloris stuhlmanni
Chrysochloris stuhlmanni,Species_Baron1987,Chrysochloris stuhlmanni
Chrysochloris stuhlmanni,Species_Baron1988,Chrysochloris stuhlmanni
Chrysochloris stuhlmanni,Species_Baron1990,Chrysochloris stuhlmanni
Chrysochloris stuhlmanni,Species_Stephan1981,Chlorotalpa stuhlmanni
Chrysochloris stuhlmanni,Species_Stephan1982,Chrysochl. stuhlm.
Chrysochloris stuhlmanni,Species_Stephan1987,Chrysochloris stuhlmanni
Colobus angolensis,Species_Bauernfeind2013,Colobus angolensis
Colobus angolensis,Species_deSousa2013,Colobus angolensis
Crocidura flavescens,Species_Baron1983,Crocidura flavescens
Crocidura flavescens,Species_Baron1987,Crocidura flavescens
Crocidura flavescens,Species_Baron1988,Crocidura flavescens
Crocidura flavescens,Species_Baron1990,Crocidura flavescens
Crocidura flavescens,Species_Frahm1982,Crocidura flavescens
Crocidura flavescens,Species_Matano1985b,Crocidura flavescens
Crocidura flavescens,Species_Stephan1981,Crocidura occidentalis
Crocidura flavescens,Species_Stephan1982,Crocidura flavesc.
Crocidura flavescens,Species_Stephan1984,Crocidura occidentalis
Crocidura flavescens,Species_Stephan1987,Crocidura flavescens
Crocidura hildegardeae,Species_Baron1987,Crocidura hildegardea
Crocidura hildegardeae,Species_Baron1988,Crocidura hildegardeae
Crocidura hildegardeae,Species_Baron1990,Crocidura hildegardeae
Crocidura hildegardeae,Species_Stephan1987,Crocidura hildegardeae
Crocidura jacksoni,Species_Baron1987,Crocidura jacksoni
Crocidura jacksoni,Species_Stephan1987,Crocidura jacksoni
Crocidura russula,Species_Baron1983,Crocidura russula
Crocidura russula,Species_Baron1987,Crocidura russula
Crocidura russula,Species_Baron1988,Crocidura russula
Crocidura russula,Species_Baron1990,Crocidura russula
Crocidura russula,Species_Frahm1982,Crocidura russula
Crocidura russula,Species_Matano1985b,Crocidura r. russula
Crocidura russula,Species_Stephan1981,Crocidura russula
Crocidura russula,Species_Stephan1982,Crocidura russula
Crocidura russula,Species_Stephan1984,Crocidura russula
Crocidura russula,Species_Stephan1987,Crocidura russula
Daubentonia madagascariensis,Species_Baron1983,Daubentonia madagascar.
Daubentonia madagascariensis,Species_Baron1987,Daubentonia madagasc.
Daubentonia madagascariensis,Species_Baron1988,Daubentoni madagascar.
Daubentonia madagascariensis,Species_Baron1990,Daubentoni madagascar.
Daubentonia madagascariensis,Species_Frahm1982,Daubentonia madagascar.
Daubentonia madagascariensis,Species_Frahm1994,Daubentonia madagascariensis
Daubentonia madagascariensis,Species_Frahm_1984,Daubentonia madagascar.
Daubentonia madagascariensis,Species_Matano1985a,Daubentonia madagasc.
Daubentonia madagascariensis,Species_Matano1985b,Daubentonia madagasc.
Daubentonia madagascariensis,Species_Sherwood_2005,Daubentonia madagascariensis
Daubentonia madagascariensis,Species_Stephan1981,Daubentonia madagascar.
Daubentonia madagascariensis,Species_Stephan1982,Daubentonia madagas.
Daubentonia madagascariensis,Species_Stephan1984,Daubentonia madagascar.
Daubentonia madagascariensis,Species_Stephan1987,Daubentonia madagasc.
Daubentonia madagascariensis,Species_deSousa2010,Daubentonia madagascariensis
Desmana moschata,Species_Baron1983,Desmana moschata
Desmana moschata,Species_Baron1987,Desmana moschata
Desmana moschata,Species_Baron1988,Desmana moschata
Desmana moschata,Species_Baron1990,Desmana moschata
Desmana moschata,Species_Stephan1981,Desmana moschata
Desmana moschata,Species_Stephan1982,Desmana moschata
Desmana moschata,Species_Stephan1984,Desmana moschata
Desmana moschata,Species_Stephan1987,Desmana moschata
Echinops telfairi,Species_Baron1983,Echinops telfairi
Echinops telfairi,Species_Baron1987,Echinops telfairi
Echinops telfairi,Species_Baron1988,Echinops telfairi
Echinops telfairi,Species_Baron1990,Echinops telfairi
Echinops telfairi,Species_Frahm1982,Echinops telfairi
Echinops telfairi,Species_Frahm1994,Echinops telfairi
Echinops telfairi,Species_Matano1985a,Echinops telfairi
Echinops telfairi,Species_Matano1985b,Echinops telfairi
Echinops telfairi,Species_Stephan1981,Echinops telfairi
Echinops telfairi,Species_Stephan1982,Echinops telfairi
Echinops telfairi,Species_Stephan1984,Echinops telfairi
Echinops telfairi,Species_Stephan1987,Echinops telfairi
Echinosorex gymnura,Species_Baron1990,Echinosorex gymnura
Elephantulus fuscipes,Species_Baron1983,Elephantulus fuscipes
Elephantulus fuscipes,Species_Baron1987,Elephantulus fuscipes
Elephantulus fuscipes,Species_Stephan1981,Elephantulus fuscipes
Elephantulus fuscipes,Species_Stephan1982,Elephantulus fuscip.
Elephantulus fuscipes,Species_Stephan1984,Elephantulus fuscipes
Elephantulus fuscipes,Species_Stephan1987,Elephantulus fuscipes
Erinaceus europaeus,Species_Baron1983,Erinaceus europaeus
Erinaceus europaeus,Species_Baron1987,Erinaceus europaeus
Erinaceus europaeus,Species_Baron1988,Erinaceus europaeus
Erinaceus europaeus,Species_Baron1990,Erinaceus europaeus
Erinaceus europaeus,Species_Frahm1982,Erinaceus europaeus
Erinaceus europaeus,Species_Matano1985b,Erinaceus europaeus
Erinaceus europaeus,Species_Stephan1981,Erinaceus europaeus
Erinaceus europaeus,Species_Stephan1982,Erinaceus europaeus
Erinaceus europaeus,Species_Stephan1984,Erinaceus europaeus
Erinaceus europaeus,Species_Stephan1987,Erinaceus europaeus
Erythrocebus patas,Species_Baron1983,Erythrocebus patas
Erythrocebus patas,Species_Baron1987,Erythrocebus patas
Erythrocebus patas,Species_Baron1988,Erythrocebus patas
Erythrocebus patas,Species_Baron1990,Erythrocebus patas
Erythrocebus patas,Species_Frahm1994,Erythrocebus patas
Erythrocebus patas,Species_Frahm98,Erythrocebus patas
Erythrocebus patas,Species_Matano1985a,Erythrocebus patas
Erythrocebus patas,Species_Matano1985b,Erythrocebus patas
Erythrocebus patas,Species_Sherwood_2005,Erythrocebus patas
Erythrocebus patas,Species_Stephan1981,Erythrocebus patas
Erythrocebus patas,Species_Stephan1984,Erythrocebus patas
Erythrocebus patas,Species_Stephan1987,Erythrocebus patas
Erythrocebus patas,Species_deSousa2013,Erythrocebus patas
Eulemur fulvus,Species_Baron1983,Lemur albifrons
Eulemur fulvus,Species_Baron1987,Lemur albifrons
Eulemur fulvus,Species_Baron1988,Lemur albifrons
Eulemur fulvus,Species_Baron1990,Lemur albifrons
Eulemur fulvus,Species_Frahm1982,Lemur albifrons
Eulemur fulvus,Species_Frahm1994,Lemur albifrons
Eulemur fulvus,Species_Frahm_1984,Lemur albifrons
Eulemur fulvus,Species_Matano1985a,Lemur fulvus
Eulemur fulvus,Species_Matano1985b,Lemur fulvus
Eulemur fulvus,Species_Sherwood_2005,Eulemur fulvus
Eulemur fulvus,Species_Stephan1981,Lemur fulvus
Eulemur fulvus,Species_Stephan1982,Lemur albifrons
Eulemur fulvus,Species_Stephan1984,Lemur albifrons
Eulemur fulvus,Species_Stephan1987,Lemur albifrons
Eulemur fulvus,Species_deSousa2010,Eulemur fulvus
Galago senegalensis,Species_Baron1983,Galago senegalensis
Galago senegalensis,Species_Baron1987,Galago senegalensis
Galago senegalensis,Species_Baron1988,Galago senegalensis
Galago senegalensis,Species_Baron1990,Galago senegalensis
Galago senegalensis,Species_Frahm1994,Galago senegalensis
Galago senegalensis,Species_Frahm98,Galago senegalensis
Galago senegalensis,Species_Frahm_1984,Galago senegalensis
Galago senegalensis,Species_Matano1985a,Galago senegalensis
Galago senegalensis,Species_Matano1985b,Galago senegalensis
Galago senegalensis,Species_Sherwood_2005,Galago senegalensis
Galago senegalensis,Species_Stephan1981,Galago senegalensis
Galago senegalensis,Species_Stephan1982,Galago senegalensis
Galago senegalensis,Species_Stephan1984,Galago senegalensis
Galago senegalensis,Species_Stephan1987,Galago senegalensis
Galago senegalensis,Species_deSousa2010,Galago senegalensis
Galagoides demidoff,Species_Baron1983,Galagoides demidoff
Galagoides demidoff,Species_Baron1987,Galagoides demidoff
Galagoides demidoff,Species_Baron1988,Galagoides demidoff
Galagoides demidoff,Species_Baron1990,Galagoides demidoff
Galagoides demidoff,Species_Bauernfeind2013,Galagoides demidoff
Galagoides demidoff,Species_Frahm1982,Galagoides demidoff
Galagoides demidoff,Species_Frahm1994,Galagoides demidoff
Galagoides demidoff,Species_Frahm98,Galagoides demidoff
Galagoides demidoff,Species_Frahm_1984,Galagoides demidoff
Galagoides demidoff,Species_Matano1985a,Galagoides demidoff
Galagoides demidoff,Species_Matano1985b,Galagoides demidoff
Galagoides demidoff,Species_Sherwood_2005,Galagoides demidoff
Galagoides demidoff,Species_Stephan1981,Galago demidovii
Galagoides demidoff,Species_Stephan1982,Galagoides demid.
Galagoides demidoff,Species_Stephan1984,Galagoides demidoff
Galagoides demidoff,Species_Stephan1987,Galagoides demidoff
Galagoides demidoff,Species_deSousa2010,Galagoides demidoff
Galemys pyrenaicus,Species_Baron1983,Galemys pyrenaicus
Galemys pyrenaicus,Species_Baron1987,Galemys pyrenaicus
Galemys pyrenaicus,Species_Baron1988,Galemys pyrenaicus
Galemys pyrenaicus,Species_Baron1990,Galemys pyrenaicus
Galemys pyrenaicus,Species_Stephan1981,Galemys pyrenaicus
Galemys pyrenaicus,Species_Stephan1982,Galemys pyrenaicus
Galemys pyrenaicus,Species_Stephan1984,Galemys pyrenaicus
Galemys pyrenaicus,Species_Stephan1987,Galemys pyrenaicus
Gorilla sp.,Species_Baron1983,Gorilla gorilla
Gorilla sp.,Species_Baron1987,Gorilla gorilla
Gorilla sp.,Species_Baron1988,Gorilla gorilla
Gorilla sp.,Species_Baron1990,Gorilla gorilla
Gorilla sp.,Species_Bauernfeind2013,Gorilla gorilla
Gorilla sp.,Species_Frahm1994,Gorilla gorilla
Gorilla sp.,Species_Frahm_1984,Gorilla gorilla
Gorilla sp.,Species_Matano1985a,Gorilla gorilla
Gorilla sp.,Species_Matano1985b,Gorilla gorilla
Gorilla sp.,Species_Sherwood_2005,Gorilla gorilla
Gorilla sp.,Species_Stephan1981,Gorilla gorilla
Gorilla sp.,Species_Stephan1984,Gorilla gorilla
Gorilla sp.,Species_Stephan1987,Gorilla gorilla
Gorilla sp.,Species_deSousa2010,Gorilla gorilla
Gorilla sp.,Species_deSousa2013,Gorilla gorilla
Hemicentetes semispinosus,Species_Baron1983,Hemicentetes semispin.
Hemicentetes semispinosus,Species_Baron1987,Hemicentetes semispinosus
Hemicentetes semispinosus,Species_Baron1988,Hemicentetes semispinosus
Hemicentetes semispinosus,Species_Baron1990,Hemicentetes semispinosus
Hemicentetes semispinosus,Species_Frahm1982,Hemicentetes semispinosus
Hemicentetes semispinosus,Species_Frahm1994,Hemicentetes semispinosus
Hemicentetes semispinosus,Species_Matano1985b,Hemicentetes semispin.
Hemicentetes semispinosus,Species_Stephan1981,Hemicentetes semispinosus
Hemicentetes semispinosus,Species_Stephan1982,Hemicentetes semisp.
Hemicentetes semispinosus,Species_Stephan1984,Hemicentetes semispin.
Hemicentetes semispinosus,Species_Stephan1987,Hemicentetes semispinosus
Hemiechinus auritus,Species_Baron1983,Hemiechinus auritus
Hemiechinus auritus,Species_Baron1987,Hemiechinus auritus
Hemiechinus auritus,Species_Baron1988,Hemiechinus auritus
Hemiechinus auritus,Species_Baron1990,Hemiechinus auritus
Hemiechinus auritus,Species_Frahm1982,Hemiechinus auritus
Hemiechinus auritus,Species_Stephan1981,Hemiechinus auritus
Hemiechinus auritus,Species_Stephan1982,Hemiechinus auritus
Hemiechinus auritus,Species_Stephan1984,Hemiechinus auritus
Hemiechinus auritus,Species_Stephan1987,Hemiechinus auritus
Homo sapiens,Species_Baron1983,Homo sapiens
Homo sapiens,Species_Baron1987,Homo sapiens
Homo sapiens,Species_Baron1988,Homo sapiens
Homo sapiens,Species_Baron1990,Homo sapiens
Homo sapiens,Species_Bauernfeind2013,Homo sapiens
Homo sapiens,Species_Frahm1982,Homo sapiens
Homo sapiens,Species_Frahm1994,Homo sapiens
Homo sapiens,Species_Frahm_1984,Homo sapiens
Homo sapiens,Species_Matano1985a,Homo sapiens
Homo sapiens,Species_Matano1985b,Homo sapiens
Homo sapiens,Species_Sherwood_2005,Homo sapiens
Homo sapiens,Species_Stephan1981,Homo sapiens sapiens
Homo sapiens,Species_Stephan1984,Homo sapiens
Homo sapiens,Species_Stephan1987,Homo sapiens
Homo sapiens,Species_deSousa2010,Homo sapiens
Homo sapiens,Species_deSousa2013,Homo sapiens
Hylobates lar,Species_Baron1983,Hylobates lar
Hylobates lar,Species_Baron1987,Hylobates lar
Hylobates lar,Species_Baron1988,Hylobates lar
Hylobates lar,Species_Baron1990,Hylobates lar
Hylobates lar,Species_Bauernfeind2013,Hylobates lar
Hylobates lar,Species_Frahm1982,Hylobates lar
Hylobates lar,Species_Frahm1994,Hylobates lar
Hylobates lar,Species_Frahm_1984,Hylobates lar
Hylobates lar,Species_Matano1985a,Hylobates lar
Hylobates lar,Species_Matano1985b,Hylobates lar
Hylobates lar,Species_Sherwood_2005,Hylobates lar
Hylobates lar,Species_Stephan1981,Hylobates lar
Hylobates lar,Species_Stephan1984,Hylobates lar
Hylobates lar,Species_Stephan1987,Hylobates lar
Hylobates lar,Species_deSousa2010,Hylobates lar
Hylobates lar,Species_deSousa2013,Hylobates lar
Hylobates muelleri,Species_Bauernfeind2013,Hylobates muelleri
Hylobates muelleri,Species_deSousa2013,Hylobates muelleri
Hylomys suillus,Species_Baron1990,Hylomys suillus
Indri indri,Species_Baron1983,Indri indri
Indri indri,Species_Baron1987,Indri indri
Indri indri,Species_Baron1988,Indri indri
Indri indri,Species_Baron1990,Indri indri
Indri indri,Species_Bauernfeind2013,Indri indri
Indri indri,Species_Frahm1982,Indri indri
Indri indri,Species_Frahm1994,Indri indri
