Species_canonical,source_column,variant_name
Alouatta caraya,Species_Bauernfeind2013,Alouatta caraya
Alouatta seniculus,Species_Baron1983,Alouatta spp.
Alouatta seniculus,Species_Baron1987,Alouatta seniculus
Alouatta seniculus,Species_Baron1988,Alouatta seniculus
Alouatta seniculus,Species_Baron1990,Alouatta seniculus
Alouatta seniculus,Species_Frahm1982,Alouatta sp.
Alouatta seniculus,Species_Frahm1994,Alouatta seniculus
Alouatta seniculus,Species_Frahm98,Alouatta seniculus
Alouatta seniculus,Species_Frahm_1984,Alouatta sp.
Alouatta seniculus,Species_Matano1985a,Alouatta seniculus
Alouatta seniculus,Species_Matano1985b,Alouatta seniculus
Alouatta seniculus,Species_Sherwood_2005,Alouatta seniculus
Alouatta seniculus,Species_Stephan1981,Alouatta sp.
Alouatta seniculus,Species_Stephan1982,Alouatta sp.
Alouatta seniculus,Species_Stephan1984,Alouatta spp.
Alouatta seniculus,Species_Stephan1987,Alouatta seniculus
Alouatta seniculus,Species_deSousa2010,Alouatta seniculus
Aotus trivirgatus,Species_Baron1983,Aotus trivirgatus
Aotus trivirgatus,Species_Baron1987,Aotus trivirgatus
Aotus trivirgatus,Species_Baron1988,Aotus trivirgatus
Aotus trivirgatus,Species_Baron1990,Aotus trivirgatus
Aotus trivirgatus,Species_Frahm1982,Aotus trivirgatus
Aotus trivirgatus,Species_Frahm1994,Aotus trivirgatus
Aotus trivirgatus,Species_Frahm98,Aotus trivirgatus
Aotus trivirgatus,Species_Frahm_1984,Aotus trivirgatus
Aotus trivirgatus,Species_Matano1985a,Aotus trivirgatus
Aotus trivirgatus,Species_Matano1985b,Aotus trivirgatus
Aotus trivirgatus,Species_Sherwood_2005,Aotus trivirgatus
Aotus trivirgatus,Species_Stephan1981,Aotus trivirgatus
Aotus trivirgatus,Species_Stephan1982,Aotus trivirgatus
Aotus trivirgatus,Species_Stephan1984,Aotus trivirgatus
Aotus trivirgatus,Species_Stephan1987,Aotus trivirgatua
Aotus trivirgatus,Species_deSousa2010,Aotus trivirgatus
Atelerix algirus,Species_Baron1983,Erinaceus algirus
Atelerix algirus,Species_Baron1987,Erinaceus algirus
Atelerix algirus,Species_Baron1988,Erinaceus algirus
Atelerix algirus,Species_Baron1990,Atelerix algirus
Atelerix algirus,Species_Frahm1982,Erinaceus algirus
Atelerix algirus,Species_Stephan1981,Aethechinus algirus
Atelerix algirus,Species_Stephan1982,Erinaceus algirus
Atelerix algirus,Species_Stephan1984,Aethechinus algirus
Atelerix algirus,Species_Stephan1987,Erinaceus algirus
Ateles geoffroyi,Species_Baron1983,Ateles geoffroyi
Ateles geoffroyi,Species_Baron1987,Ateles geoffroyi
Ateles geoffroyi,Species_Baron1988,Ateles geoffroyi
Ateles geoffroyi,Species_Baron1990,Ateles geoffroyi
Ateles geoffroyi,Species_Bauernfeind2013,Ateles geoffroyi
Ateles geoffroyi,Species_Frahm1994,Ateles geoffroyi
Ateles geoffroyi,Species_Frahm_1984,Ateles geoffroyi
