Species,CorticalSurface_Area.mm2,M1_Surface_Area.mm2,n_cortical_areas,n_somatomotor_areas,n_visual_areas
Aotus nancymaae,2036.5,221.83,NA,NA,NA
Aotus trivirgatus,5485.85,NA,32,13,23
Blarina brevicauda,28.13,NA,4,3,1
Callithrix jacchus,910.26,NA,25.5,11,19
Condylura cristata,NA,NA,3,NA,NA
Cryptotis parva,21.8,NA,4,3,1
Dactylopsila trivirgata,248.65,NA,8,6,2
Dasyurus hallucatus,133.17,NA,8.5,5,2
Didelphis marsupialis,269.6,NA,9.5,5,4
Echinops telfairi,24.24,NA,5.5,3,2
Erinaceus europaeus,106.69,NA,7,6,2
Felis catus,3014.8,NA,26.5,15,15
Galago sp.,382.83,NA,24,11,13
Homo sapiens,NA,NA,50,NA,NA
Macaca mulatta,12914.1,NA,41,22,32
Macaca nemestrina,15180,NA,NA,NA,NA
Macaca radiata,10200,NA,NA,NA,NA
Monodelphis domestica,44.94,NA,6.5,3,3.5
Mus sp.,51.24,NA,9,6,3
Otolemur garnettii,2055,43.22,NA,NA,NA
Pan troglodytes,NA,2700,NA,NA,NA
Papio cynocephalus anubis,20988.5,645.0999999999999,NA,NA,NA
Pteropus poliocephalus,219.63,NA,14.5,8,6.5
Rattus sp.,90.69,NA,11,7,4
Saimiri sciureus,4373.52,125.1,30,10,20
Sciurus carolinensis,213.85,NA,14,7,7
Sminthopsis crassicaudata,11.37,NA,5,3,2
Sorex cinereus,14.93,NA,4,3,1
Sorex longirostris,9.48,NA,4,3,1
Sorex palustris,25.55,NA,4,3,1
Tachyglossus aculeatus,NA,NA,10,NA,NA
Trichosurus vulpecula,208.35,NA,7,5,2
Tupaia belangeri,385.25,NA,NA,NA,8
