Species,Standardized_Term,value,source,trait_class
Condylura cristata,n_cortical_areas,3,Changizi__2001_Figure3,whole_cortex
Erinaceus europaeus,n_cortical_areas,6,Changizi__2001_Figure3,whole_cortex
Echinops telfairi,n_cortical_areas,6,Changizi__2001_Figure3,whole_cortex
Tachyglossus aculeatus,n_cortical_areas,10,Changizi__2001_Figure3,whole_cortex
Didelphis marsupialis,n_cortical_areas,10,Changizi__2001_Figure3,whole_cortex
Dasyurus hallucatus,n_cortical_areas,10,Changizi__2001_Figure3,whole_cortex
Sciurus carolinensis,n_cortical_areas,14,Changizi__2001_Figure3,whole_cortex
Callithrix jacchus,n_cortical_areas,21,Changizi__2001_Figure3,whole_cortex
Felis catus,n_cortical_areas,23,Changizi__2001_Figure3,whole_cortex
Aotus trivirgatus,n_cortical_areas,28,Changizi__2001_Figure3,whole_cortex
Macaca mulatta,n_cortical_areas,28,Changizi__2001_Figure3,whole_cortex
Homo sapiens,n_cortical_areas,50,Changizi__2001_Figure3,whole_cortex
Aotus trivirgatus,n_visual_areas,23,Finlay_etal_2006_Table6.1,whole_cortex
Blarina brevicauda,n_visual_areas,1,Finlay_etal_2006_Table6.1,whole_cortex
Callithrix jacchus,n_visual_areas,19,Finlay_etal_2006_Table6.1,whole_cortex
Cryptotis parva,n_visual_areas,1,Finlay_etal_2006_Table6.1,whole_cortex
Dactylopsila trivirgata,n_visual_areas,2,Finlay_etal_2006_Table6.1,whole_cortex
Dasyurus hallucatus,n_visual_areas,2,Finlay_etal_2006_Table6.1,whole_cortex
Didelphis marsupialis,n_visual_areas,4,Finlay_etal_2006_Table6.1,whole_cortex
Echinops telfairi,n_visual_areas,2,Finlay_etal_2006_Table6.1,whole_cortex
Erinaceus europaeus,n_visual_areas,2,Finlay_etal_2006_Table6.1,whole_cortex
Felis catus,n_visual_areas,15,Finlay_etal_2006_Table6.1,whole_cortex
Galago sp.,n_visual_areas,13,Finlay_etal_2006_Table6.1,whole_cortex
Macaca mulatta,n_visual_areas,32,Finlay_etal_2006_Table6.1,whole_cortex
Monodelphis domestica,n_visual_areas,3.5,Finlay_etal_2006_Table6.1,whole_cortex
Mus sp.,n_visual_areas,3,Finlay_etal_2006_Table6.1,whole_cortex
Pteropus poliocephalus,n_visual_areas,6.5,Finlay_etal_2006_Table6.1,whole_cortex
Rattus sp.,n_visual_areas,4,Finlay_etal_2006_Table6.1,whole_cortex
Saimiri sciureus,n_visual_areas,20,Finlay_etal_2006_Table6.1,whole_cortex
Sminthopsis crassicaudata,n_visual_areas,2,Finlay_etal_2006_Table6.1,whole_cortex
Sorex cinereus,n_visual_areas,1,Finlay_etal_2006_Table6.1,whole_cortex
Sorex longirostris,n_visual_areas,1,Finlay_etal_2006_Table6.1,whole_cortex
Sorex palustris,n_visual_areas,1,Finlay_etal_2006_Table6.1,whole_cortex
Sciurus carolinensis,n_visual_areas,7,Finlay_etal_2006_Table6.1,whole_cortex
Trichosurus vulpecula,n_visual_areas,2,Finlay_etal_2006_Table6.1,whole_cortex
Tupaia belangeri,n_visual_areas,8,Finlay_etal_2006_Table6.1,whole_cortex
Aotus trivirgatus,n_somatomotor_areas,13,Finlay_etal_2006_Table6.1,whole_cortex
Blarina brevicauda,n_somatomotor_areas,3,Finlay_etal_2006_Table6.1,whole_cortex
Callithrix jacchus,n_somatomotor_areas,11,Finlay_etal_2006_Table6.1,whole_cortex
Cryptotis parva,n_somatomotor_areas,3,Finlay_etal_2006_Table6.1,whole_cortex
Dactylopsila trivirgata,n_somatomotor_areas,6,Finlay_etal_2006_Table6.1,whole_cortex
Dasyurus hallucatus,n_somatomotor_areas,5,Finlay_etal_2006_Table6.1,whole_cortex
Didelphis marsupialis,n_somatomotor_areas,5,Finlay_etal_2006_Table6.1,whole_cortex
Echinops telfairi,n_somatomotor_areas,3,Finlay_etal_2006_Table6.1,whole_cortex
Erinaceus europaeus,n_somatomotor_areas,6,Finlay_etal_2006_Table6.1,whole_cortex
Felis catus,n_somatomotor_areas,15,Finlay_etal_2006_Table6.1,whole_cortex
Galago sp.,n_somatomotor_areas,11,Finlay_etal_2006_Table6.1,whole_cortex
Macaca mulatta,n_somatomotor_areas,22,Finlay_etal_2006_Table6.1,whole_cortex
Monodelphis domestica,n_somatomotor_areas,3,Finlay_etal_2006_Table6.1,whole_cortex
Mus sp.,n_somatomotor_areas,6,Finlay_etal_2006_Table6.1,whole_cortex
Pteropus poliocephalus,n_somatomotor_areas,8,Finlay_etal_2006_Table6.1,whole_cortex
Rattus sp.,n_somatomotor_areas,7,Finlay_etal_2006_Table6.1,whole_cortex
Saimiri sciureus,n_somatomotor_areas,10,Finlay_etal_2006_Table6.1,whole_cortex
Sminthopsis crassicaudata,n_somatomotor_areas,3,Finlay_etal_2006_Table6.1,whole_cortex
Sorex cinereus,n_somatomotor_areas,3,Finlay_etal_2006_Table6.1,whole_cortex
Sorex longirostris,n_somatomotor_areas,3,Finlay_etal_2006_Table6.1,whole_cortex
Sorex palustris,n_somatomotor_areas,3,Finlay_etal_2006_Table6.1,whole_cortex
Sciurus carolinensis,n_somatomotor_areas,7,Finlay_etal_2006_Table6.1,whole_cortex
Trichosurus vulpecula,n_somatomotor_areas,5,Finlay_etal_2006_Table6.1,whole_cortex
Aotus trivirgatus,n_cortical_areas,36,Finlay_etal_2006_Table6.1,whole_cortex
Blarina brevicauda,n_cortical_areas,4,Finlay_etal_2006_Table6.1,whole_cortex
Callithrix jacchus,n_cortical_areas,30,Finlay_etal_2006_Table6.1,whole_cortex
Cryptotis parva,n_cortical_areas,4,Finlay_etal_2006_Table6.1,whole_cortex
Dactylopsila trivirgata,n_cortical_areas,8,Finlay_etal_2006_Table6.1,whole_cortex
Dasyurus hallucatus,n_cortical_areas,7,Finlay_etal_2006_Table6.1,whole_cortex
Didelphis marsupialis,n_cortical_areas,9,Finlay_etal_2006_Table6.1,whole_cortex
Echinops telfairi,n_cortical_areas,5,Finlay_etal_2006_Table6.1,whole_cortex
Erinaceus europaeus,n_cortical_areas,8,Finlay_etal_2006_Table6.1,whole_cortex
Felis catus,n_cortical_areas,30,Finlay_etal_2006_Table6.1,whole_cortex
Galago sp.,n_cortical_areas,24,Finlay_etal_2006_Table6.1,whole_cortex
Macaca mulatta,n_cortical_areas,54,Finlay_etal_2006_Table6.1,whole_cortex
Monodelphis domestica,n_cortical_areas,6.5,Finlay_etal_2006_Table6.1,whole_cortex
Mus sp.,n_cortical_areas,9,Finlay_etal_2006_Table6.1,whole_cortex
Pteropus poliocephalus,n_cortical_areas,14.5,Finlay_etal_2006_Table6.1,whole_cortex
Rattus sp.,n_cortical_areas,11,Finlay_etal_2006_Table6.1,whole_cortex
Saimiri sciureus,n_cortical_areas,30,Finlay_etal_2006_Table6.1,whole_cortex
Sminthopsis crassicaudata,n_cortical_areas,5,Finlay_etal_2006_Table6.1,whole_cortex
Sorex cinereus,n_cortical_areas,4,Finlay_etal_2006_Table6.1,whole_cortex
Sorex longirostris,n_cortical_areas,4,Finlay_etal_2006_Table6.1,whole_cortex
Sorex palustris,n_cortical_areas,4,Finlay_etal_2006_Table6.1,whole_cortex
Sciurus carolinensis,n_cortical_areas,14,Finlay_etal_2006_Table6.1,whole_cortex
Trichosurus vulpecula,n_cortical_areas,7,Finlay_etal_2006_Table6.1,whole_cortex
Aotus trivirgatus,CorticalSurface_Area.mm2,5485.85,Finlay_etal_2006_Table6.1,whole_cortex
Blarina brevicauda,CorticalSurface_Area.mm2,28.13,Finlay_etal_2006_Table6.1,whole_cortex
Callithrix jacchus,CorticalSurface_Area.mm2,910.26,Finlay_etal_2006_Table6.1,whole_cortex
Cryptotis parva,CorticalSurface_Area.mm2,21.8,Finlay_etal_2006_Table6.1,whole_cortex
Dactylopsila trivirgata,CorticalSurface_Area.mm2,248.65,Finlay_etal_2006_Table6.1,whole_cortex
Dasyurus hallucatus,CorticalSurface_Area.mm2,133.17,Finlay_etal_2006_Table6.1,whole_cortex
Didelphis marsupialis,CorticalSurface_Area.mm2,269.6,Finlay_etal_2006_Table6.1,whole_cortex
Echinops telfairi,CorticalSurface_Area.mm2,24.24,Finlay_etal_2006_Table6.1,whole_cortex
Erinaceus europaeus,CorticalSurface_Area.mm2,106.69,Finlay_etal_2006_Table6.1,whole_cortex
Felis catus,CorticalSurface_Area.mm2,3014.8,Finlay_etal_2006_Table6.1,whole_cortex
Galago sp.,CorticalSurface_Area.mm2,382.83,Finlay_etal_2006_Table6.1,whole_cortex
