accepted_species,suborder,Sey_QICA,Boy_QICA,ratio_Sey_over_Boy,Boy_QVA,Boy_QTOT,VA_share_of_QTOT,Sey_QICA_vs_Boy_QTOT_ratio
Cacajao calvus,Haplorrhini,0.9783,0.379,2.581,0.422,0.802,0.526,1.22
Callithrix jacchus,Haplorrhini,0.03923,0.041,0.957,0.093,0.134,0.694,0.293
Callithrix pygmaea,Haplorrhini,0.09148,0.025,3.659,0.059,0.084,0.702,1.089
Galago senegalensis,Strepsirrhini,0.0006916,0.0004,1.729,0.042,0.043,0.977,0.016
Gorilla sp.,Haplorrhini,2.281,1.564,1.458,2.602,4.166,0.625,0.548
Homo sapiens,Haplorrhini,7.524,10.01,0.751,2.831,12.85,0.22,0.586
Hylobates lar,Haplorrhini,0.5611,0.962,0.583,0.316,1.278,0.247,0.439
Lemur catta,Strepsirrhini,0.01791,0.003,5.969,0.368,0.372,0.989,0.048
Lophocebus albigena,Haplorrhini,0.7763,0.464,1.673,0.396,0.86,0.46,0.903
Loris tardigradus,Strepsirrhini,0.002523,0.001,2.523,0.047,0.048,0.979,0.053
Macaca fascicularis,Haplorrhini,0.4236,0.529,0.801,0.286,0.815,0.351,0.52
Mandrillus leucophaeus,Haplorrhini,1.505,0.673,2.236,0.717,1.39,0.516,1.082
Nasalis larvatus,Haplorrhini,0.7499,0.439,1.708,0.466,0.905,0.515,0.829
Nycticebus coucang,Strepsirrhini,0.01586,0.002,7.928,0.172,0.174,0.989,0.091
Pan troglodytes,Haplorrhini,2.218,1.921,1.154,1.512,3.433,0.44,0.646
Pongo sp.,Haplorrhini,2.094,1.518,1.379,2.467,3.985,0.619,0.525
Saimiri sciureus,Haplorrhini,0.1318,0.134,0.983,0.198,0.333,0.595,0.396
