accepted_species,suborder,in_Seymour2015,in_Boyer2019,overlap,BM_g_Seymour,BM_g_Boyer,ECV_ml_Seymour,ECV_ml_Boyer,Sey_QICA_mLs,Boy_QICA_mLs,Boy_QVA_mLs,Boy_QTOT_mLs,QICA_ratio_Sey_over_Boy,QTOT_best_mLs,QTOT_source,notes
Acrobates pygmaeus,Diprotodontia,Y,N,N,14,,0.25,,0.008965,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Aepyprymnus rufescens,Diprotodontia,Y,N,N,2500,,13.32,,0.1038,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Alouatta sp.,Haplorrhini,N,Y,N,,5753,,52.75,,0.349,0.561,0.911,,0.911,Boyer2019_QTOT(ICA+VA),
Aotus trivirgatus,Haplorrhini,N,Y,N,,989,,16.85,,0.104,0.189,0.293,,0.293,Boyer2019_QTOT(ICA+VA),
Archaeolemur majori,Strepsirrhini,N,Y,N,,1.82e+04,,93,,0.011,1.606,1.617,,1.617,Boyer2019_QTOT(ICA+VA),
Ateles geoffroyi,Haplorrhini,N,Y,N,,7453,,106.6,,0.898,0.571,1.469,,1.469,Boyer2019_QTOT(ICA+VA),
Avahi laniger,Strepsirrhini,N,Y,N,,1206,,9.86,,0.002,0.169,0.171,,0.171,Boyer2019_QTOT(ICA+VA),
Babakotia radofilai,Strepsirrhini,N,Y,N,,1.6e+04,,48,,0.009,0.877,0.886,,0.886,Boyer2019_QTOT(ICA+VA),
Bettongia lesueur,Diprotodontia,Y,N,N,1597,,9.2,,0.07856,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Cacajao calvus,Haplorrhini,Y,Y,Y,3165,2935,100,76,0.9783,0.379,0.422,0.802,2.581,0.802,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Callicebus moloch,Haplorrhini,N,Y,N,,1070,,17.78,,0.119,0.145,0.264,,0.264,Boyer2019_QTOT(ICA+VA),
Callithrix jacchus,Haplorrhini,Y,Y,Y,371.5,318,6.6,7.43,0.03923,0.041,0.093,0.134,0.957,0.134,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Callithrix pygmaea,Haplorrhini,Y,Y,Y,116,110,7,4.02,0.09148,0.025,0.059,0.084,3.659,0.084,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Cebus capucinus,Haplorrhini,N,Y,N,,2436,,67.02,,0.329,0.276,0.605,,0.605,Boyer2019_QTOT(ICA+VA),
Cercartetus concinnus,Diprotodontia,Y,N,N,17,,0.28,,0.004462,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Cercartetus nanus,Diprotodontia,Y,N,N,70,,0.55,,0.00571,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Cercopithecus mitis,Haplorrhini,Y,N,N,7930,,71,,0.3018,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Cercopithecus neglectus,Haplorrhini,Y,N,N,5740,,65,,0.6066,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Cheirogaleus major,Strepsirrhini,N,Y,N,,140,,5.81,,0.004,0.098,0.102,,0.102,Boyer2019_QTOT(ICA+VA),
Cheirogaleus medius,Strepsirrhini,N,Y,N,,400,,2.6,,0.001,0.032,0.032,,0.032,Boyer2019_QTOT(ICA+VA),
Chiropotes satanas,Haplorrhini,N,Y,N,,2132,,48.33,,0.493,0.25,0.743,,0.743,Boyer2019_QTOT(ICA+VA),
Chlorocebus aethiops,Haplorrhini,Y,N,N,3620,,67,,0.7399,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Colobus satanas,Haplorrhini,Y,N,N,8910,,79,,0.3659,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Cynocephalus volans,Dermoptera,N,Y,N,,810,,5.78,,0.003,0.106,0.11,,0.11,Boyer2019_QTOT(ICA+VA),
Daubentonia madagascariensis,Strepsirrhini,N,Y,N,,2555,,45.31,,0.015,0.382,0.396,,0.396,Boyer2019_QTOT(ICA+VA),
Dendrolagus dorianus,Diprotodontia,Y,N,N,1.65e+04,,38,,0.4176,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Dendrolagus matschiei,Diprotodontia,Y,N,N,6960,,29,,0.1717,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Eulemur fulvus ssp.,Strepsirrhini,N,Y,N,,2210,,23.06,,0.002,0.302,0.305,,0.305,Boyer2019_QTOT(ICA+VA),
Eulemur mongoz,Strepsirrhini,Y,N,N,1585,,20,,0.04354,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Galago senegalensis,Strepsirrhini,Y,Y,Y,248,196,5,3.97,0.0006916,0.0004,0.042,0.043,1.729,0.043,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Galeopterus variegatus,Dermoptera,N,Y,N,,1330,,6.78,,0.002,0.058,0.06,,0.06,Boyer2019_QTOT(ICA+VA),
Gorilla sp.,Haplorrhini,Y,Y,Y,1.452e+05,7.15e+04,461,455.9,2.281,1.564,2.602,4.166,1.458,4.166,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
Hapalemur griseus,Strepsirrhini,N,Y,N,,690,,14.04,,0.002,0.257,0.258,,0.258,Boyer2019_QTOT(ICA+VA),
Hemibelideus lemuroides,Diprotodontia,Y,N,N,1026,,3.35,,0.05762,,,,,,Seymour2015_ICA_only(no_VA;QTOT_unavailable),
Homo sapiens,Haplorrhini,Y,Y,Y,7e+04,6.5e+04,1186,1422,7.524,10.01,2.831,12.85,0.751,12.85,Boyer2019_QTOT(ICA+VA),overlap: cross-check row
