status,species_snapshot,species_csv,n_mismatch,species_key,body_mass_g_snap,brain_vol_ml_snap,ref_snap,.cid,body_mass_g_csv,brain_vol_ml_csv,brain_mass_g_csv,ref_csv,brain_mass_g_snap,body_mass_match,brain_vol_match,brain_mass_match,ref_match
matched_by_species,Acrobates pygmaeus,Acrobates pygmaeus,0,acrobates pygmaeus,14,0.25,4,42,14,0.25,0.259,4,0.259,TRUE,TRUE,TRUE,TRUE
matched_by_species,Aepyprymnus rufescens,Aepyprymnus rufescens,0,aepyprymnus rufescens,2500,13.32,8,49,2500,13.32,13.79952,8,13.7995,TRUE,TRUE,TRUE,TRUE
matched_by_species,Bettongia lesueur,Bettongia lesueur,0,bettongia lesueur,1597,9.2,7,48,1597,9.2,9.531199999999998,7,9.5312,TRUE,TRUE,TRUE,TRUE
matched_by_species,Cacajao calvus,Cacajao calvus,0,cacajao calvus,3165,100,1,4,3165,100,103.6,1,103.6,TRUE,TRUE,TRUE,TRUE
matched_by_species,Callithrix jacchus,Callithrix jacchus,0,callithrix jacchus,371.5,6.6,1,1,371.5,6.6,6.8376,1,6.8376,TRUE,TRUE,TRUE,TRUE
matched_by_species,Callithrix pygmaea,Callithrix pygmaea,0,callithrix pygmaea,116,7,1,2,116,7,7.252,1,7.252,TRUE,TRUE,TRUE,TRUE
matched_by_species,Cercartetus concinnus,Cercartetus concinnus,0,cercartetus concinnus,17,0.28,4,43,17,0.28,0.29008000000000006,4,0.29008,TRUE,TRUE,TRUE,TRUE
matched_by_species,Cercartetus nanus,Cercartetus nanus,0,cercartetus nanus,70,0.55,4,44,70,0.55,0.5698000000000001,4,0.5698,TRUE,TRUE,TRUE,TRUE
matched_by_species,Cercopithecus mitis,Cercopithecus mitis,0,cercopithecus mitis,7930,71,1,7,7930,71,73.556,1,73.556,TRUE,TRUE,TRUE,TRUE
matched_by_species,Cercopithecus neglectus,Cercopithecus neglectus,0,cercopithecus neglectus,5740,65,1,8,5740,65,67.34,1,67.34,TRUE,TRUE,TRUE,TRUE
matched_by_species,Chlorocebus aethiops,Chlorocebus aethiops,0,chlorocebus aethiops,3620,67,1,9,3620,67,69.412,1,69.412,TRUE,TRUE,TRUE,TRUE
matched_by_species,Colobus satanas,Colobus satanas,0,colobus satanas,8910,79,1,10,8910,79,81.84400000000001,1,81.844,TRUE,TRUE,TRUE,TRUE
matched_by_species,Dendrolagus dorianus,Dendrolagus dorianus,0,dendrolagus dorianus,16500,38,12,55,16500,38,39.368,12,39.368,TRUE,TRUE,TRUE,TRUE
matched_by_species,Dendrolagus matschiei,Dendrolagus matschiei,0,dendrolagus matschiei,6960,29,10,53,6960,29,30.044,10,30.044,TRUE,TRUE,TRUE,TRUE
matched_by_species,Eulemur mongoz,Eulemur mongoz,0,eulemur mongoz,1585,20,1,41,1585,20,20.72,1,20.72,TRUE,TRUE,TRUE,TRUE
matched_by_species,Galago senegalensis,Galago senegalensis,0,galago senegalensis,248,5,1,39,248,5,5.18,1,5.18,TRUE,TRUE,TRUE,TRUE
matched_by_species,Gorilla gorilla,Gorilla gorilla,0,gorilla gorilla,145200,461,1,28,145200,461,477.59599999999995,1,477.596,TRUE,TRUE,TRUE,TRUE
matched_by_species,Hemibelideus lemuroides,Hemibelideus lemuroides,0,hemibelideus lemuroides,1026,3.35,6,47,1026,3.3499999999999996,3.4705999999999997,6,3.4706,TRUE,TRUE,TRUE,TRUE
matched_by_species,Homo sapiens,Homo sapiens,0,homo sapiens,70000,1186,3,29,70000,1186,1228.696,3,1228.7,TRUE,TRUE,TRUE,TRUE
matched_by_species,Hylobates agilis,Hylobates agilis,0,hylobates agilis,5880,115,1,32,5880,115,119.14,1,119.14,TRUE,TRUE,TRUE,TRUE
matched_by_species,Hylobates lar,Hylobates lar,0,hylobates lar,5620,102.5,1,33,5620,102.5,106.19,1,106.19,TRUE,TRUE,TRUE,TRUE
matched_by_species,Hylobates syndactylus,Hylobates syndactylus,0,hylobates syndactylus,11900,120,1,34,11900,120,124.32,1,124.32,TRUE,TRUE,TRUE,TRUE
matched_by_species,Lagothrix lagotricha,Lagothrix lagotricha,0,lagothrix lagotricha,7280,110,1,5,7280,110,113.96000000000001,1,113.96,TRUE,TRUE,TRUE,TRUE
matched_by_species,Lasiorhinus latifrons,Lasiorhinus latifrons,0,lasiorhinus latifrons,29917,56,5,58,29917,56,58.016,5,58.016,TRUE,TRUE,TRUE,TRUE
matched_by_species,Lemur catta,Lemur catta,0,lemur catta,2210,23,1,38,2210,23,23.828,1,23.828,TRUE,TRUE,TRUE,TRUE
matched_by_species,Leontopithecus rosalia,Leontopithecus rosalia,0,leontopithecus rosalia,620,12,1,3,620,12,12.432,1,12.432,TRUE,TRUE,TRUE,TRUE
matched_by_species,Lophocebus albigena,Lophocebus albigena,0,lophocebus albigena,7135,98,1,11,7135,98,101.52799999999999,1,101.528,TRUE,TRUE,TRUE,TRUE
