Individual,status,snap_1,snap_2,snap_3,snap_4,pre_1,pre_2,pre_3,pre_4,n_mismatch
Homo sapiens 14686,MISMATCH,11.94,23.08,17.13,31.45,12.0,23.0,17.0,31.0,4
Homo sapiens 1696,MISMATCH,14.68,25.1,14.38,25.05,15.0,25.0,14.0,25.0,4
Homo sapiens 18992,MISMATCH,11.92,21.51,13.18,28.62,12.0,22.0,13.0,29.0,4
Homo sapiens 20784,MISMATCH,16.7,24.18,19.25,27.26,17.0,24.0,19.0,27.0,4
Homo sapiens 2431,MISMATCH,10.73,18.65,8.62,15.58,11.0,19.0,9.0,16.0,4
Homo sapiens 54491,MISMATCH,16.92,23.54,20.62,26.1,17.0,24.0,21.0,26.1,3
Homo sapiens 5694,MISMATCH,13.0,19.25,14.47,19.28,13.0,1925.0,14.0,1928.0,3
Homo sapiens 6895,MISMATCH,11.94,22.32,9.61,19.62,12.0,22.0,10.0,20.0,4
Pan troglodytes 280,MISMATCH,2.11,7.64,2.5,6.57,2.0,8.0,2.5,7.0,3
Pan paniscus 86137,MISMATCH,1.02,4.22,1.03,3.73,1.0,422.0,1.0,4.0,4
Gorilla gorilla 375,MISMATCH,1.29,5.87,1.32,5.77,1.0,6.0,1.0,6.0,4
Pongo pygmaeus yn85 38,MISMATCH,1.68,5.68,0.84,2.92,2.0,6.0,0.84,3.0,3
Hylobates lar 1203,MISMATCH,0.24,1.28,0.27,1.3,0.24,128.0,27.0,130.0,3
Papio anubis 97,MISMATCH,0.36,2.01,0.49,1.91,36.0,2.0,0.49,2.0,3
Cercocebus albigena 242,MISMATCH,0.19,1.13,0.24,1.18,0.19,1.0,0.24,1.0,2
Nasalis larvatus 1365,MISMATCH,0.02,0.38,0.05,0.44,0.02,38.0,0.05,0.44,1
Alouatta seniculus1184,MISMATCH,0.04,0.32,0.13,0.69,0.04,32.0,0.13,0.69,1
Ateles geoffroyi 1000,MISMATCH,0.08,1.22,0.21,1.55,0.08,122.0,21.0,2.0,3
Pithecia monachus1180,MISMATCH,0.02,0.16,0.07,0.44,0.02,0.16,0.07,44.0,1
