...1,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12
Table 4. GLI values for each cortical layer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Species,n,Layer II,Layer II SEM,Layer III,Layer III SEM,Layer V,Layer V SEM,Layer VI,Layer VI SEM,Cortical mean,Cortical mean SEM
Macaca fascicularis,3,14.06,0.78,16.079999999999998,0.76,16.13,0.63,14.26,0.47,15.58,0.69
Papio anubis,1,14.11,NA,14.28,NA,15.76,NA,14.34,NA,14.85,NA
Pongo pygmaeus,2,"
10.34",1.76,"
11.09",1.52,"
10.96",1.89,"
9.56",1.51,"
10.61",1.58
Gorilla gorilla,2,9.8000000000000007,0.61,9.35,0.46,8.8699999999999992,0.61,7.72,0.62,8.76,0.63
Pan troglodytes,2,13.44,1.17,13.69,1.21,13.58,1.1399999999999999,11.92,1.0900000000000001,13.19,1.1499999999999999
Homo sapiens,2,10.29,1.0900000000000001,11.83,0.86,12.21,1.21,11.13,1.03,11.65,1.02
