...1,...2,...3,...4,...5,...6,...7
"Table 5. Species mean values for 10 GLI
profile feature vectors",NA,NA,NA,NA,NA,NA
NA,Macaca fascicularis,Papio anubis,Pongo pygmaeus,Gorilla gorilla,Pan troglodytes,Homo sapiens
meany.o,1.1103000000000001,0.83899999999999997,–0.6807,–1.3484,0.24759999999999999,–0.3034
meanx.o,0.45600000000000002,1.3629,–0.3290,–1.5759,–0.4176,0.95699999999999996
sd.o,–0.9664,0.88939999999999997,–0.4157,1.3694,0.68410000000000004,–0.6330
skew.o,–0.3711,–1.7422,0.42649999999999999,1.4595,0.2545,–0.7127
kurt.o,0.86080000000000001,–0.3021,0.2162,–0.9477,–1.1899,0.78120000000000001
meany.d,–1.4338,–0.3579,0.60119999999999996,0.94069999999999998,0.1673,0.62050000000000005
meanx.d,0.54659999999999997,0.39090000000000003,0.46539999999999998,–1.6839,–0.5439,0.74709999999999999
sd.d,0.1008,2.5303,–0.1575,–0.9743,0.48159999999999997,–0.7661
skew.d,–0.5343,–0.6195,–0.1845,1.4597,0.37930000000000003,–0.5433
kurt.d,0.2482,–2.7462,–0.0532,0.73719999999999997,–0.3659,0.68269999999999997
