Species,meany.o,meanx.o,sd.o,skew.o,kurt.o,meany.d,meanx.d,sd.d,skew.d,kurt.d,source
Macaca fascicularis,1.1103000000000001,0.45600000000000002,–0.9664,–0.3711,0.86080000000000001,–1.4338,0.54659999999999997,0.1008,–0.5343,0.2482,Sherwood_etal_2004_I
Papio anubis,0.83899999999999997,1.3629,0.88939999999999997,–1.7422,–0.3021,–0.3579,0.39090000000000003,2.5303,–0.6195,–2.7462,Sherwood_etal_2004_I
Pongo pygmaeus,–0.6807,–0.3290,–0.4157,0.42649999999999999,0.2162,0.60119999999999996,0.46539999999999998,–0.1575,–0.1845,–0.0532,Sherwood_etal_2004_I
Gorilla gorilla,–1.3484,–1.5759,1.3694,1.4595,–0.9477,0.94069999999999998,–1.6839,–0.9743,1.4597,0.73719999999999997,Sherwood_etal_2004_I
Pan troglodytes,0.24759999999999999,–0.4176,0.68410000000000004,0.2545,–1.1899,0.1673,–0.5439,0.48159999999999997,0.37930000000000003,–0.3659,Sherwood_etal_2004_I
Homo sapiens,–0.3034,0.95699999999999996,–0.6330,–0.7127,0.78120000000000001,0.62050000000000005,0.74709999999999999,–0.7661,–0.5433,0.68269999999999997,Sherwood_etal_2004_I
