"code number of species","species name","n","volume in mm3","SEM in %","clade","n_note","vol_note"
"0577","Tenrec ecaudatus",3,314,5.9,"Basal Insectivora",NA,NA
"0579","Setifer setosus",2,209,1.8,"Basal Insectivora",NA,NA
"0581","Hemicentetes semispin.",1,93.6,NA,"Basal Insectivora",NA,NA
"0585","Echinops telfairi",2,71.2,11.5,"Basal Insectivora","*",NA
"0689","Erinaceus algirus",3,285,15.2,"Basal Insectivora",NA,NA
"0695","Erinaceus europaeus",5,332,3.3,"Basal Insectivora","*",NA
"0701","Hemiechinus auritus",3,175,9.2,"Basal Insectivora",NA,NA
"0715","Sorex araneus",5,15.7,9,"Basal Insectivora","*",NA
"0769","Sorex minutus",1,8.65,NA,"Basal Insectivora",NA,NA
"0943","Crocidura flavescens",2,37.6,6.2,"Basal Insectivora",NA,NA
"1071","Crocidura russula",2,16.3,5.4,"Basal Insectivora","*",NA
"1137","Suncus murinus",1,34.2,NA,"Basal Insectivora",NA,NA
"0575","Solenodon paradoxus",2,464,4,"Progressive Insectivora","*","+"
"0589","Oryzoricles talpoides",1,46.9,NA,"Progressive Insectivora",NA,NA
"0595","Microgale cowani",1,35.9,NA,"Progressive Insectivora",NA,NA
"0601","Microgale dobsoni",1,53.6,NA,"Progressive Insectivora",NA,NA
"0629","Microgale talazaci",1,74.3,NA,"Progressive Insectivora",NA,NA
"0633","Limnogale mergulus",1,42.9,NA,"Progressive Insectivora",NA,NA
"0637","Potamogale velox",2,86,4.5,"Progressive Insectivora",NA,NA
"0639","Micropotamogale lamottei",3,34.1,24.2,"Progressive Insectivora",NA,"+"
"0643","Chrysochloris asiatica",1,58.5,NA,"Progressive Insectivora",NA,NA
"0645","Chrysochloris stuhlmanni",2,60.6,8.2,"Progressive Insectivora","*",NA
"0839","Neomys fodiens",2,15.8,18.4,"Progressive Insectivora",NA,NA
"1205","Desmana moschata",1,141,NA,"Progressive Insectivora",NA,NA
"1207","Galemys pyrenaicus",2,39,3.9,"Progressive Insectivora",NA,NA
"1215","Talpa europaea",2,59.6,13,"Progressive Insectivora","*",NA
"1263","Tupaia glis",20,131,8.2,"Scandentia","*",NA
"1269","Tupaia minor",2,94.3,3.9,"Scandentia",NA,NA
"1289","Urogale everetti",1,184,NA,"Scandentia",NA,NA
"3199","Microcebus murinus",6,43,9.2,"Prosimians","*",NA
"3203","Cheirogaleus major",2,158,5.7,"Prosimians",NA,NA
"3205","Cheirogaleus medius",2,102,7.3,"Prosimians",NA,NA
"3215","Lemur albifrons",3,207,8.1,"Prosimians",NA,NA
"3227","Varecia variegata",1,369,NA,"Prosimians",NA,NA
"3239","Lepilemur ruficaudatus",3,113,20.5,"Prosimians",NA,NA
"3243","Avahi laniger laniger",2,89.2,7.4,"Prosimians",NA,NA
"3244","Avahi I. occidentalis",2,70.1,26.7,"Prosimians","*",NA
"3247","Propithecus verreauxi",2,147,16.6,"Prosimians","*",NA
"3249","Indri indri",2,168,23.9,"Prosimians","*",NA
"3251","Daubentonia madagascar.",1,685,NA,"Prosimians",NA,NA
"3253","Loris tardigradus",1,85.8,NA,"Prosimians",NA,NA
"3255","Nycticebus coucang",2,159,0.1,"Prosimians",NA,NA
"3259","Perodicticus potto",2,310,16,"Prosimians",NA,NA
"3265","Galago senegalensis",1,79.2,NA,"Prosimians",NA,NA
"3267","Otolemur crassicaudatus",2,166,9.6,"Prosimians",NA,NA
"3275","Galagoides demidoff",2,83.1,5.2,"Prosimians","*",NA
"3282","Tarsius spp.",2,18.8,12.4,"Prosimians",NA,NA
"3287","Callithrix jacchus",3,22.6,22.6,"Simians",NA,"+"
"3289","Cebuella pygmaea",2,12.3,2,"Simians",NA,NA
"3306","Saguinus midas",2,17.3,6.8,"Simians","*",NA
"3311","Saguinus oedipus",3,19.1,22.7,"Simians","*",NA
"3315","Callimico goeldii",1,27,NA,"Simians",NA,NA
"3324","Cebus spp.",2,39.9,26.8,"Simians","*",NA
"3325","Aotus trivirgatus",3,61,18.1,"Simians",NA,"+"
"3327","Callicebus moloch",2,19.2,8.1,"Simians","*",NA
"3335","Saimiri sciureus",1,26.8,NA,"Simians",NA,NA
"3341","Pithecia monachus",2,34.8,11.2,"Simians",NA,NA
"3366","Alouatta spp.",2,41.4,14.9,"Simians",NA,NA
"3371","Ateles geoffroyi",1,90.4,NA,"Simians",NA,NA
"3379","Lagothrix lagothricha",3,73.4,10.2,"Simians",NA,NA
"3391","Macaca mulatta",1,84.3,NA,"Simians",NA,NA
"3407","Cercocebus albigena",1,121,NA,"Simians",NA,NA
"3415","Papio anubis",2,287,5.5,"Simians","*",NA
"3433","Cercopithecus ascanius",1,99.5,NA,"Simians",NA,NA
"3453","Cercopithecus mitis",1,117,NA,"Simians",NA,NA
"3469","Miopithecus talapoin",2,27.8,25.4,"Simians","*",NA
"3473","Erythrocebus patas",2,51.8,26.1,"Simians",NA,NA
"3477","Colobus badius",2,51.3,1.7,"Simians",NA,NA
"3493","Pygathrix nemaeus",1,10.7,NA,"Simians",NA,NA
"3499","Nasalis larvatus",1,30.3,NA,"Simians",NA,NA
"3539","Hylobates lar",1,43.9,NA,"Simians",NA,NA
"3549","Pan troglodytes",1,257,NA,"Simians",NA,NA
"3551","Gorilla gorilla",1,316,NA,"Simians",NA,NA
"3553","Homo sapiens",1,114,NA,"Simians",NA,NA
"7993","Elephantulus fuscipes",2,63.3,4.3,"Macroscelidea",NA,NA
"8011","Rhynchocyon cirnei",2,426,5.1,"Macroscelidea",NA,NA
