"Species","common_name","family","superordinate_group","vocal_repertoire_types","vocal_repertoire_source","vocal_repertoire_comment","source"
"Ateles chamek","black_faced_spider_monkey","Atelidae","new_world_monkey","14.0","Dubreuil, C., Notman, H., & Pavelka, M. S. (2015). Sex differences in the use of whinny vocalizations in spider monkeys (Ateles geoffroyi). International Journal of Primatology, 36(2), 412-428.","Only noted for Ateles in general not A. chamek in particular","ManyPrimates__2022"
"Callithrix jacchus","common_marmoset","Callitrichidae","new_world_monkey","13.0","Dunn, J. C., & Smaers, J. B. (2018). Neural correlates of vocal repertoire in primates. Frontiers in neuroscience, 12, 534.",NA,"ManyPrimates__2022"
"Cebus capucinus","white_faced_capuchin","Cebidae","new_world_monkey","27.0","Gros-Louis, J. J., Perry, S. E., Fichtel, C., Wikberg, E., Gilkenson, H., Wofsy, S., & Fuentes, A. (2008). Vocal repertoire of Cebus capucinus: acoustic structure, context, and usage. International Journal of Primatology, 29(3), 641-670.","No data available, source refers to C. imitator","ManyPrimates__2022"
"Cercopithecus diana","diana_monkey","Cercopithecidae","old_world_monkey","4.0","Magnuson (unpub) (ATWP)",NA,"ManyPrimates__2022"
"Chlorocebus sabaeus","green_monkey","Cercopithecidae","old_world_monkey","25.0","Galat Gérard. (1975). Eco-ethologie de Cercopithecus sabaeus en limite d'aire au Sénégal : rapport d'élève de 2ème année. Dakar : ORSTOM, 215 p. multigr.",NA,"ManyPrimates__2022"
"Colobus polykomos","king_colobus","Cercopithecidae","old_world_monkey","6.0","Walek, M. L. (1978). Vocalizations of the black and white colobus monkey (Colobus polykomos Zimmerman 1780). American Journal of Physical Anthropology, 49(2), 227-239.",NA,"ManyPrimates__2022"
"Eulemur coronatus","crowned_lemur","Lemuridae","lemur","13.0","Gamba, M., Friard, O., Riondato, I., Righini, R., Colombo, C., Miaretsoa, L., ... & Giacoma, C. (2015). Comparative analysis of the vocal repertoire of Eulemur: a dynamic time warping approach. International Journal of Primatology, 36(5), 894-910.",NA,"ManyPrimates__2022"
"Eulemur flavifrons","blue_eyed_black_lemur","Lemuridae","lemur","10.0","Gamba, M., Friard, O., Riondato, I., Righini, R., Colombo, C., Miaretsoa, L., ... & Giacoma, C. (2015). Comparative analysis of the vocal repertoire of Eulemur: a dynamic time warping approach. International Journal of Primatology, 36(5), 894-910.",NA,"ManyPrimates__2022"
"Eulemur fulvus","brown_lemur","Lemuridae","lemur","11.0","Gamba, M., Friard, O., Riondato, I., Righini, R., Colombo, C., Miaretsoa, L., ... & Giacoma, C. (2015). Comparative analysis of the vocal repertoire of Eulemur: a dynamic time warping approach. International Journal of Primatology, 36(5), 894-910.",NA,"ManyPrimates__2022"
"Eulemur macaco","black_lemur","Lemuridae","lemur","10.0","Gamba, M., Friard, O., Riondato, I., Righini, R., Colombo, C., Miaretsoa, L., ... & Giacoma, C. (2015). Comparative analysis of the vocal repertoire of Eulemur: a dynamic time warping approach. International Journal of Primatology, 36(5), 894-910.",NA,"ManyPrimates__2022"
"Eulemur mongoz","mongoose_lemur","Lemuridae","lemur","9.0","Gamba, M., Friard, O., Riondato, I., Righini, R., Colombo, C., Miaretsoa, L., ... & Giacoma, C. (2015). Comparative analysis of the vocal repertoire of Eulemur: a dynamic time warping approach. International Journal of Primatology, 36(5), 894-910.",NA,"ManyPrimates__2022"
"Gorilla gorilla","western_gorilla","Hominidae","ape","16.0","Dunn, J. C., & Smaers, J. B. (2018). Neural correlates of vocal repertoire in primates. Frontiers in neuroscience, 12, 534.",NA,"ManyPrimates__2022"
"Hylobates lar","white_handed_gibbon","Hylobatidae","ape","14.0","Baldwin, L.A. & Teleki, G. (1976). Patterns of gibbon behavior on Hall’s Island, Bermuda: a preliminary ethogram for Hylobates lar. — In: Gibbon and Siamang. Vol. 4: suspensory behavior, locomotion, and other behaviors of captive gibbons; cognition (Rumbaugh, D.M., ed.). Karger, Basel, p. 21-105.",NA,"ManyPrimates__2022"
"Hylobates moloch","javan_gibbon","Hylobatidae","ape","14.0","Baldwin, L.A. & Teleki, G. (1976). Patterns of gibbon behavior on Hall’s Island, Bermuda: a preliminary ethogram for Hylobates lar. — In: Gibbon and Siamang. Vol. 4: suspensory behavior, locomotion, and other behaviors of captive gibbons; cognition (Rumbaugh, D.M., ed.). Karger, Basel, p. 21-105.","No data available, source refers to H. lar.","ManyPrimates__2022"
"Hylobates muelleri","muellers_gibbon","Hylobatidae","ape","14.0","Baldwin, L.A. & Teleki, G. (1976). Patterns of gibbon behavior on Hall’s Island, Bermuda: a preliminary ethogram for Hylobates lar. — In: Gibbon and Siamang. Vol. 4: suspensory behavior, locomotion, and other behaviors of captive gibbons; cognition (Rumbaugh, D.M., ed.). Karger, Basel, p. 21-105.","No data available, source refers to H. lar.","ManyPrimates__2022"
"Lagothrix lagotricha","brown_woolly_monkey","Atelidae","new_world_monkey","6.0","Dunn, J. C., & Smaers, J. B. (2018). Neural correlates of vocal repertoire in primates. Frontiers in neuroscience, 12, 534.",NA,"ManyPrimates__2022"
"Lemur catta","ring_tailed_lemur","Lemuridae","lemur","22.0","Macedonia, J. M. (1993). The vocal repertoire of the ringtailed lemur (Lemur catta). Folia primatologica, 61(4), 186-217.",NA,"ManyPrimates__2022"
"Leontopithecus rosalia","golden_lion_tamarin","Callitrichidae","new_world_monkey","16.0","McLanahan, E. B. & K. M. Green, 1977. The vocal repertoire and an analysis of the context vocalization in Leontopithecus rosalia. In: Biology and Conservation of the Callitrichidae, Devra G. Kleiman (ed.), Smithsonian Inst. Press, Washington, D.C., pp. 251–270.",NA,"ManyPrimates__2022"
"Macaca fascicularis","long_tailed_macaque","Cercopithecidae","old_world_monkey","17.0","Palombit, R. A. (1992). A preliminary study of vocal communication in wild long-tailed macaques (Macaca fascicularis). I. Vocal repertoire and call emission. International Journal of Primatology, 13(2), 143.",NA,"ManyPrimates__2022"
"Macaca mulatta","rhesus_macaque","Cercopithecidae","old_world_monkey","18.0","Hauser, M. D., & Marler, P. (1993). Food-associated calls in rhesus macaques (Macaca mulatta): I. Socioecological factors. Behavioral Ecology, 4(3), 194-205.",NA,"ManyPrimates__2022"
"Macaca silenus","lion_tailed_macaque","Cercopithecidae","old_world_monkey","15.0","Hohmann, G. (1991). Comparative analyses of age-and sex-specific patterns of vocal behaviour in four species of old world monkeys. Folia Primatologica, 56(3), 133-156.",NA,"ManyPrimates__2022"
"Macaca sylvanus","barbary_macaque","Cercopithecidae","old_world_monkey","14.0","Fischer, J., & Hammerschmidt, K. (2002). An overview of the Barbary macaque, Macaca sylvanus, vocal repertoire. Folia Primatologica, 73(1), 32-45.",NA,"ManyPrimates__2022"
"Macaca tonkeana","tonkean_macaque","Cercopithecidae","old_world_monkey","20.0","Masataka, N., & Thierry, B. (1993). Vocal communication of Tonkean macaques in confined environments. Primates, 34(2), 169-180.",NA,"ManyPrimates__2022"
"Nomascus leucogenys","northern_white_cheeked_gibbon","Hylobatidae","ape","19.0","Eichler, S. (2002). Das Lautrepertoire der Schopfgibbons (Gattung Nomascus). Diploma thesis, Anthropological Institute Zurich, Zurich.","Refers to the complete adult repertoire of the light-cheeked gibbon species group (incl. N. gabriellae)","ManyPrimates__2022"
"Pan paniscus","bonobo","Hominidae","ape","38.0","Dunn, J. C., & Smaers, J. B. (2018). Neural correlates of vocal repertoire in primates. Frontiers in neuroscience, 12, 534.",NA,"ManyPrimates__2022"
"Pan troglodytes","chimpanzee","Hominidae","ape","29.0","Dunn, J. C., & Smaers, J. B. (2018). Neural correlates of vocal repertoire in primates. Frontiers in neuroscience, 12, 534.",NA,"ManyPrimates__2022"
"Papio anubis","olive_baboon","Cercopithecidae","old_world_monkey","6.0","Dunn, J. C., & Smaers, J. B. (2018). Neural correlates of vocal repertoire in primates. Frontiers in neuroscience, 12, 534.",NA,"ManyPrimates__2022"
"Pongo abelii","sumatran_orangutan","Hominidae","ape","17.0","Hardus ME, Lameira AR, Singleton I, Morrogh-Bernard HC, Knott CD, et al. (2009) A description of the orangutan’s vocal and sound repertoire, with a focus on geographic variation. Orangutans: Geographic variation in behavioral ecology and conservation. New York: Oxford Univ Press. pp. 49–64.",NA,"ManyPrimates__2022"
"Pongo pygmaeus","bornean_orangutan","Hominidae","ape","23.0","Hardus ME, Lameira AR, Singleton I, Morrogh-Bernard HC, Knott CD, et al. (2009) A description of the orangutan’s vocal and sound repertoire, with a focus on geographic variation. Orangutans: Geographic variation in behavioral ecology and conservation. New York: Oxford Univ Press. pp. 49–64.",NA,"ManyPrimates__2022"
"Propithecus coquereli","coquerels_sifaka","Lemuridae","lemur","6.0","Patel, E.R., Anderson, J.D., Owren, M.J.. 2005. Conference Proceeding. Sex differences in the acoustic structure in a monomorphic primate: Wild silky sifakas (Propithecus candidus) of Northeastern Madagascar. American Journal of Primatology, 66(Suppl 1), 46-47","No data available, source refers to P. candidus.","ManyPrimates__2022"
"Saguinus imperator","emperor_tamarin","Callitrichidae","new_world_monkey","33.0","Dunn, J. C., & Smaers, J. B. (2018). Neural correlates of vocal repertoire in primates. Frontiers in neuroscience, 12, 534.","No data available, source refers to S. oedipus","ManyPrimates__2022"
"Saguinus midas","golden_handed_tamarin","Callitrichidae","new_world_monkey","33.0","Dunn, J. C., & Smaers, J. B. (2018). Neural correlates of vocal repertoire in primates. Frontiers in neuroscience, 12, 534.","No data available, source refers to S. oedipus","ManyPrimates__2022"
"Saimiri sciureus","common_squirrel_monkey","Cebidae","new_world_monkey","21.0","Dunn, J. C., & Smaers, J. B. (2018). Neural correlates of vocal repertoire in primates. Frontiers in neuroscience, 12, 534.",NA,"ManyPrimates__2022"
"Sapajus apella","brown_capuchin_monkey","Cebidae","new_world_monkey","31.0","Di Bitetti, M. S. (2001). Food-associated calls in the tufted capuchin monkey (Cebus apella). State University of New York at Stony Brook.","No data available, source refers to S. nigritus.","ManyPrimates__2022"
"Symphalangus syndactylus","siamang","Hylobatidae","ape","9.0","Chivers, D. J. (1976). Communication within and between family groups of siamang (Symphalangus syndactylus). Behaviour, 57(1-2), 116-135.",NA,"ManyPrimates__2022"
"Trachypithecus auratus","east_javan_langur","Cercopithecidae","old_world_monkey","5.0","Vincent Nijman, pers. com.",NA,"ManyPrimates__2022"
"Trachypithecus francoisi","francois_langur","Cercopithecidae","old_world_monkey","15.0","Tilo Nadler (unpub) (ATWP)",NA,"ManyPrimates__2022"
"Varecia rubra","red_ruffed_lemur","Lemuridae","lemur","13.0","Zimmermann, E. (2017). Evolutionary origins of primate vocal communication: Diversity, flexibility, and complexity of vocalizations in basal primates. In Primate hearing and communication (pp. 109-140). Springer, Cham.","No data available, source refers to V. variegata","ManyPrimates__2022"
"Varecia variegata","black_and_white_ruffed_lemur","Lemuridae","lemur","13.0","Zimmermann, E. (2017). Evolutionary origins of primate vocal communication: Diversity, flexibility, and complexity of vocalizations in basal primates. In Primate hearing and communication (pp. 109-140). Springer, Cham.",NA,"ManyPrimates__2022"
"Cercopithecus hamlyni","hamlyns_monkey","Cercopithecidae","old_world_monkey",NA,NA,NA,"ManyPrimates__2022"
"Allenopithecus nigroviridis","allens_swamp_monkey","Cercopithecidae","old_world_monkey",NA,NA,NA,"ManyPrimates__2022"
