status,code_join,code_snapshot,code_csv,species_snapshot,species_csv_baron1983,species_csv_updated,n_snapshot,n_snapshot_num,n_csv,n_csv_num,volume_snapshot,volume_snapshot_num,volume_csv,volume_csv_num,code_match,n_match,volume_match,original_name_match
matched_by_code,3243,3243,3243,Avahi laniger laniger,Avahi laniger laniger,Avahi laniger,2,2,2,2,89.2,89.2,89.2,89.2,TRUE,TRUE,TRUE,TRUE
matched_by_code,3244,3244,3244,Avahi l. occidentalis,Avahi I. occidentalis,Avahi occidentalis,2*,2,2*,2,70.1,70.1,70.1,70.1,TRUE,TRUE,TRUE,FALSE
matched_by_code,3247,3247,3247,Propithecus verreauxi,Propithecus verreauxi,Propithecus verreauxi,2*,2,2*,2,147,147,147,147,TRUE,TRUE,TRUE,TRUE
matched_by_code,3249,3249,3249,Indri indri,Indri indri,Indri indri,2*,2,2*,2,168,168,168,168,TRUE,TRUE,TRUE,TRUE
matched_by_code,3251,3251,3251,Daubentonia madagascar.,Daubentonia madagascar.,Daubentonia madagascariensis,1,1,1,1,685,685,685,685,TRUE,TRUE,TRUE,TRUE
matched_by_code,3253,3253,3253,Loris tardigradus,Loris tardigradus,Loris tardigradus,1,1,1,1,85.8,85.8,85.8,85.8,TRUE,TRUE,TRUE,TRUE
matched_by_code,3255,3255,3255,Nycticebus coucang,Nycticebus coucang,Nycticebus coucang,2,2,2,2,159,159,159,159,TRUE,TRUE,TRUE,TRUE
matched_by_code,3259,3259,3259,Perodicticus potto,Perodicticus potto,Perodicticus potto,2,2,2,2,310,310,310,310,TRUE,TRUE,TRUE,TRUE
matched_by_code,3265,3265,3265,Galago senegalensis,Galago senegalensis,Galago senegalensis,1,1,1,1,79.2,79.2,79.2,79.2,TRUE,TRUE,TRUE,TRUE
matched_by_code,3267,3267,3267,Otolemur crassicaudatus8,Otolemur crassicaudatus,Otolemur crassicaudatus,2,2,2,2,166,166,166,166,TRUE,TRUE,TRUE,TRUE
matched_by_code,3275,3275,3275,Galagoides demidoff9,Galagoides demidoff,Galagoides demidoff,2*,2,2*,2,83.1,83.1,83.1,83.1,TRUE,TRUE,TRUE,TRUE
matched_by_code,3282,3282,3282,Tarsius spp.,Tarsius spp.,Tarsius sp.,2,2,2,2,18.8,18.8,18.8,18.8,TRUE,TRUE,TRUE,TRUE
matched_by_code,3287,3287,3287,Callithrix jacchus,Callithrix jacchus,Callithrix jacchus,3,3,3,3,22.6+,22.6,22.6,22.6,TRUE,TRUE,TRUE,TRUE
matched_by_code,3289,3289,3289,Cebuella pygmaea,Cebuella pygmaea,Callithrix pygmaea,2,2,2,2,12.3,12.3,12.3,12.3,TRUE,TRUE,TRUE,TRUE
matched_by_code,3306,3306,3306,Saguinus midas10,Saguinus midas,Saguinus midas,2*,2,2*,2,17.3,17.3,17.3,17.3,TRUE,TRUE,TRUE,TRUE
matched_by_code,3311,3311,3311,Saguinus oedipus,Saguinus oedipus,Saguinus oedipus,3*,3,3*,3,19.1,19.1,19.1,19.1,TRUE,TRUE,TRUE,TRUE
matched_by_code,3315,3315,3315,Callimico goeldii,Callimico goeldii,Callimico goeldii,1,1,1,1,27.0,27,27,27,TRUE,TRUE,TRUE,TRUE
matched_by_code,3324,3324,3324,Cebus spp.,Cebus spp.,Cebus albifrons,2*,2,2*,2,39.9,39.9,39.9,39.9,TRUE,TRUE,TRUE,TRUE
matched_by_code,3325,3325,3325,Aotus trivirgatus,Aotus trivirgatus,Aotus trivirgatus,3,3,3,3,61.0+,61,61,61,TRUE,TRUE,TRUE,TRUE
matched_by_code,3327,3327,3327,Callicebus moloch,Callicebus moloch,Callicebus moloch,2*,2,2*,2,19.2,19.2,19.2,19.2,TRUE,TRUE,TRUE,TRUE
matched_by_code,3335,3335,3335,Saimiri sciureus,Saimiri sciureus,Saimiri sciureus,1,1,1,1,26.8,26.8,26.8,26.8,TRUE,TRUE,TRUE,TRUE
matched_by_code,3341,3341,3341,Pithecia monachus,Pithecia monachus,Pithecia monachus,2,2,2,2,34.8,34.8,34.8,34.8,TRUE,TRUE,TRUE,TRUE
