"Species","Variable","Source","Value"
"Balaenoptera acutorostrata","WholeBrain_O.p.N","AvelinodeSouza_etal_2025_TABLE1","3"
"Balaenoptera acutorostrata","CerebralCortex_O.p.N","AvelinodeSouza_etal_2025_TABLE1","42.2"
"Balaenoptera acutorostrata","CerebralCortexGrey_O.p.N","AvelinodeSouza_etal_2025_TABLE1","17.6"
"Balaenoptera acutorostrata","CerebralCortexWhite_O.p.N","AvelinodeSouza_etal_2025_TABLE1","186.1"
"Balaenoptera acutorostrata","Cerebellum_O.p.N","AvelinodeSouza_etal_2025_TABLE1","0.4"
"Balaenoptera acutorostrata","RoB_O.p.N","AvelinodeSouza_etal_2025_TABLE1","196.4"
"Balaenoptera acutorostrata","Amygdala_O.p.N","AvelinodeSouza_etal_2025_TABLE1","141.9"
"Balaenoptera acutorostrata","Hippocampus_O.p.N","AvelinodeSouza_etal_2025_TABLE1","47.1"
"Balaenoptera acutorostrata","DiencephalonStriatum_O.p.N","AvelinodeSouza_etal_2025_TABLE1","156.9"
"Balaenoptera acutorostrata","Mesencephalon_O.p.N","AvelinodeSouza_etal_2025_TABLE1","426.6"
"Balaenoptera acutorostrata","Pons_O.p.N","AvelinodeSouza_etal_2025_TABLE1","330.9"
"Balaenoptera acutorostrata","Medulla_O.p.N","AvelinodeSouza_etal_2025_TABLE1","320.7"
"Balaenoptera acutorostrata","CerebralCortex_C.n","AvelinodeSouza_etal_2025_TABLE1","136638699000"
"Balaenoptera acutorostrata","Cerebellum_C.n","AvelinodeSouza_etal_2025_TABLE1","76529362501"
"Balaenoptera acutorostrata","RoB_C.n","AvelinodeSouza_etal_2025_TABLE1","17405362500"
"Balaenoptera acutorostrata","Species_Source","AvelinodeSouza_etal_2025_TABLE1","Balaenoptera acutorostrata"
"Microcebus murinus","SpinalCord_n","Burish_etal_2010_Table1","1"
"Microcebus murinus","SpinalCord_Mass.g","Burish_etal_2010_Table1","0.235"
"Microcebus murinus","SpinalCord_Length.mm","Burish_etal_2010_Table1",NA
"Microcebus murinus","SpinalCord_p.C.N","Burish_etal_2010_Table1","7.33"
"Microcebus murinus","SpinalCord_N.n","Burish_etal_2010_Table1","1.68"
"Microcebus murinus","SpinalCord_O.n","Burish_etal_2010_Table1","21.27"
"Microcebus murinus","SpinalCord_N.p.mg","Burish_etal_2010_Table1","7150"
"Microcebus murinus","SpinalCord_O.p.mg","Burish_etal_2010_Table1","90398"
"Microcebus murinus","Body_Mass.g","Burish_etal_2010_Table1","60"
"Microcebus murinus","SpinalCord_p.C.Body.mass","Burish_etal_2010_Table1","0.39"
"Microcebus murinus","Brain_Mass.g","Burish_etal_2010_Table1","1.799"
"Microcebus murinus","SpinalCord_p.C.CNS.mass","Burish_etal_2010_Table1","11.55"
"Microcebus murinus","Brain_N.n","Burish_etal_2010_Table1","254.71"
"Microcebus murinus","SpinalCord_p.C.CNS.neurons","Burish_etal_2010_Table1","0.66"
"Microcebus murinus","SpinalCord_Mass.g_SD","Burish_etal_2010_Table1",NA
"Microcebus murinus","SpinalCord_Length.mm_SD","Burish_etal_2010_Table1",NA
"Microcebus murinus","SpinalCord_p.C.N_SD","Burish_etal_2010_Table1",NA
"Microcebus murinus","SpinalCord_N.n_SD","Burish_etal_2010_Table1",NA
"Microcebus murinus","SpinalCord_O.n_SD","Burish_etal_2010_Table1",NA
"Microcebus murinus","SpinalCord_N.p.mg_SD","Burish_etal_2010_Table1",NA
"Microcebus murinus","SpinalCord_O.p.mg_SD","Burish_etal_2010_Table1",NA
"Microcebus murinus","Body_Mass.g_SD","Burish_etal_2010_Table1",NA
"Microcebus murinus","Species_Source","Burish_etal_2010_Table1","Microcebus murinus"
"Tupaia glis","SpinalCord_n","Burish_etal_2010_Table1","14"
"Tupaia glis","SpinalCord_Mass.g","Burish_etal_2010_Table1","0.607"
"Tupaia glis","SpinalCord_Length.mm","Burish_etal_2010_Table1","102.92"
"Tupaia glis","SpinalCord_p.C.N","Burish_etal_2010_Table1","6.02"
"Tupaia glis","SpinalCord_N.n","Burish_etal_2010_Table1","2.69"
"Tupaia glis","SpinalCord_O.n","Burish_etal_2010_Table1","41.96"
"Tupaia glis","SpinalCord_N.p.mg","Burish_etal_2010_Table1","4529"
"Tupaia glis","SpinalCord_O.p.mg","Burish_etal_2010_Table1","69891"
"Tupaia glis","Body_Mass.g","Burish_etal_2010_Table1","173.9"
"Tupaia glis","SpinalCord_p.C.Body.mass","Burish_etal_2010_Table1","0.35"
"Tupaia glis","Brain_Mass.g","Burish_etal_2010_Table1","2.752"
"Tupaia glis","SpinalCord_p.C.CNS.mass","Burish_etal_2010_Table1","18.07"
"Tupaia glis","Brain_N.n","Burish_etal_2010_Table1","261.4"
"Tupaia glis","SpinalCord_p.C.CNS.neurons","Burish_etal_2010_Table1","1.02"
"Tupaia glis","SpinalCord_Mass.g_SD","Burish_etal_2010_Table1","0.082"
"Tupaia glis","SpinalCord_Length.mm_SD","Burish_etal_2010_Table1","3.7"
"Tupaia glis","SpinalCord_p.C.N_SD","Burish_etal_2010_Table1","1.49"
"Tupaia glis","SpinalCord_N.n_SD","Burish_etal_2010_Table1","0.71"
"Tupaia glis","SpinalCord_O.n_SD","Burish_etal_2010_Table1","4.17"
"Tupaia glis","SpinalCord_N.p.mg_SD","Burish_etal_2010_Table1","1597"
"Tupaia glis","SpinalCord_O.p.mg_SD","Burish_etal_2010_Table1","8247"
"Tupaia glis","Body_Mass.g_SD","Burish_etal_2010_Table1","26"
"Tupaia glis","Species_Source","Burish_etal_2010_Table1","Tupaia glis"
"Callithrix jacchus","SpinalCord_n","Burish_etal_2010_Table1","1"
"Callithrix jacchus","SpinalCord_Mass.g","Burish_etal_2010_Table1","0.621"
"Callithrix jacchus","SpinalCord_Length.mm","Burish_etal_2010_Table1",NA
"Callithrix jacchus","SpinalCord_p.C.N","Burish_etal_2010_Table1","7.57"
"Callithrix jacchus","SpinalCord_N.n","Burish_etal_2010_Table1","3.65"
"Callithrix jacchus","SpinalCord_O.n","Burish_etal_2010_Table1","44.55"
"Callithrix jacchus","SpinalCord_N.p.mg","Burish_etal_2010_Table1","5875"
"Callithrix jacchus","SpinalCord_O.p.mg","Burish_etal_2010_Table1","71734"
"Callithrix jacchus","Body_Mass.g","Burish_etal_2010_Table1","340"
"Callithrix jacchus","SpinalCord_p.C.Body.mass","Burish_etal_2010_Table1","0.18"
"Callithrix jacchus","Brain_Mass.g","Burish_etal_2010_Table1","7.78"
"Callithrix jacchus","SpinalCord_p.C.CNS.mass","Burish_etal_2010_Table1","7.39"
"Callithrix jacchus","Brain_N.n","Burish_etal_2010_Table1","635.8"
"Callithrix jacchus","SpinalCord_p.C.CNS.neurons","Burish_etal_2010_Table1","0.57"
"Callithrix jacchus","SpinalCord_Mass.g_SD","Burish_etal_2010_Table1",NA
"Callithrix jacchus","SpinalCord_Length.mm_SD","Burish_etal_2010_Table1",NA
"Callithrix jacchus","SpinalCord_p.C.N_SD","Burish_etal_2010_Table1",NA
"Callithrix jacchus","SpinalCord_N.n_SD","Burish_etal_2010_Table1",NA
"Callithrix jacchus","SpinalCord_O.n_SD","Burish_etal_2010_Table1",NA
"Callithrix jacchus","SpinalCord_N.p.mg_SD","Burish_etal_2010_Table1",NA
"Callithrix jacchus","SpinalCord_O.p.mg_SD","Burish_etal_2010_Table1",NA
"Callithrix jacchus","Body_Mass.g_SD","Burish_etal_2010_Table1",NA
"Callithrix jacchus","Species_Source","Burish_etal_2010_Table1","Callithrix jacchus"
"Saimiri sciureus","SpinalCord_n","Burish_etal_2010_Table1","4"
"Saimiri sciureus","SpinalCord_Mass.g","Burish_etal_2010_Table1","1.602"
"Saimiri sciureus","SpinalCord_Length.mm","Burish_etal_2010_Table1","169.48"
