Species,Variable,Value,Source
Antidorcas marsupialis,DiencephalonStriatum_N.p.mg,3290,Kazu_etal_2015_TABLE1
Antidorcas marsupialis,DiencephalonStriatum_O.p.N,19.408,Kazu_etal_2015_TABLE1
Antidorcas marsupialis,Hippocampus_I.p.C,0.057,DosSantos_etal_2020_unpublished
Antidorcas marsupialis,Hippocampus_Mass.g,3.434,Kazu_etal_2015_TABLE1
Antidorcas marsupialis,Hippocampus_N.n,20480000,Kazu_etal_2015_TABLE1
Antidorcas marsupialis,Hippocampus_N.p.mg,5965,Kazu_etal_2015_TABLE1
Antidorcas marsupialis,Hippocampus_O.p.N,10.111,Kazu_etal_2015_TABLE1
Antidorcas marsupialis,Mesencephalon_Mass.g,5.304,Kazu_etal_2015_TABLE1
Antidorcas marsupialis,Mesencephalon_N.n,7520000,Kazu_etal_2015_TABLE1
Antidorcas marsupialis,Mesencephalon_N.p.mg,1418,Kazu_etal_2015_TABLE1
Antidorcas marsupialis,Mesencephalon_O.p.N,30.25,Kazu_etal_2015_TABLE1
Antidorcas marsupialis,OlfactoryBulb_C.n,121200000,HerculanoHouzel_etal_2015_Table4
Antidorcas marsupialis,OlfactoryBulb_Mass.g,1.2,HerculanoHouzel_etal_2015_Table4
Antidorcas marsupialis,OlfactoryBulb_N.n,15998400,HerculanoHouzel_etal_2015_Table4
Antidorcas marsupialis,OlfactoryBulb_N.p.mg,13332,HerculanoHouzel_etal_2015_Table4
Antidorcas marsupialis,OlfactoryBulb_O.n,105201600,HerculanoHouzel_etal_2015_Table4
Antidorcas marsupialis,OlfactoryBulb_O.p.N,6.576,HerculanoHouzel_etal_2015_Table4
Antidorcas marsupialis,OlfactoryBulb_O.p.mg,87668,HerculanoHouzel_etal_2015_Table4
Antidorcas marsupialis,OlfactoryBulb_p.C.N,13.2,HerculanoHouzel_etal_2015_Table4
Antidorcas marsupialis,PonsMedulla_Mass.g,8.312,Kazu_etal_2015_TABLE1
Antidorcas marsupialis,PonsMedulla_N.n,22840000,Kazu_etal_2015_TABLE1
Antidorcas marsupialis,PonsMedulla_N.p.mg,2748,Kazu_etal_2015_TABLE1
Antidorcas marsupialis,PonsMedulla_O.p.N,13.706,Kazu_etal_2015_TABLE1
Antidorcas marsupialis,RoB_C.n,1389765624,HerculanoHouzel_etal_2015_Table3
Antidorcas marsupialis,RoB_I.n,84309976,DosSantos_etal_2020_unpublished_HerculanoHouzel_etal_2015_Table3
Antidorcas marsupialis,RoB_I.p.C,0.0606648880530952,DosSantos_etal_2020_unpublished
Antidorcas marsupialis,RoB_I.p.mg,3266.56241766757,DosSantos_etal_2020_unpublished_HerculanoHouzel_etal_2015_Table3_HerculanoHouzel_etal_2015_Table3
Antidorcas marsupialis,RoB_Mass.g,25.81,HerculanoHouzel_etal_2015_Table3
Antidorcas marsupialis,RoB_N.n,70485000,HerculanoHouzel_etal_2015_Table3
Antidorcas marsupialis,RoB_N.p.mg,2731,HerculanoHouzel_etal_2015_Table3
Antidorcas marsupialis,RoB_O.n,1319280624,HerculanoHouzel_etal_2015_Table3
Antidorcas marsupialis,RoB_O.p.N,18.71,HerculanoHouzel_etal_2015_Table3
Antidorcas marsupialis,RoB_O.p.mg,51115,HerculanoHouzel_etal_2015_Table3
Antidorcas marsupialis,RoB_p.C.N,5.07171848136028,HerculanoHouzel_etal_2015_Table3
Antidorcas marsupialis,Species_Kazu2015,NA,Kazu_etal_2015_TABLE1
Antidorcas marsupialis,WholeBrain_C.n,8637379808,HerculanoHouzel_etal_2015_Table5
Antidorcas marsupialis,WholeBrain_I.n,407587369.037256,DosSantos_etal_2020_unpublished_HerculanoHouzel_etal_2015_Table5
Antidorcas marsupialis,WholeBrain_I.p.C,0.0471887746165505,DosSantos_etal_2020_unpublished
Antidorcas marsupialis,WholeBrain_I.p.mg,3842.4813718466,DosSantos_etal_2020_unpublished_HerculanoHouzel_etal_2015_Table5_HerculanoHouzel_etal_2015_Table5
Antidorcas marsupialis,WholeBrain_Mass.g,106.074,HerculanoHouzel_etal_2015_Table5
Antidorcas marsupialis,WholeBrain_N.n,2724595233,HerculanoHouzel_etal_2015_Table5
Antidorcas marsupialis,WholeBrain_N.p.mg,25685.7970190622,HerculanoHouzel_etal_2015_Table5
Antidorcas marsupialis,WholeBrain_O.n,5912784575,HerculanoHouzel_etal_2015_Table5
Antidorcas marsupialis,WholeBrain_O.p.N,2.17015155256274,HerculanoHouzel_etal_2015_Table5
Antidorcas marsupialis,WholeBrain_O.p.mg,55742.0722797292,HerculanoHouzel_etal_2015_Table5
Antidorcas marsupialis,WholeBrain_p.C.N,31.5,HerculanoHouzel_etal_2015_Table5
Antidorcas marsupialis,body_mass_approximate,NA,Kazu_etal_2015_TABLE1
Antidorcas marsupialis,source_printing,NA,Kazu_etal_2015_TABLE1
Aotus trivirgatus,Body_Mass.g,925,HerculanoHouzel_etal_2015_Table5
Aotus trivirgatus,Cerebellum_C.n,1185270000,HerculanoHouzel_etal_2015_Table2
Aotus trivirgatus,Cerebellum_Mass.g,1.732,HerculanoHouzel_etal_2015_Table2
Aotus trivirgatus,Cerebellum_N.n,1040000000,HerculanoHouzel_etal_2015_Table2
Aotus trivirgatus,Cerebellum_N.p.mg,605080,HerculanoHouzel_etal_2015_Table2
Aotus trivirgatus,Cerebellum_O.n,145270000,HerculanoHouzel_etal_2015_Table2
Aotus trivirgatus,Cerebellum_O.p.N,0.14,HerculanoHouzel_etal_2015_Table2
Aotus trivirgatus,Cerebellum_O.p.mg,82890,HerculanoHouzel_etal_2015_Table2
Aotus trivirgatus,Cerebellum_p.C.N,87.7437208399774,HerculanoHouzel_etal_2015_Table2
Aotus trivirgatus,CerebralCortex_C.n,1137320000,HerculanoHouzel_etal_2015_Table1
Aotus trivirgatus,CerebralCortex_I.n,20926688,DosSantos_etal_2020_unpublished_HerculanoHouzel_etal_2015_Table1
Aotus trivirgatus,CerebralCortex_I.p.C,0.0184,DosSantos_etal_2020_unpublished
Aotus trivirgatus,CerebralCortex_I.p.mg,1971.05472355656,DosSantos_etal_2020_unpublished_HerculanoHouzel_etal_2015_Table1_HerculanoHouzel_etal_2015_Table1
Aotus trivirgatus,CerebralCortex_Mass.g,10.617,HerculanoHouzel_etal_2015_Table1
Aotus trivirgatus,CerebralCortex_N.n,441900000,HerculanoHouzel_etal_2015_Table1
Aotus trivirgatus,CerebralCortex_N.p.mg,41990,HerculanoHouzel_etal_2015_Table1
Aotus trivirgatus,CerebralCortex_O.n,695420000,HerculanoHouzel_etal_2015_Table1
Aotus trivirgatus,CerebralCortex_O.p.N,1.574,HerculanoHouzel_etal_2015_Table1
Aotus trivirgatus,CerebralCortex_O.p.mg,65330,HerculanoHouzel_etal_2015_Table1
Aotus trivirgatus,CerebralCortex_p.C.N,38.8545000527556,HerculanoHouzel_etal_2015_Table1
Aotus trivirgatus,OlfactoryBulb_C.n,16286000,HerculanoHouzel_etal_2015_Table4
Aotus trivirgatus,OlfactoryBulb_Mass.g,0.05,HerculanoHouzel_etal_2015_Table4
Aotus trivirgatus,OlfactoryBulb_N.n,7925468,HerculanoHouzel_etal_2015_Table4
Aotus trivirgatus,OlfactoryBulb_N.p.mg,155879,HerculanoHouzel_etal_2015_Table4
Aotus trivirgatus,OlfactoryBulb_O.n,8360532,HerculanoHouzel_etal_2015_Table4
Aotus trivirgatus,OlfactoryBulb_O.p.N,1.055,HerculanoHouzel_etal_2015_Table4
Aotus trivirgatus,OlfactoryBulb_O.p.mg,162922,HerculanoHouzel_etal_2015_Table4
Aotus trivirgatus,OlfactoryBulb_p.C.N,48.6643006263048,HerculanoHouzel_etal_2015_Table4
Aotus trivirgatus,RoB_C.n,362800000,HerculanoHouzel_etal_2015_Table3
Aotus trivirgatus,RoB_Mass.g,3.104,HerculanoHouzel_etal_2015_Table3
Aotus trivirgatus,RoB_N.n,49340000,HerculanoHouzel_etal_2015_Table3
Aotus trivirgatus,RoB_N.p.mg,15900,HerculanoHouzel_etal_2015_Table3
Aotus trivirgatus,RoB_O.n,313460000,HerculanoHouzel_etal_2015_Table3
Aotus trivirgatus,RoB_O.p.N,6.353,HerculanoHouzel_etal_2015_Table3
Aotus trivirgatus,RoB_O.p.mg,100990,HerculanoHouzel_etal_2015_Table3
Aotus trivirgatus,RoB_p.C.N,13.5997794928335,HerculanoHouzel_etal_2015_Table3
Aotus trivirgatus,SpinalCord_C.n,96820000,Burish_etal_2010_Table1
Aotus trivirgatus,SpinalCord_Length.mm,169.88,Burish_etal_2010_Table1
Aotus trivirgatus,SpinalCord_Mass.g,2.131,Burish_etal_2010_Table1
Aotus trivirgatus,SpinalCord_N.n,5820000,Burish_etal_2010_Table1
Aotus trivirgatus,SpinalCord_N.p.mg,2911,Burish_etal_2010_Table1
Aotus trivirgatus,SpinalCord_O.n,91000000,Burish_etal_2010_Table1
Aotus trivirgatus,SpinalCord_O.p.N,15.6357388316151,Burish_etal_2010_Table1
Aotus trivirgatus,SpinalCord_O.p.mg,44202,Burish_etal_2010_Table1
Aotus trivirgatus,SpinalCord_p.C.Body.mass,0.18,Burish_etal_2010_Table1
Aotus trivirgatus,SpinalCord_p.C.CNS.mass,11.93,Burish_etal_2010_Table1
Aotus trivirgatus,SpinalCord_p.C.CNS.neurons,0.39,Burish_etal_2010_Table1
Aotus trivirgatus,SpinalCord_p.C.N,6.11,Burish_etal_2010_Table1
Aotus trivirgatus,WholeBrain_C.n,2663540000,HerculanoHouzel_etal_2015_Table5
Aotus trivirgatus,WholeBrain_Mass.g,15.73,HerculanoHouzel_etal_2015_Table5
Aotus trivirgatus,WholeBrain_N.n,1468410000,HerculanoHouzel_etal_2015_Table5
Aotus trivirgatus,WholeBrain_N.p.mg,93350.9218054673,HerculanoHouzel_etal_2015_Table5
Aotus trivirgatus,WholeBrain_O.n,1195130000,HerculanoHouzel_etal_2015_Table5
Aotus trivirgatus,WholeBrain_O.p.N,0.813893939703489,HerculanoHouzel_etal_2015_Table5
Aotus trivirgatus,WholeBrain_O.p.mg,75977.7495232041,HerculanoHouzel_etal_2015_Table5
Aotus trivirgatus,WholeBrain_p.C.N,55.1,HerculanoHouzel_etal_2015_Table5
Balaenoptera acutorostrata,Amygdala_C.n,591000000,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Amygdala_Mass.g,7.5,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Amygdala_N.n,4137000,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Amygdala_N.p.mg,551,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Amygdala_O.n,586863000,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Amygdala_O.p.N,141.9,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Amygdala_O.p.mg,78144,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Amygdala_p.C.N,0.7,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Cerebellum_C.n,76529362501,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Cerebellum_Mass.g,415.9,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Cerebellum_N.n,54216171588,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Cerebellum_N.p.mg,130353,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Cerebellum_O.n,22313190913,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Cerebellum_O.p.N,0.4,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Cerebellum_O.p.mg,53648,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,Cerebellum_p.C.N,70.8436210837266,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortexGrey_C.n,50161586500,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortexGrey_Mass.g,1136.5,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortexGrey_N.n,2690224290,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortexGrey_N.p.mg,2367,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortexGrey_O.n,47471362210,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortexGrey_O.p.N,17.6,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortexGrey_O.p.mg,41768,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortexGrey_p.C.N,5.36311643572119,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortexWhite_C.n,85838362500,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortexWhite_Mass.g,900.5,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortexWhite_N.n,458756249,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortexWhite_N.p.mg,509,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortexWhite_O.n,85379606251,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortexWhite_O.p.N,186.1,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortexWhite_O.p.mg,94816,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortexWhite_p.C.N,0.534441985656471,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortex_C.n,136638699000,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortex_Mass.g,2052.2,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortex_N.n,3166399674,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortex_N.p.mg,1543,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortex_O.n,133472299326,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortex_O.p.N,42.2,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortex_O.p.mg,65038,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,CerebralCortex_p.C.N,2.31735203655591,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,DiencephalonStriatum_C.n,11156350002,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,DiencephalonStriatum_Mass.g,123.3,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,DiencephalonStriatum_N.n,70703706,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,DiencephalonStriatum_N.p.mg,573,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,DiencephalonStriatum_O.n,11085646296,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,DiencephalonStriatum_O.p.N,156.9,AvelinodeSouza_etal_2025_TABLE1
Balaenoptera acutorostrata,DiencephalonStriatum_O.p.mg,89908,AvelinodeSouza_etal_2025_TABLE1
