Species,Body_Mass.g,Cerebellum_C.n,Cerebellum_Mass.g,Cerebellum_N.n,Cerebellum_N.p.mg,Cerebellum_O.n,Cerebellum_O.p.N,Cerebellum_O.p.mg,CerebralCortex_C.n,CerebralCortex_Mass.g,CerebralCortex_N.n,CerebralCortex_N.p.mg,CerebralCortex_O.n,CerebralCortex_O.p.N,CerebralCortex_O.p.mg,RoB_C.n,RoB_Mass.g,RoB_N.n,RoB_N.p.mg,RoB_O.n,RoB_O.p.N,RoB_O.p.mg,WholeBrain_Mass.g,WholeBrain_N.n,WholeBrain_O.n,Cerebellum_I.p.C,CerebralCortexNoHippocampus_I.p.C,CerebralCortex_I.p.C,Hippocampus_I.p.C,OlfactoryBulb_Mass.g,OlfactoryBulb_N.n,OlfactoryBulb_N.p.mg,OlfactoryBulb_O.n,OlfactoryBulb_O.p.N,OlfactoryBulb_O.p.mg,RoB_I.p.C,WholeBrain_I.p.C,Brain_Mass.g,Brain_N.n,SpinalCord_Length.mm,SpinalCord_Mass.g,SpinalCord_N.n,SpinalCord_N.p.mg,SpinalCord_O.n,SpinalCord_O.p.mg,SpinalCord_p.C.Body.mass,SpinalCord_p.C.CNS.mass,SpinalCord_p.C.CNS.neurons,Amygdala_Mass.g,Amygdala_N.n,Amygdala_N.p.mg,Amygdala_O.n,Amygdala_O.p.N,Amygdala_O.p.mg,CerebralCortexGrey_Mass.g,CerebralCortexGrey_N.n,CerebralCortexGrey_N.p.mg,CerebralCortexGrey_O.n,CerebralCortexGrey_O.p.N,CerebralCortexGrey_O.p.mg,CerebralCortexWhite_Mass.g,CerebralCortexWhite_N.n,CerebralCortexWhite_N.p.mg,CerebralCortexWhite_O.n,CerebralCortexWhite_O.p.N,CerebralCortexWhite_O.p.mg,DiencephalonStriatum_Mass.g,DiencephalonStriatum_N.n,DiencephalonStriatum_N.p.mg,DiencephalonStriatum_O.n,DiencephalonStriatum_O.p.N,DiencephalonStriatum_O.p.mg,Hippocampus_Mass.g,Hippocampus_N.n,Hippocampus_N.p.mg,Hippocampus_O.n,Hippocampus_O.p.N,Hippocampus_O.p.mg,Medulla_Mass.g,Medulla_N.n,Medulla_N.p.mg,Medulla_O.n,Medulla_O.p.N,Medulla_O.p.mg,Mesencephalon_Mass.g,Mesencephalon_N.n,Mesencephalon_N.p.mg,Mesencephalon_O.n,Mesencephalon_O.p.N,Mesencephalon_O.p.mg,Pons_Mass.g,Pons_N.n,Pons_N.p.mg,Pons_O.n,Pons_O.p.N,Pons_O.p.mg,WholeBrain_N.p.mg,WholeBrain_O.p.N,WholeBrain_O.p.mg,Amygdala_Vol.mm3,Cerebellum_Vol.mm3,EntorhinalCortex_Vol.mm3,Hippocampus_Vol.mm3,Hypothalamus_Vol.mm3,Medulla_Vol.mm3,MesencephalonMedulla_N.n,Neocortex_Vol.mm3,OlfactoryBulb_Vol.mm3,OlfactoryCortices_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,SubcorticalForebrain_N.n,Tectum_Vol.mm3,Tegmentum_Vol.mm3,Thalamus_Vol.mm3,WholeBrainOlfactoryBulb_Mass.g,WholeBrainOlfactoryBulb_N.n,MesencephalonDiencephalonStriatum_Mass.g,MesencephalonDiencephalonStriatum_N.n,MesencephalonDiencephalonStriatum_N.p.mg,MesencephalonDiencephalonStriatum_O.p.N,PonsMedulla_Mass.g,PonsMedulla_N.n,PonsMedulla_N.p.mg,PonsMedulla_O.p.N
Metachirus nudicaudatus,407,NA,0.342,134130000,392196,NA,0.24,NA,NA,0.992,20190000,20354,NA,3.199,NA,NA,0.674,11270000,16725,NA,4.878,NA,2.008,165590000,NA,0.0104,0.0306,0.0313,0.0353,0.206,31380000,152341,NA,0.647,NA,0.0554,0.0254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.234,3890000,16618,NA,5.707,NA,0.144,4190000,29109,NA,1.899,NA,NA,NA,NA,NA,NA,NA,0.158,3620000,22926,NA,3.182,NA,NA,NA,NA,NA,NA,NA,NA,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.392,7510000,19161,4.489,0.282,3760000,13338,5.653
Microcebus murinus,60,238820000,0.391,221386140,566205,17433860,0.079,44588,92960000,0.908,22310400,24571,70649600,3.167,77808,61880000,0.5,11014640,22029,50865360,4.618,101731,1.799,254711180,138948820,NA,NA,NA,NA,0.03,7636912,270894,9723088,1.273,341900,NA,NA,1.799,254.71,NA,0.235,1.68,7150,21.27,90398,0.39,11.55,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miniopterus schreibersii,11.6,NA,0.0485319852158389,44447776,915845,NA,NA,NA,NA,0.0858064733364199,6116028,71277,NA,NA,NA,NA,0.0860579352746436,5094974,59204,NA,NA,NA,0.219,55658777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mops pumilus,5.4,NA,0.0363065668838663,25324375,697515,NA,NA,NA,NA,0.0841103528603641,5632618,66967,NA,NA,NA,NA,0.0847179242886179,4001397,47232,NA,NA,NA,0.208,34958391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mungos mungo,1500,470000000,1.548,315740000,203966,154260000,0.489,NA,462330000,9.29,115770000,12462,346560000,2.994,NA,174050000,3.454,22510000,6518,151540000,6.731,NA,14.292,454020000,652370000,0.0185,NA,NA,0.0337,NA,NA,NA,NA,NA,NA,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.428,2660000,6225,22960000,8.618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mus musculus,40.4,49167499,0.056,42219708,746691,6947791,0.165,123493,25750000,0.173,13688162,78672,12061838,0.87,68643,26810000,0.172,11960000,64301,14850000,1.242,79839,0.402,67873741,33858759,NA,NA,NA,NA,0.014,3893300,257475,5456700,1.454,371204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mustela putorius furo,800,430860000,0.92,351260000,381810,79600000,0.227,NA,303010000,3.123,38950000,12473,264060000,6.779,NA,143540000,1.386,14210000,10253,129330000,9.101,NA,5.429,404430000,472980000,0.0205,0.0648,0.0673,0.0879,0.25,14040000,56150,43480000,3.097,NA,0.0895,0.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.329,3190000,9702,29310000,9.182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notamacropus parma,4268,NA,1.69,558080000,330225,NA,0.447,NA,NA,9.914,135620000,13680,NA,5.411,NA,NA,4.11,17420000,4238,NA,19.221,NA,15.714,711130000,NA,0.0073,0.053900000000000003,0.0555,0.0657,NA,NA,NA,NA,NA,NA,0.0575,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117630000,18707,NA,3.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.238,8480000,6849,NA,13.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.948,12650000,4290,20.645,1.162,4770000,4107,15.447
Notamacropus rufogriseus,11110,NA,3.572,1020000000,286273,NA,0.289,NA,NA,16.102,256780000,15947,NA,4.545,NA,NA,7.32,42480000,5803,NA,12.462,NA,26.994,1320000000,NA,0.0092,0.0667,0.0692,0.0885,NA,NA,NA,NA,NA,NA,0.0639,0.0428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207740000,21631,NA,2.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.796,10770000,5999,NA,14.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.93,35060000,5912,11.579,1.39,7420000,5336,16.637
Oryctolagus cuniculus,4600,521250000,1.412,396671250,280929,124578750,1.222,88229,326250000,4.448,71448750,16063,254801250,3.566,57284,277500000,3.272,26085000,7972,251415000,NA,76838,9.132,494205000,630795000,NA,NA,NA,NA,0.156,18765000,120288,22935000,1.222,147019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Osphranter rufus,13154,NA,4.786,1530000000,320282,NA,0.278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.886,19340000,6700,10.765
Otolemur garnettii,946.7,809460000,1.196,743500000,623080,65960000,0.089,54460,628160000,6.29,226090000,37820,402070000,1.778,63610,168240000,2.131,20800000,9730,147440000,7.088,69040,10.15,936000000,666590000,NA,NA,0.0826,NA,0.2,30237060,149219,34244000,1.133,170505,NA,NA,10.15,936,152,1.528,5.73,3847,88.47,59593,0.14,13.08,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panthera leo,180000,7093750000,24.882,4049750000,162758,3044000000,0.752,NA,7806210000,139.902,545240000,3897,7260970000,13.317,NA,2165900000,34.162,72040000,2109,2093860000,29.063,NA,198.946,4667030000,12398840000,0.0175,0.103,0.1019,0.0571,NA,NA,NA,NA,NA,NA,0.0973,0.0662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.648,13540000,3711,177110000,13.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Papio cynocephalus,8000,8320885000,13.745,7794907300,567109,525977700,0.067,38267,10444780000,120.214,2875028372,23916,7569751628,2.633,62969,1357959996,17.235,278150760,16136,1079809236,3.882,62656,151.194,10948086440,9175538564,NA,NA,0.0382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parascalops breweri,42.7,107790000,0.102,100780000,997370,7010000,0.07,68795,55560000,0.429,15690000,36727,39870000,2.581,93185,38510000,0.228,7130000,31276,31380000,4.401,137960,0.759,123600000,78260000,NA,NA,NA,NA,0.049,16750000,333590,10910000,0.651,217440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Petrodromus tetradactylus,132.5,145311001,0.304,110653150,362537,34657851,0.299,110153,74433000,1.239,33947000,27236,40486000,1.202,32550,40436000,0.894,12231811,13696,28204189,2.3,31716,2.44,156830795,103349000,0.0088,0.0483,0.0503,0.0591,0.159,12828365,80805,14775635,1.141,91369,0.0408,0.0257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pongo pygmaeus,NA,28500000000,35.06,26300000000,750143,2200000000,0.084,62750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procavia capensis,2517,579378000,2.058,488373000,242415,91005000,0.182,46365,564553000,10.478,197933000,19134,366620000,1.883,35203,232343000,4.317,69358240,16436,162984760,2.351,38353,16.853,755653000,620622000,0.0135,0.0678,0.0675,0.0654,0.286,20909490,73110,14790510,0.707,51715,0.0482,0.0415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Procyon lotor,6200,1887500000,3.338,1646180000,493162,241320000,0.147,NA,2204610000,24.491,437940000,18510,1766670000,3.897,NA,440570000,6.357,48570000,7640,392000000,8.071,NA,34.186,2148070000,2399990000,NA,NA,NA,NA,0.47,55990000,119119,79760000,1.425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477,15340000,16076,70000000,4.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Proechimys guyannensis,223.485,198885000,0.33,162512050,494338,36372950,0.224,110122,97919063,0.924,26086024,28321,71833039,2.752,78011,86560937,0.824,13492039,16381,73068898,5.462,88667,2.078,202090113,181274887,NA,NA,NA,NA,0.132,9141540,69254,21128460,2.311,160064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rattus norvegicus,315.1,168177499,0.272,139171882,522688,29005617,0.209,108555,76705000,0.769,31017192,41092,45687808,1.497,60426,65900001,0.683,18678758,27813,47221243,2.587,71760,1.724,188867832,121914668,NA,NA,NA,NA,0.074,11103272,152373,9238728,0.848,126210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rousettus aegyptiacus,120,NA,0.219666672195536,132436158,602896,NA,NA,NA,NA,0.985394850957763,28859259,29287,NA,NA,NA,NA,0.547872457669572,10936630,19962,NA,NA,NA,1.778,172232047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saguinus midas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saimiri sciureus,859,1953020000,4.3,1820000000,424000,133020000,0.073,30940,2950000000,20.652,1340000000,64930,1610000000,1.201,77840,368120000,5.004,65530000,13090,302590000,4.618,60470,30.216,3246430000,2073030000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.216,3246.43,169.48,1.602,4.69,2913,91.24,56888,0.19,5.03,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sapajus apella,3340,2735810000,4.6,2490000000,540310,245810000,0.099,53440,3690000000,39.178,1140000000,29180,2550000000,2.237,64980,567960000,8.43,61850000,7340,506110000,8.183,60040,52.208,3690520000,3297740000,NA,NA,0.0285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarcophilus harrisii,8200,NA,1.434,601070000,419158,NA,0.224,NA,NA,5.228,71660000,13706,NA,5.112,NA,NA,3.14,20970000,6677,NA,12.2,NA,9.802,693690000,NA,0.0105,0.0197,0.0218,0.0325,1.004,100320000,99919,NA,1.004,NA,0.0202,0.0158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50950000,14759,NA,3.727,NA,NA,NA,NA,NA,NA,NA,1.348,6180000,4587,NA,18.96,NA,0.634,12640000,19940,NA,4.537,NA,NA,NA,NA,NA,NA,NA,0.652,8220000,12613,NA,6.675,NA,NA,NA,NA,NA,NA,NA,NA,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,14410000,7203,11.948,1.14,6560000,5754,12.755
Scalopus aquaticus,95.3,176060000,0.153,158550000,1037390,17510000,0.11,114660,65220000,0.476,26680000,60461,38540000,1.383,80745,62250000,0.37,16560000,44620,45690000,2.759,123600,0.999,203520000,101740000,NA,NA,NA,NA,0.082,34610000,423520,17780000,0.514,215230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sciurus carolinensis,500,453630000,0.874,342832180,392363,110797820,0.336,127682,286989334,2.73,77334617,28384,209654717,2.709,76877,243517334,1.943,33493401,17616,210023933,7.246,108482,5.548,453660197,530476469,NA,NA,NA,NA,0.212,28845724,137532,39015942,1.478,185359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scotonycteris zenkeri,16.1,NA,0.0860000091067051,47217961,549046,NA,NA,NA,NA,0.323996746696257,12847119,39652,NA,NA,NA,NA,0.177998873402646,5529891,31067,NA,NA,NA,0.588,65594971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
