Species,Body_Mass.g,Cerebellum_C.n,Cerebellum_Mass.g,Cerebellum_N.n,Cerebellum_N.p.mg,Cerebellum_O.n,Cerebellum_O.p.N,Cerebellum_O.p.mg,CerebralCortex_C.n,CerebralCortex_Mass.g,CerebralCortex_N.n,CerebralCortex_N.p.mg,CerebralCortex_O.n,CerebralCortex_O.p.N,CerebralCortex_O.p.mg,RoB_C.n,RoB_Mass.g,RoB_N.n,RoB_N.p.mg,RoB_O.n,RoB_O.p.N,RoB_O.p.mg,WholeBrain_Mass.g,WholeBrain_N.n,WholeBrain_O.n,Cerebellum_I.p.C,CerebralCortexNoHippocampus_I.p.C,CerebralCortex_I.p.C,Hippocampus_I.p.C,OlfactoryBulb_Mass.g,OlfactoryBulb_N.n,OlfactoryBulb_N.p.mg,OlfactoryBulb_O.n,OlfactoryBulb_O.p.N,OlfactoryBulb_O.p.mg,RoB_I.p.C,WholeBrain_I.p.C,Brain_Mass.g,Brain_N.n,SpinalCord_Length.mm,SpinalCord_Mass.g,SpinalCord_N.n,SpinalCord_N.p.mg,SpinalCord_O.n,SpinalCord_O.p.mg,SpinalCord_p.C.Body.mass,SpinalCord_p.C.CNS.mass,SpinalCord_p.C.CNS.neurons,Amygdala_Mass.g,Amygdala_N.n,Amygdala_N.p.mg,Amygdala_O.n,Amygdala_O.p.N,Amygdala_O.p.mg,CerebralCortexGrey_Mass.g,CerebralCortexGrey_N.n,CerebralCortexGrey_N.p.mg,CerebralCortexGrey_O.n,CerebralCortexGrey_O.p.N,CerebralCortexGrey_O.p.mg,CerebralCortexWhite_Mass.g,CerebralCortexWhite_N.n,CerebralCortexWhite_N.p.mg,CerebralCortexWhite_O.n,CerebralCortexWhite_O.p.N,CerebralCortexWhite_O.p.mg,DiencephalonStriatum_Mass.g,DiencephalonStriatum_N.n,DiencephalonStriatum_N.p.mg,DiencephalonStriatum_O.n,DiencephalonStriatum_O.p.N,DiencephalonStriatum_O.p.mg,Hippocampus_Mass.g,Hippocampus_N.n,Hippocampus_N.p.mg,Hippocampus_O.n,Hippocampus_O.p.N,Hippocampus_O.p.mg,Medulla_Mass.g,Medulla_N.n,Medulla_N.p.mg,Medulla_O.n,Medulla_O.p.N,Medulla_O.p.mg,Mesencephalon_Mass.g,Mesencephalon_N.n,Mesencephalon_N.p.mg,Mesencephalon_O.n,Mesencephalon_O.p.N,Mesencephalon_O.p.mg,Pons_Mass.g,Pons_N.n,Pons_N.p.mg,Pons_O.n,Pons_O.p.N,Pons_O.p.mg,WholeBrain_N.p.mg,WholeBrain_O.p.N,WholeBrain_O.p.mg,Amygdala_Vol.mm3,Cerebellum_Vol.mm3,EntorhinalCortex_Vol.mm3,Hippocampus_Vol.mm3,Hypothalamus_Vol.mm3,Medulla_Vol.mm3,MesencephalonMedulla_N.n,Neocortex_Vol.mm3,OlfactoryBulb_Vol.mm3,OlfactoryCortices_Vol.mm3,Septum_Vol.mm3,Striatum_Vol.mm3,SubcorticalForebrain_N.n,Tectum_Vol.mm3,Tegmentum_Vol.mm3,Thalamus_Vol.mm3,WholeBrainOlfactoryBulb_Mass.g,WholeBrainOlfactoryBulb_N.n,MesencephalonDiencephalonStriatum_Mass.g,MesencephalonDiencephalonStriatum_N.n,MesencephalonDiencephalonStriatum_N.p.mg,MesencephalonDiencephalonStriatum_O.p.N,PonsMedulla_Mass.g,PonsMedulla_N.n,PonsMedulla_N.p.mg,PonsMedulla_O.p.N
Casinycteris argynnis,27,NA,0.128000061152779,77445413,605042,NA,NA,NA,NA,0.462003220682961,10471765,22666,NA,NA,NA,NA,0.302002666594106,11098900,36751,NA,NA,NA,0.892,99016077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cavia porcellus,311,204145000,0.5,167854925,339755,36290075,0.216,72824,152125000,1.938,43510525,22508,108614475,2.492,56036,105375000,1.218,22191825,18990,83183175,4.035,69528,3.656,233557275,228087725,NA,NA,NA,NA,0.103,6065700,58560,10154300,1.637,96793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coleura afra,11.5,NA,0.0540341106919655,47984992,888050,NA,NA,NA,NA,0.089982784272051,5080428,56460,NA,NA,NA,NA,0.0988031030528881,5514794,55816,NA,NA,NA,0.244,58580214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Condylura cristata,41.1,125400000,0.138,105920000,776460,19480000,0.184,139912,49260000,0.42,17250000,40777,32010000,1.966,76995,39710000,0.244,8160000,33475,31550000,3.866,128990,0.802,131330000,83040000,NA,NA,NA,NA,0.04,10550000,254720,7470000,0.708,185124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptomys hottentotus,68.58,NA,NA,68810000,NA,NA,NA,NA,NA,NA,11730000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88250000,NA,NA,NA,NA,NA,NA,7990000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,121,25,59,25,79,3170000,183,37,50,11,59,4550000,17,34,39,0.85,96240000,NA,NA,NA,NA,NA,NA,NA,NA
Cryptomys hottentotus natalensis,99.02,NA,NA,109750000,NA,NA,NA,NA,NA,NA,17460000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138130000,NA,NA,NA,NA,NA,NA,11850000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,175,43,80,31,97,4110000,321,55,76,14,84,6820000,24,42,54,1.24,149980000,NA,NA,NA,NA,NA,NA,NA,NA
Cryptomys hottentotus pretoriae,104.27,NA,NA,120580000,NA,NA,NA,NA,NA,NA,20560000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157090000,NA,NA,NA,NA,NA,NA,12070000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,188,46,95,33,119,6030000,315,57,76,15,85,9920000,25,47,57,1.35,169160000,NA,NA,NA,NA,NA,NA,NA,NA
Cynomys sp.,1515,416240000,0.789,350084813,440658,66155187,0.192,84802,237220000,2.586,53768353,20866,183451647,3.432,71202,201833333,1.945,34090600,17590,167742733,4.923,86542,5.321,437943767,417349567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Damaliscus pygargus phillipsi,60000,2845631126,13.402,2401712670,179206,443918456,0.184,33123,7332929658,111.31,570673431,5127,6762256227,11.851,60760,2222500002,30.006,86428126,2880,2136071876,24.718,71188,154.718,3058814227,9343246559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dasyprocta prymnolopha,2843,829475000,2.742,673488085,253208,155986915,0.234,57945,526850000,8.913,110641950,13250,416208050,3.763,49939,400040000,5.972,43204320,6830,356835680,NA,56408,17.628,795112070,951677930,NA,NA,NA,NA,0.737,58124085,88008,72595915,1.239,107301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
