"case_index","species","processing","in_barger2007","amygdala_lateral_cc","amygdala_basal_cc","amygdala_accessory_basal_cc","amygdala_central_cc","amygdala_total_cc","hippocampus_cc","striatum_cc","source"
1,"Homo sapiens","a","Y",0.551,0.452,0.188,0.039,2.031,5.18,9.551,"Barger_etal_2014"
2,"Homo sapiens","a","Y",NA,NA,NA,NA,NA,NA,12.223,"Barger_etal_2014"
3,"Pan troglodytes","a","Y",0.138,0.224,0.07,0.065,0.685,1.772,5.159,"Barger_etal_2014"
4,"Pan troglodytes","a","Y",0.126,0.183,0.07,0.056,0.584,1.52,4.373,"Barger_etal_2014"
5,"Pan troglodytes","b","N",0.115,0.176,0.066,0.037,0.571,NA,NA,"Barger_etal_2014"
6,"Pan troglodytes","b","N",0.095,0.117,0.047,0.024,0.417,NA,NA,"Barger_etal_2014"
7,"Pan troglodytes","b","N",0.165,0.263,0.064,0.049,0.749,NA,NA,"Barger_etal_2014"
8,"Pan paniscus","a","Y",0.164,0.191,0.066,0.042,0.634,1.71,5.645,"Barger_etal_2014"
9,"Pan paniscus","a","Y",0.124,0.223,0.07,0.032,0.623,1.595,4.4,"Barger_etal_2014"
10,"Gorilla gorilla","a","Y",0.1,0.247,0.096,0.037,0.651,1.35,4.626,"Barger_etal_2014"
11,"Gorilla gorilla","b","N",0.167,0.266,0.112,0.053,0.867,NA,NA,"Barger_etal_2014"
12,"Gorilla gorilla","b","N",0.137,0.17,0.105,0.043,0.645,NA,NA,"Barger_etal_2014"
13,"Pongo pygmaeus","a","Y",0.124,0.228,0.062,0.047,0.637,1.255,NA,"Barger_etal_2014"
14,"Pongo pygmaeus","a","Y",0.105,0.151,0.052,0.036,0.52,1.415,3.689,"Barger_etal_2014"
15,"Pongo pygmaeus","a","N",0.157,0.171,0.071,0.03,0.638,NA,NA,"Barger_etal_2014"
16,"Pongo pygmaeus","b","N",0.156,0.171,0.067,0.045,0.725,NA,NA,"Barger_etal_2014"
17,"Pongo pygmaeus","a","N",NA,NA,NA,NA,NA,1.645,4.498,"Barger_etal_2014"
18,"Hylobates lar","a","Y",0.046,0.063,0.021,0.009,0.203,0.805,1.51,"Barger_etal_2014"
19,"Nomascus concolor","a","Y",0.06,0.086,0.022,0.012,0.27,0.95,1.994,"Barger_etal_2014"
20,"Hylobates muelleri","b","N",0.069,0.079,0.03,0.017,0.256,NA,NA,"Barger_etal_2014"
