"Species","n","MSC","LSC","%NSC","NSC","OSC","DN","DO","MBD","MSC%
MBD","MBR","MSC%
MCNS","NBR","NSC%
NCNS"
"Microcebus murinus","1","0.235","n.a.","7.33","1.68","21.27","7,150","90,398","60.0","0.39","1.799","11.55","254.71","0.66"
"Tupaia glis","14","0.607<U+00B1>","102.92<U+00B1>","6.02<U+00B1>","2.69<U+00B1>","41.96<U+00B1>","4,529<U+00B1>","69,891<U+00B1>","173.9<U+00B1>","0.35","2.752","18.07","261.40","1.02"
"","","0.082","3.70","1.49","0.71","4.17","1,597","8,247","26.0","","","","",""
"Callithrix jacchus","1","0.621","n.a.","7.57","3.65","44.55","5,875","71,734","340.0","0.18","7.780","7.39","635.80","0.57"
"Saimiri sciureus","4","1.602<U+00B1>","169.48<U+00B1>","4.83<U+00B1>","4.69<U+00B1>","91.24<U+00B1>","2,913<U+00B1>","56,888<U+00B1>","858.8<U+00B1>","0.19","30.216","5.03","3,246.43","0.14"
"","","0.078","5.49","1.75","1.88","6.88","1,120","1,614","105.9","","","","",""
"Otolemur garnetti","15","1.528<U+00B1>","152.00<U+00B1>","6.14<U+00B1>","5.73<U+00B1>","88.47<U+00B1>","3,847<U+00B1>","59,593<U+00B1>","1,111.8<U+00B1>","0.14","10.150","13.08","936.00","0.61"
"","","0.292","13.34","1.29","1.17","14.60","764","10,308","255.2","","","","",""
"Aotus trivirgatus","12","2.131<U+00B1>","169.88<U+00B1>","6.11<U+00B1>","5.82<U+00B1>","91.00<U+00B1>","2,911<U+00B1>","44,202<U+00B1>","1,198.5<U+00B1>","0.18","15.730","11.93","1,470.00","0.39"
"","","0.526","17.31","1.12","0.89","14.81","971","7,980","257.6","","","","",""
"Macaca fascicularis","1","7.499","n.a.","3.06","11.38","360.62","1,518","48,090","5,700.0","0.13","46.162","13.97","3,439.00","0.33"
"Macaca radiata","4","7.842<U+00B1>","264.60<U+00B1>","2.50<U+00B1>","9.06<U+00B1>","335.94<U+00B1>","1,173<U+00B1>","45,664<U+00B1>","8,012.5<U+00B1>","0.10","61.470","11.31","3,755.62","0.24"
"","","2.317","26.38","0.11","3.05","110.72","155","3,911","2,039.8","","","","",""
"Macaca mulatta","5","8.511<U+00B1>","247.46<U+00B1>","2.56<U+00B1>","10.00<U+00B1>","379.72<U+00B1>","1,176<U+00B1>","45,555<U+00B1>","84,700<U+00B1>","0.10","87.346","8.88","6,380.00","0.16"
"","","1.601","15.23","0.56","2.95","54.72","1,597","7,967","2,452.4","","","","",""
"Variation","","36<U+00D7>","","3<U+00D7>","6<U+00D7>","18<U+00D7>","6<U+00D7>","2<U+00D7>","141<U+00D7>","4<U+00D7>","48<U+00D7>","","25<U+00D7>",""
