species,catalogue_number,sec5_white_left_cm3,sec5_grey_left_cm3,sec5_white_right_cm3,sec5_grey_right_cm3,sec5_white_total_cm3,sec5_grey_total_cm3,source
Homo sapiens,14686,11.94,23.08,17.13,31.45,29.07,54.53,Smaers_etal_2011
Homo sapiens,1696,14.68,25.1,14.38,25.05,29.06,50.15,Smaers_etal_2011
Homo sapiens,18992,11.92,21.51,13.18,28.62,25.1,50.13,Smaers_etal_2011
Homo sapiens,20784,16.7,24.18,19.25,27.26,35.95,51.44,Smaers_etal_2011
Homo sapiens,2431,10.73,18.65,8.62,15.58,19.35,34.23,Smaers_etal_2011
Homo sapiens,54491,16.92,23.54,20.62,26.1,37.54,49.64,Smaers_etal_2011
Homo sapiens,5694,13.0,19.25,14.47,19.28,27.47,38.53,Smaers_etal_2011
Homo sapiens,6895,11.94,22.32,9.61,19.62,21.55,41.94,Smaers_etal_2011
Pan troglodytes,280,2.11,7.64,2.5,6.57,4.61,14.21,Smaers_etal_2011
Pan paniscus,86137,1.02,4.22,1.03,3.73,2.05,7.95,Smaers_etal_2011
Gorilla gorilla,375,1.29,5.87,1.32,5.77,2.61,11.64,Smaers_etal_2011
Pongo pygmaeus,yn85 38,1.68,5.68,0.84,2.92,2.52,8.6,Smaers_etal_2011
Hylobates lar,1203,0.24,1.28,0.27,1.3,0.51,2.58,Smaers_etal_2011
Papio anubis,97,0.36,2.01,0.49,1.91,0.85,3.92,Smaers_etal_2011
Cercocebus albigena,242,0.19,1.13,0.24,1.18,0.43,2.31,Smaers_etal_2011
Cercopithecus mitis,261,0.08,0.63,0.12,0.75,0.2,1.38,Smaers_etal_2011
Cercopithecus ascianus,219,0.07,0.57,0.09,0.58,0.16,1.15,Smaers_etal_2011
Erythrocebus patas,1341,0.11,0.81,0.16,0.75,0.27,1.56,Smaers_etal_2011
Miopithecus talapoin,1171,0.07,0.48,0.09,0.53,0.16,1.01,Smaers_etal_2011
Nasalis larvatus,1365,0.02,0.38,0.05,0.44,0.07,0.82,Smaers_etal_2011
Procolobus badius,213,0.08,0.81,0.12,0.78,0.2,1.59,Smaers_etal_2011
Alouatta seniculus,1184,0.04,0.32,0.13,0.69,0.17,1.01,Smaers_etal_2011
Ateles geoffroyi,1000,0.08,1.22,0.21,1.55,0.29,2.77,Smaers_etal_2011
Lagothrix lagotricha,1571,0.09,0.97,0.14,0.92,0.23,1.89,Smaers_etal_2011
Pithecia monachus,1180,0.02,0.16,0.07,0.44,0.09,0.6,Smaers_etal_2011
Cebus albifrons,1200,0.1,0.66,0.15,0.77,0.25,1.43,Smaers_etal_2011
