Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
species,species binomial parsed from Individual,,Species,,both,Primates,Smaers_etal_2011,'ascianus'=ascanius; reconcile to _keys/Stephan/species_key.csv,
catalogue_number,collection catalogue number,,Specimen,,both,Primates,Smaers_etal_2011,ape IDs match MacLeod/Barger Stephan-Collection brains,
frontal_white_left_cm3,frontal white matter volume left (Table 1),FrontalWhite,Volume.cm3,,both,Primates,Smaers_etal_2011,,
frontal_grey_left_cm3,frontal grey matter volume left (Table 1),FrontalGrey,Volume.cm3,,both,Primates,Smaers_etal_2011,,
frontal_white_right_cm3,frontal white matter volume right (Table 1),FrontalWhite,Volume.cm3,,both,Primates,Smaers_etal_2011,,
frontal_grey_right_cm3,frontal grey matter volume right (Table 1),FrontalGrey,Volume.cm3,,both,Primates,Smaers_etal_2011,,
frontal_white_total_cm3,frontal white both hemispheres (Table 1),FrontalWhite,Volume.cm3,,both,Primates,Smaers_etal_2011,left+right,
frontal_grey_total_cm3,frontal grey both hemispheres (Table 1),FrontalGrey,Volume.cm3,,both,Primates,Smaers_etal_2011,left+right,
total_brain_volume_cm3,total brain volume (Table 1),WholeBrain,Volume.cm3,,both,Primates,Smaers_etal_2011,,
sec5_white_left_cm3,anterior-frontal white to section 5 left (Table 2),FrontalWhite,Volume.cm3,,both,Primates,Smaers_etal_2011,cumulative,
sec5_grey_left_cm3,anterior-frontal grey to section 5 left (Table 2),FrontalGrey,Volume.cm3,,both,Primates,Smaers_etal_2011,cumulative,
sec5_white_right_cm3,anterior-frontal white to section 5 right (Table 2),FrontalWhite,Volume.cm3,,both,Primates,Smaers_etal_2011,cumulative,
sec5_grey_right_cm3,anterior-frontal grey to section 5 right (Table 2),FrontalGrey,Volume.cm3,,both,Primates,Smaers_etal_2011,cumulative,
sec5_white_total_cm3,anterior-frontal white both hemispheres (Table 2),FrontalWhite,Volume.cm3,,both,Primates,Smaers_etal_2011,left+right,
sec5_grey_total_cm3,anterior-frontal grey both hemispheres (Table 2),FrontalGrey,Volume.cm3,,both,Primates,Smaers_etal_2011,left+right,
source,source identifier,,Source,,both,Primates,Smaers_etal_2011,,
