"species","category","brain mass (g or cm3)","daily sleep (h)","D/A (N mg−1 mm−2)","NCX","DNCX (N mg−1)","ACX (mm2)","O/N","T","MCX (g or cm3)"
"Aotus trivirgatus","Primates",15.75,16.97,10.831,441900000,47960,4428,1.34,1.67,7.396
"Callithrix sp.","Primates",7.78,10.22,17.679,244720000,54240,3068,1.114,1.331,4.084
"Cebus apella","Primates",52.508,5.95,3.337,1.14e+09,51080,15306,1.106,2.067,31.64
"Saimiri sciureus","Primates",30.216,9.11,7.707,1.34e+09,80920,10500,0.768,1.333,13.992
"Macaca mulatta","Primates",87.346,8.74,1.284,1.71e+09,32110,25000,2.011,1.714,42.86
"Macaca radiata","Primates",61.47,9.02,2.595,1.66e+09,43810,16882,1.278,1.835,30.986
"Papio cynocephalus","Primates",151.19,6.19,1.011,2.88e+09,33730,33378,1.317,2.177,72.668
"Homo sapiens","Primates",1509,8.47,0.114,1.634e+10,21450,188100,1.48,2.938,552.7
"Blarina brevicauda","Eulipotyphla",0.34,14.9,271.927,11880000,59280,218,1,0.821,0.179
"Condylura cristata","Eulipotyphla",0.802,10.32,106.832,17250000,38780,363,1.924,1.072,0.389
"Erinaceus europaeus","Eulipotyphla",3.23,13.96,29.221,33530000,27000,924,2.214,1.047,0.967
"Scalopus aquaticus","Eulipotyphla",0.999,8.45,168.291,28680000,60252,357,1.296,1.07,0.382
"Cavia porcellus","Glires",3.656,9.37,20.729,43510000,22222,1072,2.606,1.827,1.959
"Mesocricetus auratus","Glires",0.965,14.98,98.985,17140000,39099,395,2.507,1.129,0.446
"Mus musculus","Glires",0.402,11.6,46.316,13690000,122232,296,0.87,0.724,0.214
"Oryctolagus cuniculus","Glires",7.1,9.55,31.739,71450000,43800,1380,3.566,NA,NA
"Rattus norvegicus","Glires",1.724,12.27,49.685,31020000,35330,711,1.497,1.212,0.862
"Dendrohyrax sp.","Afrotheria",3.328,5.4,6.308,98970000,12709,3791,1.426,1.598,6.058
"Loxodonta Africana","Afrotheria",4618,3.3,0.007,5.59e+09,3661,514134,10.628,2.633,1353.9
"Procavia sp.","Afrotheria",4.317,5.45,4.92,197920000,20794,4226,1.241,1.482,6.263
"Bos taurus","Artiodactyla",486,3.19,0.123,1.34e+09,13000,105500,4.085,2.142,226
"Giraffa camelopardalis","Artiodactyla",537,3.44,0.073,1.73e+09,5882,80256,7.763,2.394,192.1
"Sus scrofa","Artiodactyla",64.18,8.2,0.559,307080000,7375,13188,8.543,1.336,17.614
"Tupaia sp.","Scandentia",3.04,15.84,29.457,60390000,38000,1290,1.511,0.798,1.03
