"Age","Asleep %","MBR (g)","NCX (g)","NCX","O/N","DCX (N mg⁻¹)","ACX (mm²)","D/A,(N mg⁻¹mm⁻²)"
1,96.9,0.309,0.132,32247500,0.193,271127,125,2163
2,98.6,0.326,0.138,32406667,0.191,265856,129,2059
3,97.2,0.387,0.169,30995000,0.171,225940,148,1528
4,93.2,0.473,0.215,39763333,0.281,184538,174,1063
5,77,0.826,0.411,32790000,0.2,87112,267,326
6,70.2,0.683,0.324,48660000,0.091,150880,228,661
7,68.9,0.675,0.328,29213333,0.487,79039,230,344
9,55.8,0.785,0.344,28370000,0.54,73702,237,310
10,52.7,0.934,0.454,NA,NA,NA,NA,NA
11,52.2,1.008,0.467,17200000,1.452,37561,291,129
14,66.9,1.342,0.645,13140000,1.232,19238,361,53
15,68.7,1.136,0.534,15030000,1.744,28133,318,88
17,56.3,1.382,0.684,17140000,2.436,26293,375,70
18,59,1.306,0.62,15225000,2.626,24564,352,70
21,49,1.342,0.622,19030000,2.148,30662,352,87
22,54.2,1.411,0.683,NA,NA,NA,375,NA
25,63.6,1.536,0.709,21545000,1.992,30402,384,79
