Code,Definition,Structure,Measure,Stat,role,taxon,Reference,Note,Source Note
BR,whole brain (excluding the olfactory bulb),WholeBrain,,,primary,Carnivores & other companion mammals,JardimMesseder_etal_2017_Table1,,
CB,cerebellum,Cerebellum,,,primary,Carnivores & other companion mammals,JardimMesseder_etal_2017_Table1,,
HP,hippocampus,Hippocampus,,,primary,Carnivores & other companion mammals,JardimMesseder_etal_2017_Table1,,
OB,olfactory bulb,OlfactoryBulb,,,primary,Carnivores & other companion mammals,JardimMesseder_etal_2017_Table1,,
RoB,"rest of brain (the sum of diencephalon+basal ganglia, mesencephalon, and pons+medulla)",RoB,,,primary,Carnivores & other companion mammals,JardimMesseder_etal_2017_Table1,DosSantos_etal_2017 mentioned basal ganglia instead of striatum,
M,mass of the structure,,Mass.g,,primary,Carnivores & other companion mammals,JardimMesseder_etal_2017_Table1,Exception: body mass in kg,
M,mass of the structure,,Mass.kg,,primary,Carnivores & other companion mammals,JardimMesseder_etal_2017_Table1,Exception: body mass in kg,
N,number of neurons,,N.n,,primary,Carnivores & other companion mammals,JardimMesseder_etal_2017_Table1,,
DN,neuronal density (in neurons/mg),,N.p.mg,,primary,Carnivores & other companion mammals,JardimMesseder_etal_2017_Table1,,
O/N,ratio between numbers of other (non-neuronal) cells and neurons. ,,O.p.N,,primary,Carnivores & other companion mammals,JardimMesseder_etal_2017_Table1,,
O,number of other (non-neuronal) cells,,O.n,,primary,Carnivores & other companion mammals,JardimMesseder_etal_2017_Table1,,
CXT,"whole cerebral cortex (gray matter, white matter and hippocampus)",CerebralCortex,,,primary,Carnivores & other companion mammals,JardimMesseder_etal_2017_Table1,,
BD,body,Body,,,primary,Carnivores & other companion mammals,JardimMesseder_etal_2017_Table1,Exception: body mass in kg,
