Original_Term,Reference,Standardized_Term
Species,Lewitus_etal_2014_TableS1,Species
GI,Lewitus_etal_2014_TableS1,GI
Species,Lewitus_etal_2014_TableS8,Species
GI,Lewitus_etal_2014_TableS8,GI
Species,Zilles_etal_2013_Table1,Species
GI,Zilles_etal_2013_Table1,GI
