Species,Standardized_Term,GI,source,team,ref,dependency_group
Galago senegalensis,GI,1.17,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Otolemur crassicaudatus,GI,1.255,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Galagoides demidoff,GI,1.21,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Cynocephalus volans,GI,1.343,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Tupaia glis,GI,1.062,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Ovis aries,GI,1.94,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Capra hircus domestica,GI,2.278,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Bos taurus indicus,GI,2.53,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Odocoileus virginianus,GI,2.27,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Phocoena phocoena,GI,4.13,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Delphinus delphis,GI,3.99,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Tursiops truncatus,GI,4.76,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Pseudorca crassidens,GI,4.97,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Globicephala macrorhynchus,GI,5.24,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Grampus griseus,GI,4.29,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Sus scrofa domesticus,GI,2.16,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Lama glama domesticus,GI,2.7,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Equus burchelli,GI,2.94,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Equus caballus,GI,2.8,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Mustela putorius,GI,1.75,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Procyon lotor,GI,1.85,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Zalophus californianus,GI,2.52,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Phoca vitulina,GI,2.38,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Ursus maritimus,GI,2.04,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Canis latrans,GI,1.8,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Vulpes vulpes,GI,1.8,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Panthera leo,GI,1.85,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Felis catus,GI,1.5,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Crocuta crocuta,GI,1.74,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Cynictis penicillata,GI,1.35,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Pteropus giganteus,GI,1.254,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Talpa europaea,GI,1,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Galemys pyrenaicus,GI,1,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Erinaceus europaeus,GI,1,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Crocidura flavescens,GI,1,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Crocidura russala,GI,1,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Sorex araneus,GI,1,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Sorex minutus,GI,1,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Neomys fodiens,GI,1,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Choloepus didactylus,GI,1.377,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Dasypus novemcinctus,GI,1.07063,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Potamogale velox,GI,1,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Elephantulus fuscipes,GI,1,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Trichechus manatus,GI,1.019,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Procavia capensis,GI,1.368,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Loxodonta africana,GI,3.84,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Macropus eugenii,GI,1.13,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Macropus fuliginosus,GI,1.41,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Notamacropus rufogriseus,GI,1.23,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Didelphis virginiana,GI,1.12,Lewitus_etal_2014_TableS1,Lewitus_2014,TableS1,Zilles_GI_lineage
Blarina carolinensis,GI,1,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Cavia porcellus,GI,1,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Scalopus aquaticus,GI,1,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Sorex fumeus,GI,1,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Talpa hairy,GI,1,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Talpa star,GI,1,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Mesocricetus auratus,GI,1.01,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Rattus rattus,GI,1.02,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Mus musculus,GI,1.03,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Tupaia glis,GI,1.062,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Microcebus murinus,GI,1.1,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Oryctolagus cuniculus,GI,1.15,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Callithrix jacchus,GI,1.17,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Dasyprocta leporina,GI,1.23,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Callimico goeldii,GI,1.255,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Otolemur garnetti,GI,1.255,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Hydrochoerus hydrochaeris,GI,1.3,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Aotus trivirgatus,GI,1.31,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Cebus apella,GI,1.69,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Macaca mulatta,GI,1.79,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Macaca radiata,GI,1.79,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Papio cynocephalus,GI,1.985,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Pongo pygmaeus,GI,2.21,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Gorilla gorilla,GI,2.26,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Homo sapiens,GI,2.56,Lewitus_etal_2014_TableS8,Lewitus_2014,TableS8,Zilles_GI_lineage
Zaglossus bruijni,GI,1.51,Zilles_etal_2013_Table1,Zilles_2013,[7],Zilles_GI_lineage
Marmosa sp.,GI,1.01,Zilles_etal_2013_Table1,Zilles_2013,[5],Zilles_GI_lineage
Didelphis virginiana,GI,1.11,Zilles_etal_2013_Table1,Zilles_2013,[5],Zilles_GI_lineage
Sarcophilus harrisii,GI,1.33,Zilles_etal_2013_Table1,Zilles_2013,[7],Zilles_GI_lineage
Wallabia rufogrisea,GI,1.23,Zilles_etal_2013_Table1,Zilles_2013,[5],Zilles_GI_lineage
Macropus melanops,GI,1.41,Zilles_etal_2013_Table1,Zilles_2013,[5],Zilles_GI_lineage
Trichosurus vulpecula,GI,1.23,Zilles_etal_2013_Table1,Zilles_2013,[7],Zilles_GI_lineage
Loxodonta africana,GI,3.81,Zilles_etal_2013_Table1,Zilles_2013,[7],Zilles_GI_lineage
Castor canadensis,GI,1.02,Zilles_etal_2013_Table1,Zilles_2013,[4],Zilles_GI_lineage
Mesocricetus auratus,GI,1.01,Zilles_etal_2013_Table1,Zilles_2013,[4],Zilles_GI_lineage
Rattus norvegicus,GI,1.02,Zilles_etal_2013_Table1,Zilles_2013,[4],Zilles_GI_lineage
Mus musculus,GI,1.03,Zilles_etal_2013_Table1,Zilles_2013,[4],Zilles_GI_lineage
Dolichotis patagonum,GI,1.42,Zilles_etal_2013_Table1,Zilles_2013,[87],Zilles_GI_lineage
Hydrochaeris hydrochaeris,GI,1.3,Zilles_etal_2013_Table1,Zilles_2013,[4],Zilles_GI_lineage
Dasyprocta leporina,GI,1.23,Zilles_etal_2013_Table1,Zilles_2013,[4],Zilles_GI_lineage
Oryctolagus cuniculus,GI,1.15,Zilles_etal_2013_Table1,Zilles_2013,[87],Zilles_GI_lineage
Vulpes vulpes,GI,2.01,Zilles_etal_2013_Table1,Zilles_2013,[5],Zilles_GI_lineage
Vulpes vulpes,GI,1.8,Zilles_etal_2013_Table1,Zilles_2013,[87],Zilles_GI_lineage
Canis latrans,GI,1.8,Zilles_etal_2013_Table1,Zilles_2013,[5],Zilles_GI_lineage
Ursus arctos,GI,1.99,Zilles_etal_2013_Table1,Zilles_2013,[7],Zilles_GI_lineage
Ursus maritimus,GI,2.04,Zilles_etal_2013_Table1,Zilles_2013,[4],Zilles_GI_lineage
Procyon lotor,GI,1.85,Zilles_etal_2013_Table1,Zilles_2013,[5],Zilles_GI_lineage
Martes foina,GI,1.86,Zilles_etal_2013_Table1,Zilles_2013,[7],Zilles_GI_lineage
Mustela putorius,GI,1.63,Zilles_etal_2013_Table1,Zilles_2013,[7],Zilles_GI_lineage
Phoca sp.,GI,2.82,Zilles_etal_2013_Table1,Zilles_2013,[7],Zilles_GI_lineage
Felis catus,GI,1.65,Zilles_etal_2013_Table1,Zilles_2013,[7],Zilles_GI_lineage
Felis catus,GI,1.6,Zilles_etal_2013_Table1,Zilles_2013,[87],Zilles_GI_lineage
Felis catus,GI,1.5,Zilles_etal_2013_Table1,Zilles_2013,[4],Zilles_GI_lineage
Panthera leo,GI,1.94,Zilles_etal_2013_Table1,Zilles_2013,[7],Zilles_GI_lineage
Panthera leo,GI,1.85,Zilles_etal_2013_Table1,Zilles_2013,[4],Zilles_GI_lineage
Crocuta crocuta,GI,1.74,Zilles_etal_2013_Table1,Zilles_2013,[4],Zilles_GI_lineage
Cynictis penicillata,GI,1.35,Zilles_etal_2013_Table1,Zilles_2013,[4],Zilles_GI_lineage
Equus caballus,GI,1.99,Zilles_etal_2013_Table1,Zilles_2013,[7],Zilles_GI_lineage
Equus caballus,GI,2.8,Zilles_etal_2013_Table1,Zilles_2013,[87],Zilles_GI_lineage
Equus burchelli,GI,2.94,Zilles_etal_2013_Table1,Zilles_2013,[4],Zilles_GI_lineage
Lama glama domesticus,GI,2.7,Zilles_etal_2013_Table1,Zilles_2013,[4],Zilles_GI_lineage
Sus scrofa domesticus,GI,2,Zilles_etal_2013_Table1,Zilles_2013,[7],Zilles_GI_lineage
Sus scrofa domesticus,GI,2.18,Zilles_etal_2013_Table1,Zilles_2013,[87],Zilles_GI_lineage
Sus scrofa domesticus,GI,2.16,Zilles_etal_2013_Table1,Zilles_2013,[4],Zilles_GI_lineage
Odocoileus virginianus,GI,2.27,Zilles_etal_2013_Table1,Zilles_2013,[4],Zilles_GI_lineage
Bos taurus,GI,2.54,Zilles_etal_2013_Table1,Zilles_2013,[7],Zilles_GI_lineage
Bos taurus,GI,2.49,Zilles_etal_2013_Table1,Zilles_2013,[87],Zilles_GI_lineage
Bos taurus indicus,GI,2.53,Zilles_etal_2013_Table1,Zilles_2013,[4],Zilles_GI_lineage
Ovis aries,GI,2.29,Zilles_etal_2013_Table1,Zilles_2013,[7],Zilles_GI_lineage
