Species,GI,source_used,GI_Lewitus2014,GI_Zilles2013_mean,GI_Zilles2013_n,GI_Zilles2013_min,GI_Zilles2013_max,n_teams,citation_dependency,GI_abs_diff
Macropus eugenii,1.13,Lewitus_etal_2014_TableS1,1.13,NA,NA,NA,NA,1,FALSE,NA
Macropus fuliginosus,1.41,Lewitus_etal_2014_TableS1,1.41,NA,NA,NA,NA,1,FALSE,NA
Macropus melanops,1.41,Zilles_etal_2013_Table1,NA,1.41,1,1.41,1.41,1,FALSE,NA
Mandrillus sphinx,2.1384,Lewitus_etal_2014_TableS1,2.1384,NA,NA,NA,NA,1,FALSE,NA
Marmosa sp.,1.01,Zilles_etal_2013_Table1,NA,1.01,1,1.01,1.01,1,FALSE,NA
Martes foina,1.86,Zilles_etal_2013_Table1,NA,1.86,1,1.86,1.86,1,FALSE,NA
Mesocricetus auratus,1.01,Lewitus_etal_2014_TableS1,1.01,1.01,1,1.01,1.01,2,TRUE,0
Microcebus murinus,1.1,Lewitus_etal_2014_TableS1,1.1,NA,NA,NA,NA,1,FALSE,NA
Miopithecus talapoin,1.74,Lewitus_etal_2014_TableS1,1.74,NA,NA,NA,NA,1,FALSE,NA
Mus musculus,1.03,Lewitus_etal_2014_TableS1,1.03,1.03,1,1.03,1.03,2,TRUE,0
Mustela putorius,1.75,Lewitus_etal_2014_TableS1,1.75,1.63,1,1.63,1.63,2,TRUE,0.12
Neomys fodiens,1,Lewitus_etal_2014_TableS1,1,NA,NA,NA,NA,1,FALSE,NA
Notamacropus rufogriseus,1.23,Lewitus_etal_2014_TableS1,1.23,NA,NA,NA,NA,1,FALSE,NA
Nycticebus coucang,1.205,Lewitus_etal_2014_TableS1,1.205,NA,NA,NA,NA,1,FALSE,NA
Odocoileus virginianus,2.27,Lewitus_etal_2014_TableS1,2.27,2.27,1,2.27,2.27,2,TRUE,0
Oryctolagus cuniculus,1.15,Lewitus_etal_2014_TableS1,1.15,1.15,1,1.15,1.15,2,TRUE,0
Otolemur crassicaudatus,1.255,Lewitus_etal_2014_TableS1,1.255,NA,NA,NA,NA,1,FALSE,NA
Otolemur garnetti,1.255,Lewitus_etal_2014_TableS8,1.255,NA,NA,NA,NA,1,FALSE,NA
Ovis aries,1.94,Lewitus_etal_2014_TableS1,1.94,2.115,2,1.94,2.29,2,TRUE,0.175
Pan troglodytes,2.455,Lewitus_etal_2014_TableS1,2.455,NA,NA,NA,NA,1,FALSE,NA
Panthera leo,1.85,Lewitus_etal_2014_TableS1,1.85,1.895,2,1.85,1.94,2,TRUE,0.045
Papio cynocephalus,1.985,Lewitus_etal_2014_TableS8,1.985,NA,NA,NA,NA,1,FALSE,NA
Papio hamadryas,1.985,Lewitus_etal_2014_TableS1,1.985,NA,NA,NA,NA,1,FALSE,NA
Perodicticus potto,1.265,Lewitus_etal_2014_TableS1,1.265,NA,NA,NA,NA,1,FALSE,NA
Phoca sp.,2.82,Zilles_etal_2013_Table1,NA,2.82,1,2.82,2.82,1,FALSE,NA
Phoca vitulina,2.38,Lewitus_etal_2014_TableS1,2.38,NA,NA,NA,NA,1,FALSE,NA
Phocaena phocaena,3,Zilles_etal_2013_Table1,NA,3,1,3,3,1,FALSE,NA
Phocoena phocoena,4.13,Lewitus_etal_2014_TableS1,4.13,NA,NA,NA,NA,1,FALSE,NA
Piliocolobus badius,1.805,Lewitus_etal_2014_TableS1,1.805,NA,NA,NA,NA,1,FALSE,NA
Pongo pygmaeus,2.21,Lewitus_etal_2014_TableS1,2.21,NA,NA,NA,NA,1,FALSE,NA
Potamogale velox,1,Lewitus_etal_2014_TableS1,1,NA,NA,NA,NA,1,FALSE,NA
Procavia capensis,1.368,Lewitus_etal_2014_TableS1,1.368,NA,NA,NA,NA,1,FALSE,NA
Procyon lotor,1.85,Lewitus_etal_2014_TableS1,1.85,1.85,1,1.85,1.85,2,TRUE,0
Propithecus verreauxi,1.345,Lewitus_etal_2014_TableS1,1.345,NA,NA,NA,NA,1,FALSE,NA
Pseudorca crassidens,4.97,Lewitus_etal_2014_TableS1,4.97,4.97,1,4.97,4.97,2,TRUE,0
Pteropus giganteus,1.254,Lewitus_etal_2014_TableS1,1.254,NA,NA,NA,NA,1,FALSE,NA
Pygathrix nemaeus,1.635,Lewitus_etal_2014_TableS1,1.635,NA,NA,NA,NA,1,FALSE,NA
Rattus norvegicus,1.02,Lewitus_etal_2014_TableS1,1.02,1.02,1,1.02,1.02,2,TRUE,0
Rattus rattus,1.02,Lewitus_etal_2014_TableS8,1.02,NA,NA,NA,NA,1,FALSE,NA
Saguinus midas,1.195,Lewitus_etal_2014_TableS1,1.195,NA,NA,NA,NA,1,FALSE,NA
Saguinus oedipus,1.195,Lewitus_etal_2014_TableS1,1.195,NA,NA,NA,NA,1,FALSE,NA
Saimiri sciureus,1.55,Lewitus_etal_2014_TableS1,1.55,NA,NA,NA,NA,1,FALSE,NA
Sarcophilus harrisii,1.33,Zilles_etal_2013_Table1,NA,1.33,1,1.33,1.33,1,FALSE,NA
Scalopus aquaticus,1,Lewitus_etal_2014_TableS8,1,NA,NA,NA,NA,1,FALSE,NA
Sorex araneus,1,Lewitus_etal_2014_TableS1,1,NA,NA,NA,NA,1,FALSE,NA
Sorex fumeus,1,Lewitus_etal_2014_TableS8,1,NA,NA,NA,NA,1,FALSE,NA
Sorex minutus,1,Lewitus_etal_2014_TableS1,1,NA,NA,NA,NA,1,FALSE,NA
Sus scrofa domesticus,2.16,Lewitus_etal_2014_TableS1,2.16,2.1133,3,2,2.18,2,TRUE,0.047
