source,Species,GI
Lewitus_etal_2014_TableS1,Tachyglossus aculeatus,1.3555
Lewitus_etal_2014_TableS1,Mus musculus,1.03
Lewitus_etal_2014_TableS1,Rattus norvegicus,1.02
Lewitus_etal_2014_TableS1,Mesocricetus auratus,1.01
Lewitus_etal_2014_TableS1,Castor canadensis,1.02
Lewitus_etal_2014_TableS1,Hydrochoerus hydrochaeris,1.3
Lewitus_etal_2014_TableS1,Dasyprocta leporina,1.23
Lewitus_etal_2014_TableS1,Oryctolagus cuniculus,1.15
Lewitus_etal_2014_TableS1,Cercopithecus mitis,1.785
Lewitus_etal_2014_TableS1,Erythrocebus patas,1.91
Lewitus_etal_2014_TableS1,Miopithecus talapoin,1.74
Lewitus_etal_2014_TableS1,Mandrillus sphinx,2.1384
Lewitus_etal_2014_TableS1,Lophocebus albigena,1.865
Lewitus_etal_2014_TableS1,Papio hamadryas,1.985
Lewitus_etal_2014_TableS1,Macaca mulatta,1.79
Lewitus_etal_2014_TableS1,Piliocolobus badius,1.805
Lewitus_etal_2014_TableS1,Pygathrix nemaeus,1.635
Lewitus_etal_2014_TableS1,Gorilla gorilla,2.26
Lewitus_etal_2014_TableS1,Homo sapiens,2.56
Lewitus_etal_2014_TableS1,Pan troglodytes,2.455
Lewitus_etal_2014_TableS1,Pongo pygmaeus,2.21
Lewitus_etal_2014_TableS1,Hylobates lar,1.855
Lewitus_etal_2014_TableS1,Alouatta palliata,1.3275
Lewitus_etal_2014_TableS1,Alouatta seniculus,1.465
Lewitus_etal_2014_TableS1,Ateles paniscus,1.68
Lewitus_etal_2014_TableS1,Lagothrix lagothricha,1.97
Lewitus_etal_2014_TableS1,Callicebus moloch,1.2537
Lewitus_etal_2014_TableS1,Aotus trivirgatus,1.31
Lewitus_etal_2014_TableS1,Callimico goeldii,1.255
Lewitus_etal_2014_TableS1,Callithrix jacchus,1.17
Lewitus_etal_2014_TableS1,Saguinus midas,1.195
Lewitus_etal_2014_TableS1,Saguinus oedipus,1.195
Lewitus_etal_2014_TableS1,Cebus albifrons,1.69
Lewitus_etal_2014_TableS1,Saimiri sciureus,1.55
Lewitus_etal_2014_TableS1,Tarsius bancanus,1.075
Lewitus_etal_2014_TableS1,Tarsius syrichta,1.1
Lewitus_etal_2014_TableS1,Microcebus murinus,1.1
Lewitus_etal_2014_TableS1,Cheirogaleus major,1.15
Lewitus_etal_2014_TableS1,Cheirogaleus medius,1.11
Lewitus_etal_2014_TableS1,Avahi laniger,1.255
Lewitus_etal_2014_TableS1,Avahi occidentalis,1.145
Lewitus_etal_2014_TableS1,Propithecus verreauxi,1.345
Lewitus_etal_2014_TableS1,Indri indri,1.455
Lewitus_etal_2014_TableS1,Daubentonia madagascariensis,1.25
Lewitus_etal_2014_TableS1,Eulemur fulvus,1.46
Lewitus_etal_2014_TableS1,Eulemur mongoz,1.33
Lewitus_etal_2014_TableS1,Lemur catta,1.325
Lewitus_etal_2014_TableS1,Varecia variegata,1.315
Lewitus_etal_2014_TableS1,Lepilemur ruficaudatus,1.135
Lewitus_etal_2014_TableS1,Perodicticus potto,1.265
Lewitus_etal_2014_TableS1,Loris tardigradus,1.285
Lewitus_etal_2014_TableS1,Nycticebus coucang,1.205
Lewitus_etal_2014_TableS1,Galago senegalensis,1.17
Lewitus_etal_2014_TableS1,Otolemur crassicaudatus,1.255
Lewitus_etal_2014_TableS1,Galagoides demidoff,1.21
Lewitus_etal_2014_TableS1,Cynocephalus volans,1.343
Lewitus_etal_2014_TableS1,Tupaia glis,1.062
Lewitus_etal_2014_TableS1,Ovis aries,1.94
Lewitus_etal_2014_TableS1,Capra hircus domestica,2.278
Lewitus_etal_2014_TableS1,Bos taurus indicus,2.53
Lewitus_etal_2014_TableS1,Odocoileus virginianus,2.27
Lewitus_etal_2014_TableS1,Phocoena phocoena,4.13
Lewitus_etal_2014_TableS1,Delphinus delphis,3.99
Lewitus_etal_2014_TableS1,Tursiops truncatus,4.76
Lewitus_etal_2014_TableS1,Pseudorca crassidens,4.97
Lewitus_etal_2014_TableS1,Globicephala macrorhynchus,5.24
Lewitus_etal_2014_TableS1,Grampus griseus,4.29
Lewitus_etal_2014_TableS1,Sus scrofa domesticus,2.16
Lewitus_etal_2014_TableS1,Lama glama domesticus,2.7
Lewitus_etal_2014_TableS1,Equus burchelli,2.94
Lewitus_etal_2014_TableS1,Equus caballus,2.8
Lewitus_etal_2014_TableS1,Mustela putorius,1.75
Lewitus_etal_2014_TableS1,Procyon lotor,1.85
Lewitus_etal_2014_TableS1,Zalophus californianus,2.52
Lewitus_etal_2014_TableS1,Phoca vitulina,2.38
Lewitus_etal_2014_TableS1,Ursus maritimus,2.04
Lewitus_etal_2014_TableS1,Canis latrans,1.8
Lewitus_etal_2014_TableS1,Vulpes vulpes,1.8
Lewitus_etal_2014_TableS1,Panthera leo,1.85
Lewitus_etal_2014_TableS1,Felis catus,1.5
Lewitus_etal_2014_TableS1,Crocuta crocuta,1.74
Lewitus_etal_2014_TableS1,Cynictis penicillata,1.35
Lewitus_etal_2014_TableS1,Pteropus giganteus,1.254
Lewitus_etal_2014_TableS1,Talpa europaea,1
Lewitus_etal_2014_TableS1,Galemys pyrenaicus,1
Lewitus_etal_2014_TableS1,Erinaceus europaeus,1
Lewitus_etal_2014_TableS1,Crocidura flavescens,1
