species	reference	group	specimen	region	cell_type	measure	value	units
Mus musculus	BarbeitoAndres_etal_2019	LCP	12	Hypothalamus		absolute_volume	11.2433595	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	12	Third_ventricle		absolute_volume	0.97671325	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	12	Hippocampus		absolute_volume	34.923076625	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	12	Thalamus		absolute_volume	16.384407	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	12	Fimbria		absolute_volume	1.949993375	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	12	Total		absolute_volume	377.588060375	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	18	Olfactory_bulbs		absolute_volume	26.6235885	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	18	Cerebellum		absolute_volume	58.923788125	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	18	Corpus_callosum		absolute_volume	6.409573375000001	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	18	Midbrain		absolute_volume	28.690306625	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	18	Lateral_ventricle		absolute_volume	2.974769875	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	18	Striatum		absolute_volume	39.86843875	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	18	Cortex		absolute_volume	153.352558125	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	18	Hypothalamus		absolute_volume	11.967741	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	18	Third_ventricle		absolute_volume	0.70206625	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	18	Hippocampus		absolute_volume	34.682762124999996	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	18	Thalamus		absolute_volume	14.85325	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	18	Fimbria		absolute_volume	1.888197875	mm3
Mus musculus	BarbeitoAndres_etal_2019	LCP	18	Total		absolute_volume	380.937040625	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	4	Olfactory_bulbs		absolute_volume	24.359468375	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	4	Cerebellum		absolute_volume	64.90250975000001	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	4	Corpus_callosum		absolute_volume	8.862514000000001	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	4	Midbrain		absolute_volume	37.535656	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	4	Lateral_ventricle		absolute_volume	3.1120933749999997	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	4	Striatum		absolute_volume	45.44205475	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	4	Cortex		absolute_volume	151.45749575000002	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	4	Hypothalamus		absolute_volume	10.8331055	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	4	Third_ventricle		absolute_volume	0.95783125	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	4	Hippocampus		absolute_volume	35.997633	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	4	Thalamus		absolute_volume	12.070733625	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	4	Fimbria		absolute_volume	1.634149375	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	4	Total		absolute_volume	397.16524475000006	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	5	Olfactory_bulbs		absolute_volume	27.164299875	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	5	Cerebellum		absolute_volume	69.789508875	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	5	Corpus_callosum		absolute_volume	8.800718374999999	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	5	Midbrain		absolute_volume	31.045405375	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	5	Lateral_ventricle		absolute_volume	1.5328732500000002	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	5	Striatum		absolute_volume	38.417959125	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	5	Cortex		absolute_volume	143.211222	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	5	Hypothalamus		absolute_volume	11.001327	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	5	Third_ventricle		absolute_volume	0.77931075	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	5	Hippocampus		absolute_volume	34.933376375	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	5	Thalamus		absolute_volume	16.406723	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	5	Fimbria		absolute_volume	3.812443	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	5	Total		absolute_volume	386.895167	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	6	Olfactory_bulbs		absolute_volume	27.373719125	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	6	Cerebellum		absolute_volume	68.64285275	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	6	Corpus_callosum		absolute_volume	6.98289875	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	6	Midbrain		absolute_volume	38.261755	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	6	Lateral_ventricle		absolute_volume	3.663103875	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	6	Striatum		absolute_volume	47.711326625	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	6	Cortex		absolute_volume	144.00083175	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	6	Hypothalamus		absolute_volume	9.423823375	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	6	Third_ventricle		absolute_volume	0.966414	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	6	Hippocampus		absolute_volume	34.444160499999995	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	6	Thalamus		absolute_volume	14.484193375	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	6	Fimbria		absolute_volume	1.1174697500000002	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	6	Total		absolute_volume	397.072548875	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	7	Olfactory_bulbs		absolute_volume	25.737853	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	7	Cerebellum		absolute_volume	64.17812537500001	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	7	Corpus_callosum		absolute_volume	8.783552625	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	7	Midbrain		absolute_volume	31.99465275	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	7	Lateral_ventricle		absolute_volume	3.752364	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	7	Striatum		absolute_volume	47.230693875	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	7	Cortex		absolute_volume	147.71028025000004	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	7	Hypothalamus		absolute_volume	12.254403625	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	7	Third_ventricle		absolute_volume	1.09858775	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	7	Hippocampus		absolute_volume	35.1754075	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	7	Thalamus		absolute_volume	17.440081624999998	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	7	Fimbria		absolute_volume	1.634149375	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	7	Total		absolute_volume	396.99015175000005	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	8	Olfactory_bulbs		absolute_volume	25.49067025	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	8	Cerebellum		absolute_volume	60.056705375	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	8	Corpus_callosum		absolute_volume	6.62070825	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	8	Midbrain		absolute_volume	27.857783249999997	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	8	Lateral_ventricle		absolute_volume	4.078507125	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	8	Striatum		absolute_volume	40.18085087499999	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	8	Cortex		absolute_volume	139.772984375	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	8	Hypothalamus		absolute_volume	11.634731249999998	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	8	Third_ventricle		absolute_volume	0.4171201249999999	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	8	Hippocampus		absolute_volume	37.2867565	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	8	Thalamus		absolute_volume	16.1629735	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	8	Fimbria		absolute_volume	1.3320377499999998	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	8	Total		absolute_volume	370.891828625	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	10	Olfactory_bulbs		absolute_volume	28.3950615	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	10	Cerebellum		absolute_volume	69.54575725000001	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	10	Corpus_callosum		absolute_volume	7.118505750000001	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	10	Midbrain		absolute_volume	31.53290275	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	10	Lateral_ventricle		absolute_volume	2.741319875	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	10	Striatum		absolute_volume	38.987850249999994	mm3
Mus musculus	BarbeitoAndres_etal_2019	C	10	Cortex		absolute_volume	155.359201875	mm3
