group	Cerebellum__Total	Cerebellum__Neurons	Cerebellum__Non_neurons	Cortex__Total	Cortex__Neurons	Cortex__Non_neurons	Olfactory__Total	Olfactory__Neurons	Olfactory__Non_neurons	Hippocampus__Total	Hippocampus__Neurons	Hippocampus__Non_neurons	Rest__Total	Rest__Neurons	Rest__Non_neurons
C	509.25	458.47777500000001	50.772224999999992	94.046875	36.960419999999999	57.086449999999999	645.34778225806451	124.2294480846774	521.1183341733871	125	17.0625	107.9375	88.4	30.409600000000005	57.990400000000015
C	870.09191176470586	810.75164338235288	59.340268382353052	75.833333333333329	17.214169999999999	58.619169999999997	332.94836956521738	51.274048913043494	281.67432065217395	88.958333333333329	11.564583333333333	77.393749999999997	125.18418874172185	33.136254759933777	92.047933981788077
C	641.57356770833337	535.07235546874995	106.50121223958341	119.69393382352942	32.077970000000001	87.615960000000001	444.05172413793099	137.52281896551722	306.52890517241377	98.6328125	18.345703125	80.287109375	122.52387152777777	18.86867621527778	103.6551953125
C	859.8648648648649	801.3940540540541	58.470810810810775	111.78300498188408	25.710090000000001	86.072909999999993				115.07161458333333	17.916650390625001	97.154964192708334	125.70492393092107	20.238492752878297	105.46643117804277
C	668.3359375	642.2708359374999	26.065101562500104	89.4345982142857	18.42353	71.011070000000004	289.78956653225811	64.536136466733879	225.25343006552419	105.86588541666667	17.785468750000003	88.080416666666693	121.56977634803923	28.301443933823531	93.268332414215664
C	726.33203125	657.25785507812498	69.074176171874882	79.42537006578948	23.509910000000001	55.915460000000003	701.60807291666663	329.75579427083335	371.85227864583328	95.526919157608702	29.613344938858695	65.913574218749986	120.59505208333334	29.786977864583335	90.808074218749994
LP	581.31540697674416	550.38942732558132	30.925979651162919	89.813399280575524	48.409419999999997	41.403979999999997	360.86206896551721	120.99705172413795	239.86501724137926	92.96875	29.201484374999996	63.767265625	148.28125	45.033015625000004	103.24823437500001
LP	757.33552631578948	645.47706907894724	111.85845723684223	90.875796178343947	35.259810000000002	55.615989999999996	367.03125	96.712734374999997	270.31851562500003	108.46875	21.259875000000005	87.208875000000006	112.125	37.0797375	75.045262500000007
LP	562.47778799019613	485.9808088235294	76.496979166666691	82.724294354838719	36.812309999999997	45.91198	435.9609375	223.64796093749999	212.31297656250001	142.23889802631578	40.438518708881581	101.80037931743422	169.85746067880794	41.275362944950338	128.58209773385761
LP	688.19045608108115	539.5413175675676	148.64913851351355	87.790732347328245	51.708739999999999	36.081989999999998				90.38352272727272	24.756046874999996	65.627475852272738	111.59598214285715	37.418132812500005	74.177849330357134
LP	907.224609375	817.5000955078126	89.724513867187383	79.908495324803141	18.219139999999999	61.689360000000001	347.1875	160.74781250000001	186.43968749999999	131.78439670138889	23.194053819444445	108.59034288194447	116.84194711538461	22.235022536057691	94.606924579326915
LP	959.697265625	736.37571191406255	223.32155371093754	64.472777562111801			483.95833333333331	130.62035416666666	353.33797916666668	163.114013671875	38.984249267578122	124.12976440429688	113.40935559006211	39.92009316770185	73.489262422360255
LP	999.93265086206884	803.34589170258619	196.58675915948277	80.489400875796179	37.186100000000003	43.3033				100.64930555555556	28.926610416666666	71.722695138888895	137.3494791666667	31.562910312500001	105.78656885416669
LCP	660.92204000000004	432.50738000000001	228.41466	85.716610000000003	29.66	51.267000000000003	353.2527	200.71818999999999	152.53451999999999	69.317840000000004	19.68627	49.631570000000004	113.21332	23.774799999999999	89.438519999999997
LCP	629.05816000000004	562.56670999999994	66.49145	74.790710000000004	25.354050000000001	49.436660000000003	265.08235000000002	25.23584	239.84650999999999	120.55965	23.050999999999998	97.50864	120.72656000000001	25.473299999999998	95.253259999999997
