group,Cerebellum__Total,Cerebellum__Neurons,Cerebellum__Non_neurons,Cortex__Total,Cortex__Neurons,Cortex__Non_neurons,Olfactory__Total,Olfactory__Neurons,Olfactory__Non_neurons,Hippocampus__Total,Hippocampus__Neurons,Hippocampus__Non_neurons,Rest__Total,Rest__Neurons,Rest__Non_neurons
C,33.10125,29.801055375000001,3.3001946249999996,18.809374999999999,7.3920843750000005,11.417290625,20.005781249999998,3.8511128906249996,16.154668359374998,4.875,0.66543750000000002,4.2095624999999997,15.47,5.3216799999999997,10.148320000000002
C,44.3746875,41.348333812499995,3.0263536875000057,14.105,3.201835,10.903165000000001,7.6578125000000004,1.1793031250000001,6.4785093749999998,3.4693749999999999,0.45101875000000002,3.0183562500000001,18.9028125,5.0035744687500001,13.89923803125
C,38.494414062499999,32.104341328124995,6.3900727343750034,20.34796875,5.4532556250000006,14.894713124999999,12.8775,3.9881617499999997,8.8893382499999998,3.748046875,0.69713671875000005,3.0509101562500001,19.848867187500002,3.0567255468750005,16.792141640625001
C,31.815000000000001,29.651580000000003,2.1634199999999986,15.426054687500001,3.5479925781250001,11.878062109375001,8.9834765624999999,2.0006202304687499,6.9828563320312504,5.5234375,0.85999921874999996,4.6634382812500004,19.107148437500001,3.0762508984375008,16.030897539062501
C,40.100156249999998,38.536250156249992,1.5639060937500062,15.6510546875,3.2241172656249995,12.426937421875001,8.4192968750000006,3.9570695312500006,4.4622273437499995,5.0815625000000004,0.85370250000000014,4.2278600000000006,24.800234374999999,5.7734945624999998,19.026739812499997
C,43.579921874999997,39.435471304687503,4.1444505703124932,15.0908203125,4.4668828124999997,10.6239375,NA,NA,NA,4.3942382812499998,1.3622138671874999,3.0320244140624997,21.707109375000002,5.3616560156249999,16.345453359375
LP,24.9965625,23.666745374999994,1.3298171250000053,12.4840625,6.7289096875000007,5.7551528124999995,10.465,3.5089145000000004,6.9560854999999995,2.4171874999999998,0.75923859374999991,1.6579489062499999,16.310937500000001,4.9536317187500005,11.357305781250002
LP,28.778749999999999,24.528128624999994,4.250621375000005,14.2675,5.5357900000000004,8.7317099999999996,4.7714062500000001,1.257265546875,3.5141407031250003,3.2540624999999999,0.63779625000000006,2.6162662499999998,16.818750000000001,5.5619606250000002,11.256789375
LP,28.6863671875,24.78502125,3.9013459375000004,15.38671875,6.8470898437500001,8.5396289062499999,10.8990234375,5.5911990234375004,5.3078244140624999,5.4050781250000002,1.5366637109375001,3.8684144140625003,25.648476562500001,6.2325798046875001,19.415896757812501
LP,25.463046875,19.963028749999999,5.5000181250000004,11.5005859375,6.7738451171875003,4.7267408203125001,7.6381249999999996,3.536451875,4.1016731249999996,3.9768749999999997,1.0892660624999997,2.8876089375,16.404609375,5.5004655234375006,10.904143851562498
LP,36.288984374999998,32.700003820312503,3.5889805546874953,10.14837890625,2.3138303906250002,7.8345485156250003,10.163125000000001,2.7430274374999999,7.4200975625000005,4.7442382812500004,0.83498593749999994,3.9092523437500004,15.189453125,2.8905529296874999,12.2989001953125
LP,30.710312500000001,23.564022781249999,7.1462897187500012,10.3801171875,NA,NA,NA,NA,NA,5.2196484375000001,1.2474959765625,3.9721524609375001,18.258906249999999,6.427134999999998,11.831771250000001
LP,28.998046875,23.297030859374999,5.7010160156250009,NA,NA,NA,NA,NA,NA,4.5292187500000001,1.3016974687499998,3.2275212812500005,20.602421875000001,4.734436546875,15.867985328125002
LCP,31.724257812499999,20.760354312499999,10.963903500000001,14.40039,5.8775000000000004,8.5228900000000003,9.1845703125,5.2186728515625012,3.9658974609374988,2.8420312499999998,0.80713687499999986,2.0348943749999999,18.227343749999999,3.8277421874999997,14.399601562499999
LCP,33.969140625000001,30.3786024609375,3.5905381640625009,14.733769531249999,4.9947478710937503,9.7390216601562489,9.8080468750000005,0.93372606250000023,8.8743208125000006,6.2691015625000004,1.1986522187500002,5.07044934375,16.901718750000001,3.5662626562499997,13.33545609375
