specimen,group,Olfactory_bulbs,Cerebellum,Corpus_callosum,Midbrain,Lateral_ventricle,Striatum,Cortex,Hypothalamus,Third_ventricle,Hippocampus,Thalamus,Fimbria,Total,...16
1,LCP,25.797930624999999,61.507184875,8.2050777500000009,29.2962475,4.363453625,37.324522000000002,140.41840262499997,11.241643499999999,0.92006725,31.491706000000001,15.733837125000001,0.87028749999999999,367.17036037500003,
2,LCP,27.59343625,66.169315374999996,7.3468061250000005,36.066293625,3.6150405000000001,39.466768250000001,144.74237650000001,11.907661874999999,0.82394087500000002,32.998830875000003,9.1320113750000012,0.88916949999999995,380.75165112499997,
3,LCP,26.537761750000001,64.356649375000003,7.6626498749999996,33.014280374999998,3.3815906250000003,37.688428875,138.31735512500001,6.673921,0.95439812499999999,34.227874749999998,17.575688374999999,0.42570275000000002,370.81630100000007,
9,LCP,25.797931625,61.802431124999998,6.763181125,31.093467750000002,3.8038602500000001,43.543558125000004,138.42206274999998,9.0479002499999996,0.69005050000000001,31.615297374999997,11.751456749999999,1.3732347499999999,365.70443237500001,
12,LCP,25.176542250000001,58.220005,7.3880028749999997,28.91860775,2.5576498750000001,43.867984875000005,145.981718,11.2433595,0.97671324999999998,34.923076625,16.384406999999999,1.949993375,377.588060375,
18,LCP,26.6235885,58.923788125000002,6.4095733750000008,28.690306624999998,2.9747698749999998,39.868438749999996,153.352558125,11.967741,0.70206625,34.682762124999996,14.853249999999999,1.8881978749999999,380.93704062500001,
4,C,24.359468374999999,64.902509750000007,8.8625140000000009,37.535656000000003,3.1120933749999997,45.442054749999997,151.45749575000002,10.833105499999999,0.95783125000000002,35.997633,12.070733624999999,1.634149375,397.16524475000006,
5,C,27.164299874999998,69.789508874999996,8.8007183749999989,31.045405375000001,1.5328732500000002,38.417959124999996,143.21122199999999,11.001327,0.77931075000000005,34.933376375000002,16.406723,3.812443,386.89516699999996,
6,C,27.373719125000001,68.642852750000003,6.9828987500000004,38.261755000000001,3.663103875,47.711326624999998,144.00083175,9.4238233750000013,0.966414,34.444160499999995,14.484193375,1.1174697500000002,397.072548875,
7,C,25.737853000000001,64.178125375000008,8.7835526250000004,31.99465275,3.752364,47.230693875,147.71028025000004,12.254403625,1.0985877500000001,35.175407499999999,17.440081624999998,1.634149375,396.99015175000005,
8,C,25.490670250000001,60.056705375,6.6207082499999999,27.857783249999997,4.0785071249999998,40.18085087499999,139.77298437499999,11.634731249999998,0.41712012499999995,37.286756500000003,16.1629735,1.3320377499999998,370.89182862500002,
10,C,28.395061500000001,69.545757250000008,7.1185057500000006,31.532902749999998,2.7413198749999999,38.987850249999994,155.359201875,11.372100375,1.304573,36.217349999999996,15.316717125,2.2452388750000001,400.13657862500003,
13,C,24.175798374999999,61.172458624999997,6.4902507499999995,27.332521374999999,3.0417149999999995,38.260036499999991,141.73156075,11.469943124999999,0.88916949999999995,38.713203499999999,15.2480555,1.6804959999999998,370.20520900000002,
17,C,28.927190875000001,72.693897249999992,9.0993972499999991,30.561339374999999,2.9850690000000002,44.060236000000003,158.94162224999999,12.530766874999999,1.1603833750000001,37.964790375,17.076173750000002,2.6211617499999997,418.62202812499999,
20,C,30.420582875000001,69.46508025,8.3578497499999997,30.446331125,2.9610375000000002,45.318464249999998,166.176855625,11.617566125,1.201580375,39.247051249999998,19.25961775,2.4632397499999996,426.93525662500008,
22,C,27.947043375,76.878833749999998,7.8205718750000006,34.828666749999996,5.139331125,50.203746750000001,164.98557625000001,11.3017225,1.210163125,37.822319,13.01139925,1.4230145000000001,432.57238825000002,
11,LP,20.502394750000001,49.0845585,5.6680263750000002,23.561275500000001,2.8940923750000001,37.899562750000001,141.90664900000002,12.539349999999999,0.67460149999999997,32.748216624999998,13.437102375,0.42741937499999999,341.343249125,
14,LP,23.9646635,54.412710250000003,5.9667050000000001,24.222145125000001,2.3568141250000001,35.9186725,135.661861875,11.202162250000001,0.930366625,27.912713,13.09207675,1.5569048749999999,337.19779587499994,
15,LP,22.208639124999998,55.660638875000004,7.4068848749999994,28.309234625000002,2.50443675,41.394445375000004,141.56162325,9.9096055000000014,0.92350037500000004,27.838901499999999,15.378512875,1.565487625,354.66191075000006,
16,LP,27.713594375,55.832292500000001,6.6619053749999999,28.724637999999995,3.6957179999999998,47.297637874999992,142.73230274999997,10.527561249999998,0.96126424999999993,32.248701124999997,16.863323249999997,2.6486266249999999,375.90756537499999,
19,LP,21.360667249999999,53.875433000000001,6.1023121250000001,22.769948874999997,3.8055767500000002,40.0933055,141.29555525000001,11.959157874999999,0.90461837499999997,34.020175875,14.528823375,1.9414106250000001,352.65698487499998,
21,LP,25.681206625000002,56.620185749999997,5.0569369999999996,26.343791875000001,2.8477456249999999,38.260036499999998,132.68022674999997,9.1474600000000006,1.041941875,29.512531250000002,10.851987874999999,1.31658875,339.360639875,
23,LP,21.752037999999999,60.480691875000005,6.8593074999999999,31.745755249999998,3.7832616249999997,42.37287525,146.500117875,8.4539763749999999,0.84968900000000003,31.998086999999998,11.265675125000001,2.0135054999999999,368.07498037500005,
